Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Unmanned Spacecraft , Self Supervised Learning , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing ,SVM , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Reinforcement Learning ,0,0,0,0,0,0,4,1,0,1,0,0,0,5,0,0,2,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,45,0,3,0,3,0,0,83,5,0,2,7,0,0,0,0,0,4,1,0,0,5,2,2,0,0,50,80,0,0,0,0,20,7,0,0,1,0,6,0,1,1,0,0,0,0,2,0,0,1,0,0,0
 Face Detection ,0,0,0,1,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,2,0,0,0,0,12,6,1,0,4,16,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0
 Distributed Computing ,0,0,0,9,0,0,1,4,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,34,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,1,1,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,2,14,1,0,0,0,14,0,0,0,0,4,6,1,0,1,0,0
 Bayesian Inference ,0,0,0,1,0,0,5,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0
 Distributed File System ,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 Optimization Algorithm ,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0,0,3,0,0,3,0,0,0,0,0,2,0,2,1,0,0,2,0,0,0,1,6,0,2,0,0,0,0,1,0,1,2,0,1,0,1,1,1,1,0,4,14,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,1
 Parallel Processing ,2,0,0,4,0,0,0,4,0,1,0,1,2,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,1,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,1,0,2,0,0,0,2,0,0,0,0,4,0,0,0,0,0,2,8,1,0,0,0
SVM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RNN ,0,0,0,2,0,0,0,10,1,0,0,17,0,10,0,0,0,0,0,4,0,0,6,16,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,0,0,0,0,2,3,0,0,21,0,0,7,0,0,0,0,8,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,7,0,0,5,39,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Voice Recognition ,0,0,0,1,0,0,0,36,8,0,0,63,0,55,0,0,0,0,0,25,0,1,14,38,0,0,1,5,0,3,2,0,2,0,1,0,1,0,0,0,2,0,4,3,2,32,0,0,2,0,1,0,1,0,1,0,1,1,0,21,0,0,2,0,0,0,1,0,21,1,7,3,2,4,0,3,0,0,8,0,1,0,0,5,30,0,0,12,129,0,0,0,0,9,0,0,0,1,0,1,0,0,0,2,3,1,0,0,1,1,1,0,2,0
 Markov ,0,0,0,0,0,0,11,1,0,0,0,0,0,10,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,7,1,4,0,0,0,0,0,0,45,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,2,2,0,0,0,0,0,1,7,2,0,0,1,0,1,0,0,9,28,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0
 Feature Engineering ,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
 Back-propagation ,0,0,0,0,0,0,1,6,0,0,0,0,0,24,0,0,0,0,0,3,0,0,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,6,5,3,1,2,0,0,5,0,1,1,0,1,0,0,1,3,0,0,4,30,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0
 Cluster Computing ,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0
 Data Center ,0,0,0,9,0,0,1,20,0,0,1,0,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,102,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,2,12,1,0,0,0,10,0,0,0,0,8,1,0,0,0,0,0
 Semantic Search ,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,13,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Boosting ,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,3,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1
 Robots ,0,3,1,3,0,0,16,62,0,27,0,4,0,129,0,5,2,0,0,35,4,0,45,1,0,34,0,3,0,2,0,0,0,5,0,0,0,8,0,3,0,0,571,3,2,2,0,0,3,0,7,83,2,1,3,0,6,1,1,8,21,32,0,6,0,0,0,0,0,41,5,19,262,20,0,6,0,63,25,1,1,0,8,70,20,2,0,1804,995,0,0,2,0,76,51,0,1,1,0,13,0,354,0,0,48,0,0,0,2,2,6,19,1,0
 Genetic Algorithm ,0,2,0,2,0,0,4,14,0,1,0,0,2,61,0,0,1,0,0,34,9,0,29,13,0,0,0,2,0,3,0,0,0,0,0,0,0,16,1,0,1,0,11,1,3,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,1,0,0,5,0,8,0,2,41,0,13,6,3,0,0,4,0,2,14,0,1,0,0,2,14,6,1,18,114,0,1,0,0,44,1,1,0,0,0,4,0,11,6,0,5,0,0,0,23,1,10,2,0,0
 Pattern Recognition ,0,7,0,1,0,0,4,31,0,0,0,4,0,263,2,0,1,0,0,92,5,0,38,15,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,2,3,3,0,0,1,0,4,0,4,1,0,0,2,5,0,0,7,2,3,3,0,0,0,1,5,13,0,0,0,1,0,50,0,8,52,2,8,0,0,27,59,5,0,7,134,0,0,0,0,68,0,0,0,0,0,7,0,0,1,0,41,1,0,0,13,7,10,0,0,1
 Search Algorithm ,1,0,0,1,0,0,1,1,0,4,0,3,2,5,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,19,6,0,0,0,0,0,1,0,4,1,1,0,0,1,1,0,0,0,9,21,0,0,1,0,10,2,3,0,1,0,1,0,1,2,0,1,0,0,0,4,1,2,1,0,0
 Humanoid Robots ,0,0,0,0,0,0,2,2,0,1,0,0,0,6,0,0,0,0,0,1,0,0,7,2,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,262,3,0,0,0,3,0,4,0,0,2,0,0,0,0,8,2,0,0,98,90,0,0,0,0,3,0,0,0,0,0,1,0,6,0,0,4,0,0,0,0,0,1,0,1,0
 Gesture Recognition ,0,3,0,0,0,0,0,6,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,20,0,1,0,3,0,0,2,0,0,3,0,0,0,0,3,5,0,0,6,24,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,9,0,0,0,1,0,0,0,0,0
 Data Intensive Computing ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Dimensionality Reduction ,0,1,0,0,0,0,0,13,0,1,0,0,0,76,0,0,0,0,0,37,6,0,32,19,0,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,5,0,0,0,0,6,4,50,1,4,2,0,0,0,0,29,0,3,0,0,3,34,3,0,7,36,0,0,0,0,21,0,0,0,4,0,1,0,0,0,0,13,0,0,0,11,1,6,0,0,0
 Dynamic Cloud ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 UAM ,0,0,0,2,0,0,0,3,0,0,0,0,0,21,0,10,0,0,0,7,0,0,2,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,63,2,8,4,0,0,0,0,0,0,6,0,2,0,0,10,1,0,0,49,56,0,0,0,0,0,8,0,0,2,0,2,0,12,0,0,14,0,0,0,0,0,2,6,0,0
 Clustering ,0,2,0,3,0,0,2,33,1,3,0,6,1,169,2,0,0,0,0,40,12,1,33,10,0,2,0,5,0,39,0,0,0,0,0,0,3,7,0,0,1,5,4,16,3,0,0,0,0,0,0,4,2,1,1,0,2,3,0,4,8,7,0,1,0,3,2,0,25,14,52,1,2,3,0,29,1,6,0,3,19,1,2,22,40,4,0,13,159,0,0,0,0,75,0,0,0,14,0,12,0,1,2,0,22,1,1,0,114,6,45,0,0,1
 Statistical Learning ,0,0,0,2,0,0,0,2,0,0,0,0,0,15,1,0,0,0,1,19,2,0,19,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,1,17,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,1
 Image Classification ,0,1,0,0,0,0,0,13,0,0,0,0,0,147,2,0,0,0,0,63,5,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,8,0,0,0,0,3,0,2,19,0,0,0,3,16,18,2,0,0,37,0,0,0,0,9,0,0,0,1,0,2,0,0,1,0,11,0,0,0,0,1,11,0,0,1
 Text Similarity ,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transfer Learning ,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,4,16,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0
 Object Recognition ,0,2,1,0,0,0,0,22,0,1,0,0,0,102,3,0,1,0,0,26,12,0,10,0,0,20,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,9,0,1,5,0,0,2,0,4,2,12,0,0,0,1,1,0,0,5,0,0,1,0,0,1,0,70,2,27,1,8,3,0,3,0,10,22,2,16,0,0,0,33,0,0,42,131,0,0,0,0,21,0,0,0,0,0,9,0,3,0,0,64,0,0,0,0,3,11,1,0,1
 Feature Extraction ,1,7,1,2,0,0,1,73,0,3,0,1,0,307,0,0,0,0,0,140,7,1,32,16,0,8,0,3,0,7,0,0,0,0,0,0,0,1,1,0,0,0,11,9,1,15,0,0,9,0,4,2,6,0,0,0,1,0,0,7,30,1,2,3,0,0,0,0,20,14,59,0,2,5,0,34,0,1,40,2,18,0,1,33,0,6,0,20,182,0,0,2,0,52,0,0,0,4,0,13,0,0,0,1,30,0,0,0,17,0,16,0,0,0
 Expert System ,0,1,0,0,0,0,1,16,0,4,0,0,0,23,2,0,1,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,5,0,0,0,0,3,0,0,4,0,2,0,0,0,6,0,0,2,77,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,3,0,0,0,6,0,2,0,0,0
 Ensemble Modeling ,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Robotics ,0,0,0,5,0,0,9,52,0,14,0,0,0,83,0,5,2,0,0,17,1,0,32,0,0,29,0,0,0,3,0,0,0,3,0,0,2,10,0,11,0,0,221,0,1,5,0,0,1,0,1,50,4,0,1,0,4,0,1,5,12,9,1,4,0,0,0,3,1804,18,7,9,98,6,0,7,0,49,13,1,0,0,4,42,20,2,0,0,564,0,0,1,0,83,32,0,2,0,0,6,0,203,0,0,50,2,0,0,4,1,7,7,0,0
 AI ,0,4,0,8,0,0,19,176,21,78,1,52,3,588,8,1,7,1,1,190,54,29,129,85,0,73,1,59,6,41,4,0,0,4,3,2,17,68,10,4,1,3,158,83,12,42,0,2,22,0,12,80,16,6,9,0,14,4,0,39,129,28,0,30,1,6,13,7,995,114,134,21,90,24,2,36,0,56,159,17,37,0,16,131,182,77,0,564,0,1,1,0,0,339,18,4,4,30,7,74,0,76,2,7,175,1,1,3,201,5,116,22,4,1
 Text Generation ,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NRDBMS & NoSQL ,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Hardware Acceleration ,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,2,0,0,0,0
 Bayesian Machine Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Machine Learning ,0,11,0,6,0,0,8,83,5,10,0,5,0,513,5,0,3,0,0,302,75,13,152,24,0,3,1,27,4,9,0,0,0,1,0,0,13,3,4,1,1,2,4,16,5,13,0,0,7,0,1,20,0,0,0,0,6,2,0,6,9,7,2,6,0,0,1,12,76,44,68,10,3,1,0,21,0,0,75,5,9,1,3,21,52,6,1,83,339,0,1,0,1,0,0,0,0,16,0,40,1,6,3,6,26,1,1,0,81,1,12,2,7,2
 AUV ,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,7,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,51,1,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,32,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,9,0,0
 Quantum Computing ,0,1,0,2,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 PaaS ,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
 Big Data ,0,1,0,41,0,0,0,28,0,1,0,0,1,20,1,0,0,0,1,5,2,1,15,2,1,0,0,1,0,1,0,0,0,0,0,1,0,46,1,0,0,5,0,1,0,0,0,10,1,0,0,1,0,14,0,4,0,2,0,0,1,0,0,0,1,12,2,0,1,0,0,1,0,1,5,4,0,2,14,3,1,0,0,0,4,3,0,0,30,0,6,0,0,16,0,0,0,0,0,3,0,0,5,0,1,1,3,1,27,5,0,0,1,0
 SaaS ,0,0,0,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
 Supervised Learning ,0,1,0,0,0,0,2,9,0,0,0,0,0,88,5,0,0,0,0,63,11,0,26,7,0,1,0,6,0,8,0,0,0,0,0,0,5,0,1,0,0,1,2,3,0,2,0,0,0,0,1,6,2,0,0,0,1,0,0,1,1,0,0,4,0,0,0,0,13,4,7,1,1,0,0,1,0,2,12,0,2,0,3,9,13,0,0,6,74,0,0,0,0,40,0,0,0,3,0,0,0,0,0,0,9,0,0,0,13,0,5,0,0,0
 Optical Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Manipulator ,0,0,0,0,0,0,4,2,0,0,0,0,0,10,0,0,0,0,0,6,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,11,0,1,6,1,0,0,0,12,1,0,0,0,0,3,0,0,0,203,76,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0
 High Performance Computing ,4,0,0,5,0,0,15,1,0,0,0,0,21,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,19,0,0,0,1,0,0,0,2,0,3,0,0,0,1,0,14,1,2,0,4,0,0,0,1,0,0,3,10,0,0,0,6,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,5,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,5,2,17,0,0,0,0
 Boltzmann Machine ,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Computer Vision ,0,2,0,0,0,0,4,31,0,1,0,0,0,112,2,2,0,0,0,29,6,0,21,4,0,19,0,3,0,1,0,0,0,1,0,0,0,6,1,1,0,0,17,0,0,2,1,0,2,0,4,0,6,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,48,5,41,1,4,9,0,13,0,14,22,2,11,0,1,64,30,3,0,50,175,0,0,1,0,26,1,0,0,1,0,9,0,3,0,0,0,0,0,0,3,4,31,3,0,2
 Loss Functions ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
