Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Multi Processing , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Token Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Computer Vision , Loss Functions , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Robots ,0,1,6,0,18,45,0,15,0,1,0,66,0,0,0,23,0,0,24,8,0,29,9,1,8,0,0,4,0,0,0,0,1,0,537,3,8,0,3,2,13,0,2,40,2,3,2,0,8,1,12,20,7,0,7,0,0,0,0,0,44,17,10,155,3,7,0,22,22,1,0,0,0,0,30,16,3,0,1171,1015,1,0,45,16,0,0,0,0,5,0,326,0,34,0,0,1,0,3,12,0,1
 Genetic Algorithm ,0,1,0,0,2,12,0,1,0,0,0,56,0,0,0,21,3,0,22,14,0,1,3,0,1,0,0,0,2,0,1,0,0,0,11,6,3,0,0,1,2,0,0,3,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,44,0,26,4,2,0,9,0,0,18,1,4,0,0,0,3,10,12,0,18,156,0,0,41,0,4,0,0,0,1,0,9,3,12,0,0,30,0,10,1,2,0
 Pattern Recognition ,0,3,3,0,4,39,1,3,0,2,1,227,1,0,0,74,1,0,30,18,0,5,1,0,1,0,0,0,0,0,0,2,0,1,2,6,6,0,2,1,5,0,4,0,1,0,1,0,1,2,0,10,1,0,10,0,0,0,0,17,26,0,2,1,6,42,0,0,41,4,6,0,0,0,13,36,9,0,9,191,1,0,40,0,3,0,2,0,4,0,1,0,38,0,0,16,3,8,0,0,1
 Search Algorithm ,0,0,2,0,2,3,0,1,0,0,1,6,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,3,0,1,0,0,1,0,10,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,15,0,0,5,0,12,0,0,0,0,1,1,1,3,0,0,2,0,1,1,0,0
 Humanoid Robots ,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,2,0,0,2,0,0,0,0,155,2,1,4,0,0,2,0,0,1,0,0,0,0,0,9,2,0,0,47,75,0,0,3,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0
 Gesture Recognition ,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,6,0,0,0,1,0,0,3,0,0,0,0,0,2,6,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0
 Dimensionality Reduction ,0,1,0,0,0,24,0,0,0,0,0,66,2,0,0,42,4,0,17,11,0,2,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,3,0,0,0,1,7,9,42,0,2,1,0,0,0,16,1,2,0,0,0,4,29,2,0,4,48,0,0,11,0,0,0,1,0,1,0,0,0,5,0,0,10,0,3,0,0,0
 Dynamic Cloud ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 UAM ,0,0,1,0,0,1,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,11,48,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,0,0
 Clustering ,0,1,0,0,4,36,1,5,0,6,3,146,10,0,0,27,5,0,16,5,0,2,6,0,27,0,0,0,0,3,0,0,0,2,3,29,0,0,2,1,0,0,3,2,1,0,1,0,2,1,2,8,1,0,6,0,2,4,0,22,18,41,0,1,3,16,0,1,0,2,8,0,0,0,16,28,2,0,10,177,0,0,60,0,1,0,7,0,10,0,0,1,13,1,0,92,1,39,1,1,0
 Statistical Learning ,0,0,0,0,1,8,0,0,0,0,0,21,0,0,0,20,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,4,0,0,0,1,0,0,2,0,1,0,0,0,1,4,0,0,1,14,0,0,8,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,2
 Image Classification ,0,0,0,0,0,6,0,0,0,0,2,99,0,0,2,51,4,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,4,6,0,0,0,2,0,0,8,1,0,0,0,0,2,12,0,0,0,37,0,0,12,0,0,0,1,0,3,0,0,0,7,0,0,1,0,10,0,0,1
 Token Classification ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Text Similarity ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transfer Learning ,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Object Recognition ,2,1,1,0,2,40,0,2,0,0,0,68,2,0,0,18,1,0,9,1,0,10,0,0,2,0,0,0,0,0,0,0,0,1,17,1,0,0,0,0,1,0,2,2,8,0,0,0,0,1,0,2,4,0,1,0,0,0,0,30,3,13,0,9,2,4,0,0,16,1,2,0,0,0,0,23,0,0,27,180,0,0,12,1,0,0,0,0,4,0,1,0,49,0,0,0,3,24,0,0,0
 Feature Extraction ,0,1,0,0,0,71,0,4,0,0,0,229,0,0,0,98,4,0,11,18,0,3,1,0,0,0,2,0,1,1,0,0,0,0,9,4,0,0,0,0,5,0,2,0,5,0,0,0,1,1,0,25,1,1,9,1,0,0,2,16,10,36,3,2,6,29,0,4,28,4,12,0,0,0,23,0,1,0,6,173,0,0,22,0,0,0,0,0,0,0,2,0,21,0,0,9,0,19,2,0,0
 Expert System ,0,0,1,0,0,29,0,8,0,0,1,28,0,0,0,6,0,0,4,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,12,9,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,3,98,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0
 Ensemble Modeling ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Robotics ,0,0,4,0,2,26,0,8,0,1,1,55,0,5,0,17,0,0,16,0,0,17,2,1,3,0,0,0,0,1,0,0,0,0,183,2,2,0,1,3,8,0,1,16,2,1,3,0,2,3,1,8,5,0,3,0,0,0,0,1171,18,9,3,47,0,4,0,11,10,1,0,0,0,0,27,6,3,0,0,457,1,0,37,62,0,0,0,0,3,0,149,0,24,0,0,2,3,1,7,0,1
 AI ,1,9,14,0,25,209,27,119,0,44,4,619,20,2,3,227,21,2,115,109,1,63,55,10,56,6,1,0,9,18,10,12,3,8,255,107,15,0,9,3,26,1,17,109,27,8,5,0,14,6,37,175,26,0,54,0,0,12,6,1015,156,191,15,75,17,48,0,48,177,14,37,0,0,1,180,173,98,2,457,0,5,0,316,21,12,0,4,1,54,0,84,11,193,1,0,229,7,152,14,6,1
 Hardware Acceleration ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,5,0,0,0,0
 Bayesian Machine Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Machine Learning ,0,5,1,0,6,56,5,2,0,4,3,330,4,0,5,189,35,3,106,24,0,2,21,2,9,0,0,0,0,7,2,2,1,5,7,11,2,0,1,1,0,0,2,20,1,2,1,0,5,3,0,5,8,0,5,0,0,1,1,45,41,40,5,3,2,11,0,0,60,8,12,1,2,0,12,22,4,0,37,316,0,1,0,0,0,0,3,0,30,0,2,2,13,3,0,79,1,8,0,4,3
 AUV ,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,62,21,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,0
 Quantum Computing ,0,0,3,0,4,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,6,0,0,5,0,0,0,0,4,3,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0
 PaaS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Big Data ,0,0,0,0,0,7,0,0,0,0,1,5,0,0,0,4,1,0,2,0,0,0,1,0,0,0,0,0,3,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,7,1,1,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,1,0,0,2,0,1,0,3,0,1,0,0,0
 SaaS ,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 Supervised Learning ,0,0,0,0,0,8,0,0,0,0,0,52,8,0,3,22,5,1,15,10,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,2,0,4,0,0,0,0,5,1,4,0,0,0,1,0,0,10,0,3,0,0,0,4,0,0,0,3,54,0,0,30,0,0,0,1,0,0,0,0,0,4,1,0,5,0,1,0,0,1
 Optical Computing ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Manipulator ,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,7,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,326,9,1,1,9,0,0,0,0,0,0,0,0,0,0,1,2,1,0,149,84,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
 High Performance Computing ,0,0,1,2,3,2,0,0,0,0,16,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,9,0,1,0,6,0,0,0,0,0,2,3,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,3,0,2,0,3,0,2,0,0,0,0,0,0,0,0,2,6,0,0,0,0
 Computer Vision ,0,1,1,0,3,15,0,1,0,0,0,61,1,0,0,13,2,0,10,1,0,17,1,0,0,0,0,0,1,0,0,0,1,1,12,2,0,0,0,0,2,0,2,2,7,0,1,0,0,3,0,1,0,0,1,0,0,0,0,34,12,38,3,3,9,5,0,10,13,0,7,0,0,0,49,21,0,0,24,193,0,0,13,3,0,0,0,0,4,0,3,0,0,1,0,3,2,17,0,0,0
 Loss Functions ,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
 IaaS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Data Mining ,0,2,5,0,2,98,0,8,0,0,0,155,0,0,2,37,6,1,48,13,0,0,4,0,9,0,0,0,6,1,3,0,0,11,0,15,0,0,0,8,0,0,0,2,0,4,0,1,1,3,0,3,3,0,2,0,0,0,1,1,30,16,2,0,0,10,0,0,92,2,1,0,0,0,0,9,5,0,2,229,2,0,79,0,0,0,3,0,5,0,0,2,3,0,0,0,0,2,0,1,0
 GPU ,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,7,5,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,3,0,0,0
 Image Segmentation ,0,1,0,0,3,23,0,1,0,0,0,74,2,0,0,12,1,0,6,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,7,1,0,0,4,0,0,0,0,0,0,3,10,8,1,0,2,3,0,0,39,0,10,0,0,0,24,19,1,0,1,152,0,0,8,0,0,0,1,0,1,0,0,0,17,0,0,2,3,0,1,0,0
 UGV ,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1,0,1,0,0,0,0,7,1,0,0,0,0,0,0,2,0,0,7,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Entity Recognition ,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Loss Function ,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
