Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , Deep Neural Netork , NLP , Automated Reasoning , Bert , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Information Retrieval , Mobile Robots , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Tensor Processing Unit , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Text To Image , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Fog Computing , Dew Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , Quantum Computing , AUV , Deep Learningbased , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 RDBMS & SQL ,0,0,0,42,0,2,0,30,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,3,0,9,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,8,0,15,1,0,11,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,1,1,12,0,0,0,0,0
 Information Retrieval ,0,0,0,0,0,0,0,4,4,1,0,3,0,24,1,0,0,0,0,2,3,3,0,3,0,0,0,1,0,39,0,0,1,0,1,0,0,0,0,0,3,1,0,0,2,0,0,0,1,0,23,0,2,5,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0,0,0,0,0,2,0,1,2,0,3,0,0,1,0,0,1,0,0,5,0,0,0,0,0,5,2,6,0,1,1,24,0,0,0,0,29,0,0,0,0,10,0,1,0,0,1,0,0,0,2,0,3,0,7,0,0,0,3,0
 Mobile Robots ,0,0,1,1,0,5,1,1,0,1,0,0,0,10,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,16,0,0,24,0,2,5,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,169,1,0,0,2,3,4,0,0,0,0,17,2,0,0,1,0,0,0,6,0,0,0,147,32,0,0,0,0,12,0,0,0,0,0,0,4,0,18,0,0,0,0,15,0,0,0,0,0,1,17,0,0
 Dynamic Programming ,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Encoder Decoder ,0,0,0,0,0,0,0,1,1,0,0,1,0,9,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,3,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,55,0,0,0,0,0,0,0,1,0,0,0,12,0,3,0,1,0,0,1,0,0,4,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,3,1,0,0,6,10,1,0,0,0,6,0,0,0,0,2,0,1,0,0,2,0,0,0,6,0,0,0,0,1,5,0,0,6
 Deep Learning ,0,3,1,20,0,24,31,207,7,9,3,19,3,1108,16,2,1,2,0,207,112,23,2,187,59,0,40,18,2,105,0,1,40,5,157,2,29,94,3,0,14,30,4,5,5,3,23,16,5,41,0,7,14,2196,0,62,92,6,0,2,6,3,0,47,7,530,34,99,9,28,39,3,24,0,19,104,34,27,52,7,1,15,0,3,27,0,124,71,142,3,4,0,0,152,149,241,12,3,134,861,0,3,28,1,981,2,1,1,0,141,0,69,0,7,8,5,9,6,235,15,13,0,43,22,99,30,8,54
 Neuromorphic Computing ,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,9,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Data Storage ,0,0,0,15,0,2,0,5,0,1,0,0,0,6,0,0,0,0,1,1,1,1,0,2,0,1,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,26,0,1,1,9,2,0,0,0,14,0,0,4,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,16,0,0,1,0,8,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,2,1,1,3,14,0,6,0,0,14,1,0,0,0,40,0,1,0,0,0,0,1,0,1,0,0,0,8,0,0,1,0,0
 Convolutional Networks ,0,8,1,15,0,11,21,177,0,1,0,4,0,1324,15,1,2,4,0,249,106,20,0,184,79,0,27,8,0,41,0,0,20,0,114,6,29,20,4,0,7,11,0,0,2,0,5,24,0,55,2196,1,4,0,0,64,17,11,0,0,3,5,0,38,2,336,79,54,3,21,28,0,9,1,29,114,13,16,69,4,2,23,0,2,33,0,151,27,252,0,3,0,0,221,204,346,8,1,146,666,0,0,31,0,655,0,1,0,0,67,0,56,0,9,13,0,0,1,285,14,3,0,8,22,120,16,2,51
 Automated Question Answering ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Image Recognition ,0,0,0,0,0,2,0,5,1,0,0,0,0,25,0,0,0,0,0,6,2,0,0,2,2,0,0,0,0,6,0,0,2,0,0,0,2,0,0,0,0,2,0,1,0,0,0,2,0,0,62,0,0,64,0,0,4,1,0,1,0,0,0,0,0,4,0,3,0,1,0,0,2,0,0,4,1,0,5,0,0,0,0,0,0,0,10,4,5,1,1,0,0,3,7,7,2,0,4,31,0,0,2,0,27,0,0,0,0,7,0,0,0,0,0,0,1,0,18,0,1,0,1,1,0,0,0,0
 Reinforcement Learning ,0,0,0,3,0,2,13,5,0,0,0,0,0,15,0,0,1,0,0,0,1,0,0,12,4,0,0,2,0,3,0,0,9,0,4,0,1,1,1,0,0,10,0,0,0,1,0,5,9,0,92,3,0,17,0,4,0,0,0,0,3,1,0,8,0,25,0,6,52,2,4,0,1,0,0,88,7,21,2,7,3,0,0,0,0,0,32,9,1,2,6,0,0,11,3,1,0,0,66,149,0,1,3,0,105,1,0,0,0,7,0,17,0,6,0,0,0,0,6,0,3,0,4,0,0,10,0,2
 Face Detection ,0,0,0,0,0,0,0,5,0,0,0,0,0,3,1,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
 Photonic Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Tensor Processing Unit ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
 Distributed Computing ,0,0,0,41,0,2,2,5,0,0,1,0,1,11,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,4,0,30,0,0,0,2,0,0,0,0,6,0,1,3,0,0,3,0,0,0,0,0,0,2,2,0,0,0,1,0,1,1,6,0,0,7,2,12,2,0,0,0,0,0,0,0,4,5,0,0,5,0,0,0,2,0,0,0,7,22,0,1,2,0,17,0,0,0,1,38,0,0,0,0,0,0,5,0,1,0,1,0,6,3,0,0,0,0
 Bayesian Inference ,0,0,0,0,0,0,11,1,0,0,0,0,0,8,1,0,0,0,0,0,4,0,0,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,5,0,0,1,0,0,0,0,0,0,0,1,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,0,1,1,0,0,2,6,0,0,0,1,30,0,0,0,0,7,0,3,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0
 Distributed File System ,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
 Optimization Algorithm ,0,1,0,6,0,0,2,3,0,0,0,0,0,21,2,0,0,0,0,12,5,1,0,14,0,0,1,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,47,0,0,38,0,0,8,0,0,0,2,0,0,0,0,8,3,2,1,0,11,0,1,0,3,5,5,1,0,3,0,0,0,0,2,0,0,2,5,0,0,0,0,2,0,1,0,1,7,13,0,0,1,0,32,2,0,0,0,10,0,3,0,1,1,1,0,1,4,1,0,0,3,0,1,1,0,6
 Parallel Processing ,0,0,0,6,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,6,0,0,5,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0
 RNN ,0,0,0,2,0,4,7,54,3,2,1,20,0,248,4,2,1,0,0,50,21,19,1,48,42,0,5,4,0,64,2,0,6,4,16,0,25,23,0,0,5,4,1,0,0,0,4,2,0,12,530,0,1,336,1,4,25,0,0,0,0,3,0,8,0,0,3,41,1,16,12,0,16,1,6,28,17,12,16,4,4,24,0,0,4,0,7,16,16,0,2,0,0,23,16,55,2,3,44,197,0,1,0,0,205,6,0,0,0,19,0,21,0,5,11,0,0,1,30,1,3,0,20,3,2,2,18,16
 Fully Connected Layer ,0,1,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,0,0,79,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,3,1,8,0,1,0,0,6,2,8,0,0,0,7,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0
 Voice Recognition ,0,0,0,3,0,1,0,13,7,1,0,8,0,33,1,0,0,0,0,5,1,1,0,5,4,0,0,0,0,18,0,0,3,0,0,0,3,0,0,0,0,6,0,0,0,0,3,3,1,3,99,0,0,54,0,3,6,0,0,0,0,0,0,2,0,41,1,0,0,0,4,0,2,0,1,25,0,2,2,1,1,6,0,0,2,0,0,3,5,0,0,0,0,5,9,12,0,0,18,43,0,0,7,0,29,0,0,0,1,2,0,3,0,0,2,0,0,0,10,0,0,0,2,1,1,3,0,1
 Markov ,0,0,0,1,0,5,15,7,0,0,1,0,0,9,0,0,0,0,0,2,1,0,0,14,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,2,0,9,0,0,3,0,0,52,0,0,0,1,19,0,1,1,1,0,0,0,0,0,0,4,0,0,8,3,4,1,1,1,1,0,0,0,0,5,9,0,3,4,0,0,2,1,0,3,0,7,28,0,0,0,0,30,0,0,0,0,11,0,3,0,2,0,0,0,0,0,0,0,0,4,0,0,3,0,1
 Feature Engineering ,0,0,0,0,0,0,0,4,0,2,0,0,0,28,0,0,0,0,0,5,6,0,0,5,2,0,0,1,0,6,0,0,2,0,2,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,28,0,0,21,0,1,2,0,0,0,0,0,0,0,0,16,1,0,0,0,1,0,1,1,3,1,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,7,0,0,3,11,0,0,0,0,37,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,4,0,0,0,2,1
 Back-propagation ,0,1,0,0,0,0,0,5,0,0,0,0,0,32,0,0,0,1,0,20,6,1,0,22,18,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,1,0,28,0,0,4,0,0,0,1,0,0,11,0,12,0,4,0,1,0,0,1,0,1,1,9,2,2,3,0,0,0,0,3,0,5,2,1,1,0,0,0,1,0,7,1,0,3,34,0,0,0,0,31,0,1,0,0,2,0,3,0,2,0,0,0,0,8,1,0,0,2,0,0,1,0,2
 Cluster Computing ,0,0,0,7,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0
 Data Center ,0,0,0,29,0,5,5,32,0,0,2,0,7,21,1,0,0,0,1,6,1,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,145,0,0,0,4,0,0,2,1,24,0,16,9,0,2,1,0,1,1,6,0,0,1,0,16,0,2,4,1,1,3,0,0,0,3,15,52,1,2,0,0,0,0,0,1,2,12,2,0,18,0,0,0,2,2,4,0,0,65,0,0,11,0,38,0,0,0,2,48,3,0,0,0,0,0,20,0,0,0,1,9,8,4,0,0,0,0
 Semantic Search ,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
 Boosting ,0,2,0,1,0,0,0,3,0,0,0,1,0,45,0,0,0,0,0,48,57,0,0,51,14,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,29,0,0,0,0,0,0,0,0,0,3,0,6,2,1,0,3,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,1,0,2,1,12,0,0,0,0,110,0,0,0,0,4,0,2,0,0,1,0,0,0,2,0,2,0,6,0,0,0,0,1
 Robots ,1,0,5,7,1,102,2,28,0,13,0,2,4,115,0,3,0,2,0,15,5,3,0,37,1,0,27,0,0,9,0,0,6,2,1,0,2,2,1,0,0,20,0,68,0,0,1,169,0,4,104,5,1,114,0,4,88,0,0,0,7,0,0,5,0,28,0,25,8,1,1,0,3,0,1,0,12,9,9,12,212,33,0,0,8,0,119,7,0,0,1,0,0,16,48,15,6,0,1928,474,0,0,0,0,149,1,13,0,0,15,0,13,0,173,0,0,2,0,82,0,1,0,2,0,4,48,0,4
 Genetic Algorithm ,0,0,0,0,0,10,5,21,0,0,0,0,0,52,1,1,0,0,0,62,17,3,0,44,25,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,23,0,5,0,0,2,1,1,0,34,0,0,13,0,1,7,0,0,0,2,0,0,5,1,17,0,0,3,0,9,0,15,0,1,12,0,3,2,9,4,0,0,0,4,0,22,13,1,1,6,0,0,1,0,7,7,2,8,126,0,0,0,0,93,3,0,0,0,18,1,4,0,3,0,0,2,0,6,0,4,2,28,0,1,7,0,0
 Edge Computing ,0,0,0,6,0,11,3,2,0,0,1,0,2,17,1,0,0,0,3,3,1,0,0,2,4,0,0,0,0,1,0,0,2,0,0,0,0,0,3,1,0,163,0,1,0,3,0,0,0,0,27,0,8,16,0,0,21,1,0,0,12,0,1,1,0,12,1,2,4,1,2,0,52,0,0,9,3,0,1,2,0,0,0,0,1,0,24,7,0,0,52,0,0,0,0,7,1,0,5,42,0,1,3,0,38,0,1,0,1,27,0,1,0,1,0,0,2,0,3,0,0,1,1,1,1,1,0,0
 Pattern Recognition ,0,6,0,6,0,1,2,18,0,1,0,1,1,108,4,1,0,0,0,32,10,0,0,24,4,0,1,0,0,1,0,0,8,0,0,0,2,2,0,0,0,1,0,3,0,0,3,0,1,0,52,2,0,69,0,5,2,1,0,0,2,0,0,0,0,16,1,2,1,2,2,0,1,0,3,9,2,1,0,0,0,8,0,0,15,0,6,21,7,0,0,0,0,10,12,33,2,0,12,61,0,0,1,1,96,0,0,0,0,19,0,6,0,0,0,0,0,0,18,0,4,0,15,0,2,0,0,2
 Search Algorithm ,0,1,0,0,0,0,5,4,0,1,0,2,0,5,0,0,0,0,0,9,1,0,0,3,4,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,7,0,0,4,0,0,7,0,0,0,0,0,0,3,0,4,0,1,1,0,3,0,2,0,0,12,9,2,0,0,0,0,0,0,1,0,6,2,1,0,1,0,0,0,0,0,1,0,7,19,0,0,2,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0
 Humanoid Robots ,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,212,4,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,4,0,0,0,89,41,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0
 Gesture Recognition ,0,2,0,0,0,1,0,3,1,0,0,0,0,42,0,0,1,0,0,12,5,0,0,0,0,0,3,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,4,1,0,15,0,0,23,0,0,0,0,0,0,0,0,0,0,0,24,0,6,1,0,0,0,0,0,0,33,0,0,8,0,2,0,0,0,1,0,2,4,2,0,0,0,0,1,0,10,0,0,18,21,0,0,0,0,14,0,1,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,1,0,1,0,0,1
 Data Intensive Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Text To Image ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Dimensionality Reduction ,0,7,0,0,0,2,5,15,0,0,0,0,0,73,2,0,1,0,0,50,42,0,0,44,11,0,0,1,0,7,0,0,6,0,2,0,0,6,0,0,0,2,2,2,0,0,1,0,1,2,27,0,0,33,0,0,0,1,0,0,0,2,0,2,0,4,1,2,0,1,3,0,0,0,0,8,4,1,15,1,0,1,0,0,0,0,1,24,1,2,0,0,0,0,4,15,3,0,11,23,0,0,0,0,85,0,0,0,0,14,0,10,0,1,0,0,0,0,9,0,6,0,24,1,0,1,0,1
 Dynamic Cloud ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
 UAM ,1,0,1,0,0,13,4,29,0,0,0,0,2,153,0,26,0,0,0,46,53,0,0,32,6,0,7,0,0,3,0,0,8,0,4,0,0,1,0,0,0,25,0,9,0,0,0,17,0,0,124,0,3,151,0,10,32,3,0,0,4,4,0,0,1,7,3,0,5,2,5,0,2,0,0,119,22,24,6,6,1,2,0,0,1,0,0,24,16,0,6,0,0,3,58,17,4,0,108,105,0,0,0,0,96,0,3,0,0,17,0,3,0,6,0,0,0,0,76,0,0,0,4,2,18,31,0,0
 Clustering ,0,1,1,22,0,6,4,44,0,2,1,0,1,210,7,0,2,1,0,37,41,10,0,58,15,0,0,1,0,22,0,0,71,0,3,1,0,10,0,0,0,14,1,2,6,2,5,2,0,1,71,0,0,27,0,4,9,1,0,0,5,2,0,2,2,16,1,3,9,0,2,1,12,0,0,7,13,7,21,2,1,4,0,0,24,1,24,0,1,4,2,0,0,3,5,24,1,2,12,101,0,1,3,0,261,0,0,0,0,94,0,21,0,0,1,0,0,0,15,1,13,1,111,1,11,4,1,3
 Image Classification ,0,2,0,0,0,1,0,11,0,0,0,0,0,150,6,0,0,0,0,45,25,0,0,10,5,0,2,0,0,3,0,0,1,0,2,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,142,0,0,252,0,5,1,0,0,0,0,1,0,5,0,16,8,5,0,0,1,0,2,0,3,0,1,0,7,1,0,2,0,0,1,0,16,1,0,0,0,0,0,15,18,35,0,0,1,50,0,0,5,0,59,0,1,0,0,5,0,9,0,0,0,1,1,0,29,1,2,0,3,1,7,1,0,1
 Statistical Learning ,0,1,0,2,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,4,5,1,0,31,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,27,0,0,0,0,6,0,3,0,0,0,0,1,0,0,1,4,0,2,0,1,0,0,1
 Fog Computing ,0,0,0,2,0,7,0,3,0,0,1,0,0,10,0,0,0,0,2,1,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,106,0,0,0,1,0,1,0,0,4,0,3,3,0,1,6,0,0,0,5,0,0,0,0,2,1,0,4,0,0,0,18,0,0,1,6,52,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,2,2,0,0,3,23,0,0,1,0,12,0,0,0,0,21,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0
 Dew Computing ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Text Similarity ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transfer Learning ,0,0,0,0,0,0,0,21,3,0,0,7,0,107,2,0,0,0,0,14,4,4,0,16,0,0,1,0,0,7,0,2,1,0,4,1,1,5,0,0,3,0,0,0,1,0,5,0,0,0,152,0,0,221,0,3,11,0,0,0,0,0,0,2,0,23,6,5,2,1,1,0,0,0,2,16,1,0,10,0,1,1,0,0,0,1,3,3,15,0,0,0,0,0,14,42,0,0,16,62,0,0,0,0,60,0,0,0,0,1,0,7,0,0,0,0,0,0,18,0,0,0,1,1,6,1,2,3
