Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , Deep Neural Netork , NLP , Automated Reasoning , Bert , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Inter Clouds , Image To Text , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Tensor Processing Unit , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing ,SVM , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Text To Image , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Token Classification , Fog Computing , Dew Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , Deep Learningbased , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Kernel Machine ,0,0,0,2,0,0,4,6,0,1,0,0,0,99,4,0,0,0,0,0,136,2,0,0,48,2,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,1,0,1,2,0,0,0,1,1,0,4,0,0,3,0,0,2,0,4,0,0,0,1,5,4,0,17,0,0,3,0,0,10,0,1,9,11,11,0,0,0,0,0,2,14,0,0,1,104,0,0,0,0,51,0,0,0,0,6,0,6,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4
 3D Print ,0,0,1,19,0,38,32,46,0,0,0,0,4,65,0,2,0,0,0,0,7,1,0,0,35,0,0,2,0,0,2,0,0,0,0,5,0,0,0,1,0,0,17,0,0,0,0,14,3,2,0,0,0,13,0,1,5,0,1,1,0,0,0,1,0,0,3,0,0,1,0,1,1,4,0,0,0,1,1,352,24,1,4,1,25,4,0,0,6,0,89,7,0,0,0,0,0,0,1,0,12,0,0,402,180,0,0,0,0,96,6,1,0,0,23,1,0,0,40,0,0,0,0,13,0,1,0,4,2,25,1,0,6
 Topic Modeling ,0,0,0,5,0,0,0,7,2,1,0,3,0,40,2,0,0,1,0,0,3,1,31,0,6,0,0,0,0,0,28,0,0,8,0,0,0,0,1,0,0,7,4,0,0,0,0,0,27,0,0,0,0,9,0,1,4,0,0,2,0,0,0,1,2,0,1,0,0,1,0,3,3,1,0,1,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,24,0,2,0,0,0,0,1,2,1,2,0,0,48,0,2,0,0,54,0,0,0,0,40,0,2,0,0,3,0,0,0,2,0,4,0,19,0,0,1,4,0
 RDBMS & SQL ,0,0,0,266,0,8,0,418,1,31,0,0,0,76,1,0,0,0,0,0,5,0,1,0,8,1,2,0,0,0,19,0,0,1,0,0,0,0,0,4,1,2,95,0,0,0,0,7,59,0,0,0,0,11,0,34,0,0,2,3,1,0,0,12,0,2,1,13,0,6,0,1,2,0,5,2,23,3,0,11,3,5,8,2,0,0,1,0,5,0,1,30,0,6,0,1,0,0,0,4,8,29,0,10,200,0,93,4,0,63,0,0,0,5,193,2,2,0,1,0,0,7,0,7,0,4,4,190,3,1,0,2,0
 Mobile Robots ,2,3,2,6,0,17,133,114,2,36,1,4,3,311,4,13,3,2,0,0,73,7,0,0,48,24,0,117,0,0,9,2,0,19,0,5,0,14,4,0,2,0,23,0,14,0,7,0,3,30,0,0,0,51,1,5,98,0,20,153,13,0,0,27,12,0,32,6,0,57,0,41,55,1,27,0,10,0,2,8341,191,0,47,62,66,28,0,0,30,0,171,89,1,8,0,1,0,0,4,223,134,11,0,3010,3504,0,0,5,0,94,85,0,0,2,5,0,33,0,307,0,0,1,0,182,0,0,0,7,9,34,147,0,6
 Information Retrieval ,3,15,0,44,0,4,9,744,99,90,0,224,1,808,7,0,0,0,0,0,166,20,40,0,87,12,1,0,2,0,514,4,0,23,5,8,10,3,3,0,10,71,37,1,3,27,59,3,0,33,0,0,1,115,0,15,43,2,8,11,2,0,0,10,7,3,7,7,0,38,2,121,22,6,8,3,8,69,5,30,79,1,83,47,0,3,1,0,22,0,2,392,8,25,0,0,0,12,8,35,109,20,1,21,1744,6,5,4,0,361,0,4,0,0,90,0,30,0,0,19,0,6,4,49,5,5,0,268,5,6,0,58,5
 Dynamic Programming ,0,1,0,8,0,2,9,30,5,4,0,13,4,46,0,1,0,0,0,0,16,4,1,0,14,3,0,4,0,0,7,1,0,8,0,0,0,0,0,0,1,1,13,0,2,0,0,30,33,0,0,0,0,15,0,1,5,0,1,107,2,0,0,1,4,0,4,4,0,11,0,32,61,0,1,0,12,0,0,75,23,2,45,9,3,7,0,0,4,1,22,17,4,2,0,1,0,0,0,23,8,7,0,39,214,0,1,8,0,55,7,1,0,0,9,0,5,0,28,0,0,13,0,24,1,1,1,15,7,24,4,0,0
 Inter Clouds ,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Image To Text ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
 Encoder Decoder ,0,0,1,0,0,0,0,2,14,0,0,6,0,23,1,0,0,0,0,0,2,2,0,0,5,2,0,4,1,0,6,0,0,0,2,5,0,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,74,0,0,91,0,0,0,0,0,0,0,1,0,0,0,0,37,2,8,0,1,1,0,1,0,0,13,0,1,0,0,4,0,0,0,3,0,1,2,0,4,0,0,0,0,6,6,7,0,0,10,35,1,0,1,0,10,0,0,0,0,2,0,2,0,0,3,0,0,0,12,0,0,0,0,2,13,0,0,9
 Deep Learning ,0,18,4,65,0,45,84,679,36,117,4,87,12,2961,64,2,10,6,0,0,587,267,72,5,548,249,0,109,61,2,256,12,1,133,11,308,13,68,250,7,1,34,85,10,13,9,11,51,115,15,0,2,74,0,17,20,5699,0,179,189,32,0,2,18,15,0,129,26,0,1441,94,689,24,83,138,6,53,4,34,420,54,36,200,14,27,47,0,3,102,1,228,207,12,487,0,5,0,2,423,547,758,27,6,418,3048,2,3,54,1,2292,15,5,1,1,360,1,202,0,17,38,12,48,54,712,39,26,1,120,55,194,83,32,158
 Neuromorphic Computing ,0,0,0,0,0,0,3,7,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,10,4,0,0,3,0,0,0,0,1,0,2,1,0,3,0,2,0,0,5,0,0,0,0,8,1,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,10,27,0,0,3,0,20,0,1,0,0,3,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
 Data Storage ,0,0,0,109,0,11,4,113,1,3,0,2,15,39,0,0,0,0,0,1,13,2,1,0,11,0,4,0,0,0,9,0,0,2,0,1,1,0,1,2,14,0,298,0,1,1,34,5,15,1,0,0,0,20,10,0,10,0,1,3,0,1,0,21,0,11,0,3,0,5,0,1,3,0,0,4,84,4,0,32,2,14,11,1,2,1,3,0,3,2,17,15,1,2,0,12,0,0,0,1,10,8,1,27,110,0,40,0,0,53,4,19,0,6,232,12,3,2,2,0,0,33,0,9,0,5,2,66,1,6,2,1,2
 Convolutional Networks ,0,21,4,32,0,17,55,705,12,10,3,39,11,3839,37,4,6,16,0,0,808,264,58,2,458,276,0,159,27,0,114,0,0,60,1,202,16,80,71,7,0,32,40,1,5,4,0,98,43,5,0,1,91,5699,4,10,0,0,246,44,78,0,0,7,5,0,93,34,0,891,270,225,3,80,78,3,19,1,40,499,51,24,245,12,26,60,0,2,78,3,390,146,4,989,0,3,0,1,636,882,1084,14,4,425,2754,2,0,85,0,1541,21,8,0,0,168,0,213,4,20,35,2,11,7,1024,48,9,0,31,63,351,68,5,162
 Automated Question Answering ,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Image Recognition ,0,4,1,3,0,2,5,89,3,3,0,1,0,238,2,0,0,0,0,0,77,8,1,0,19,9,0,3,0,0,16,0,0,8,0,1,3,5,1,0,0,1,7,1,1,0,2,20,8,1,0,0,0,179,0,1,246,0,0,7,8,0,1,1,0,0,1,4,0,15,5,23,0,4,4,1,4,0,0,40,15,1,96,2,1,1,0,0,21,0,23,27,2,70,0,1,0,0,14,79,74,3,0,32,297,0,0,6,0,97,6,1,0,0,13,0,6,1,1,0,0,3,2,82,0,4,0,12,4,23,5,0,3
 Reinforcement Learning ,0,1,2,10,0,5,65,38,2,16,0,2,2,138,1,1,15,0,0,3,29,1,3,0,123,43,0,3,5,0,11,0,0,39,0,4,0,3,4,1,6,1,62,2,1,2,3,153,11,107,0,0,0,189,3,3,44,0,7,0,2,0,0,6,26,0,61,1,0,115,0,15,465,4,29,0,39,0,1,1079,68,30,14,77,78,1,0,0,5,1,68,63,10,5,0,9,0,0,60,38,13,7,0,595,1741,0,3,4,0,494,33,9,0,0,26,0,82,0,60,2,1,6,1,24,2,4,6,21,2,3,22,0,7
 Face Detection ,0,1,0,9,0,1,2,154,0,0,0,0,0,179,1,0,0,1,0,0,112,9,0,0,13,14,0,39,0,0,3,0,0,2,0,3,0,1,0,0,0,1,6,0,0,0,1,13,2,2,0,0,0,32,0,0,78,0,8,2,0,0,0,0,1,0,1,3,0,2,1,12,3,2,2,0,1,0,2,68,2,3,39,2,6,21,0,0,27,0,10,24,4,9,0,0,0,0,3,130,105,4,0,40,415,0,0,4,0,49,0,0,0,0,7,0,14,0,0,0,0,0,0,136,0,0,0,10,3,15,2,0,0
 Photonic Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Tensor Processing Unit ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
 Distributed Computing ,1,3,0,245,1,4,18,43,0,5,8,0,69,64,0,0,2,0,0,1,15,7,3,0,11,5,6,0,0,0,1,2,0,6,0,0,0,0,2,10,98,3,318,1,1,1,12,27,10,1,0,0,0,18,0,21,7,0,1,6,0,0,0,0,2,8,7,17,0,0,0,2,10,1,3,20,68,0,1,87,20,30,11,8,0,1,15,0,3,1,20,34,0,6,0,29,0,0,0,4,5,8,0,38,169,0,7,8,0,86,4,13,0,7,230,9,4,0,4,0,0,160,0,8,1,4,12,77,21,0,4,1,0
 Bayesian Inference ,0,1,0,2,0,0,85,19,1,3,0,1,4,62,3,0,0,0,0,0,20,8,0,0,65,8,0,3,0,0,3,0,0,6,0,2,0,1,1,0,0,1,3,1,0,2,0,12,7,4,0,0,1,15,1,0,5,0,0,26,1,0,0,2,0,0,1,1,0,8,0,9,130,0,3,0,1,1,0,47,1,0,16,2,0,2,0,0,10,0,4,19,13,4,0,0,0,0,3,20,12,5,0,39,128,0,0,1,3,99,1,1,0,0,22,0,9,0,3,0,0,8,0,12,1,3,0,17,2,24,1,0,1
 Distributed File System ,1,0,0,56,0,0,0,7,0,1,0,0,8,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0,0,2,0,3,0,1,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,2,9,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,3,0,0,4,0,0,0,0,43,1,0,0,0,0,0,14,0,0,0,3,4,7,0,0,0,0,0
 Optimization Algorithm ,0,9,0,16,0,1,8,23,1,0,1,4,1,158,10,0,1,1,0,0,85,20,2,0,82,60,0,10,1,0,3,0,0,16,0,8,0,4,3,0,1,3,0,4,3,1,1,32,7,4,0,0,0,129,2,0,93,0,1,61,1,0,0,7,1,0,0,5,0,35,4,14,14,1,99,1,1,0,6,90,17,1,28,10,5,1,0,0,17,0,12,39,10,27,0,0,0,0,8,8,26,2,1,53,260,0,0,1,0,173,5,6,0,0,36,0,41,1,6,2,1,5,2,39,4,2,0,16,2,40,2,1,18
 Parallel Processing ,5,0,0,59,2,4,6,33,0,4,0,2,51,66,0,0,1,0,0,0,25,4,0,0,7,10,0,3,0,0,3,0,0,1,0,0,0,0,2,0,7,0,68,0,0,0,13,6,7,4,0,0,0,26,1,3,34,0,4,1,3,0,0,17,1,5,5,0,0,5,0,11,6,0,3,8,6,1,0,36,10,0,32,6,1,0,0,0,0,1,2,25,0,11,0,2,0,0,0,39,19,2,0,28,115,0,3,25,0,36,0,16,0,1,104,2,2,0,2,0,0,85,1,33,0,0,2,32,48,19,2,0,0
SVM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RNN ,0,2,0,27,0,5,16,251,52,3,1,288,0,804,11,2,3,2,0,0,246,67,50,3,213,217,0,15,16,0,159,2,0,43,13,22,7,62,52,0,0,16,15,3,1,1,6,57,38,11,0,0,37,1441,3,5,891,1,15,115,2,0,0,0,8,0,35,5,0,0,16,410,13,37,165,0,29,1,10,259,69,16,77,12,20,65,0,0,16,0,11,70,6,51,0,2,0,0,59,38,223,7,5,178,1392,5,1,4,0,581,9,8,0,0,52,0,70,4,18,28,0,1,9,76,9,8,0,38,14,18,7,31,41
 Fully Connected Layer ,0,1,0,0,0,0,1,6,1,0,0,0,0,57,0,0,0,0,0,0,15,2,3,0,13,12,0,0,0,0,0,0,0,2,0,3,0,1,3,0,0,0,1,0,0,0,0,0,2,0,0,0,2,94,0,0,270,0,5,0,1,0,0,0,0,0,4,0,0,16,0,4,0,1,2,0,0,0,2,0,0,1,3,0,0,0,0,0,1,0,5,1,0,30,0,1,0,0,14,8,29,0,0,1,37,0,0,2,0,9,0,0,0,0,2,0,4,0,0,1,1,0,0,14,0,0,0,0,1,0,0,0,1
 Voice Recognition ,0,8,1,40,0,1,10,644,155,13,0,802,0,779,11,0,1,0,0,0,219,15,6,2,180,262,0,4,5,0,171,0,0,39,2,3,13,13,10,0,0,11,17,0,1,3,1,41,121,32,0,0,8,689,2,1,225,0,23,15,12,0,0,2,9,0,14,11,0,410,4,0,42,6,30,0,3,3,4,363,15,4,109,37,39,48,0,0,33,0,4,141,4,20,0,0,0,0,12,61,391,20,1,177,2215,3,0,16,0,253,0,0,0,1,16,2,22,1,5,6,3,2,4,63,2,0,0,31,5,10,4,18,12
 Markov ,4,0,2,2,0,6,183,60,2,7,1,3,12,170,1,1,0,0,0,0,36,18,2,0,115,16,0,4,1,0,6,1,0,11,0,2,0,0,1,0,1,3,59,2,1,3,2,55,22,61,0,0,0,24,0,3,3,0,0,465,3,0,0,10,130,0,14,6,0,13,0,42,0,1,8,0,26,0,0,286,21,8,38,14,7,5,0,0,10,0,25,71,18,11,0,5,0,0,10,37,11,12,0,124,475,1,4,1,1,184,8,14,0,1,47,1,19,0,8,0,0,16,2,10,2,1,4,46,3,87,17,0,2
 Feature Engineering ,0,2,0,6,0,1,1,16,3,2,1,3,0,133,0,0,0,0,0,0,38,21,5,0,26,3,0,0,2,0,32,0,0,8,0,2,0,2,7,0,0,7,4,0,4,1,0,1,6,0,0,0,1,83,0,0,80,0,4,4,2,0,0,1,0,0,1,0,0,37,1,6,1,0,1,0,3,2,3,5,2,1,15,0,1,3,0,0,4,0,2,13,4,13,0,0,0,1,5,16,51,0,0,8,54,0,0,0,0,117,0,0,0,1,18,1,11,0,0,1,0,0,1,19,0,3,1,19,1,7,0,4,1
 Back-propagation ,1,26,1,6,0,0,15,138,0,3,0,2,4,623,1,0,1,3,0,0,150,14,5,0,307,566,0,2,1,0,7,0,1,25,0,1,1,2,6,0,1,1,2,4,0,0,5,27,8,1,0,0,1,138,5,0,78,0,4,29,2,0,0,3,3,0,99,3,0,165,2,30,8,1,0,1,1,0,4,80,161,2,137,16,4,5,0,0,84,0,15,69,9,29,0,0,0,0,3,25,110,16,1,51,788,0,1,2,0,183,4,1,0,0,9,0,100,3,15,0,0,2,2,31,1,0,0,47,10,21,1,1,5
 Cluster Computing ,0,0,0,46,0,0,2,7,3,1,1,0,17,12,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,13,1,34,0,0,1,2,0,3,0,0,0,0,6,0,4,3,0,1,0,0,0,0,20,0,2,1,8,0,0,0,0,0,0,1,0,10,0,0,6,5,2,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,4,1,0,4,29,0,1,2,0,19,0,6,0,0,44,0,2,0,0,0,0,55,0,0,1,1,2,9,5,2,0,0,0
 Data Center ,1,0,0,205,0,10,28,317,0,1,14,0,78,99,1,0,0,0,0,1,17,7,1,0,67,6,2,1,0,0,1,0,0,3,0,2,0,1,4,24,41,0,1394,0,0,0,23,10,8,12,1,0,1,53,0,84,19,0,4,39,1,1,1,68,1,9,1,6,0,29,0,3,26,3,1,10,0,0,1,25,74,163,4,16,0,0,7,0,10,6,10,69,1,3,0,87,0,0,0,4,3,5,0,25,284,0,5,46,0,145,0,0,0,24,335,29,3,0,1,0,0,156,0,3,0,8,101,41,20,0,3,0,0
 Semantic Search ,0,0,0,2,0,0,1,30,5,12,0,4,0,28,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,46,1,0,0,0,0,1,0,0,0,1,3,8,0,1,0,3,0,69,0,0,0,0,4,0,4,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,2,0,0,0,0,0,1,3,0,2,5,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,1,1,6,0,7,175,0,0,0,0,17,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,1,0,6,0,0,0,12,0
 Boosting ,0,8,0,3,0,0,1,28,0,0,0,1,0,205,6,0,1,0,0,0,115,149,3,0,149,20,0,1,1,0,9,0,0,4,0,3,0,0,3,0,0,5,1,1,1,0,0,2,5,0,0,0,0,34,0,0,40,0,0,1,2,0,0,1,0,0,6,0,0,10,2,4,0,3,4,0,1,0,0,16,7,0,19,0,0,1,0,0,5,0,0,10,14,19,0,0,0,0,3,15,23,2,3,6,108,0,0,0,0,293,0,0,0,0,13,0,18,0,0,1,0,0,0,12,4,4,0,24,0,1,0,0,11
 Robots ,4,23,11,60,3,292,261,693,4,233,7,28,13,1700,14,48,17,27,1,0,415,62,10,0,618,84,0,481,3,0,85,10,1,94,10,11,4,52,14,13,5,1,165,5,352,2,11,8341,30,75,0,1,13,420,8,32,499,0,40,1079,68,0,0,87,47,0,90,36,1,259,0,363,286,5,80,6,25,1,16,0,731,18,201,215,3302,288,0,0,121,1,1118,335,28,25,0,5,0,0,71,963,374,64,0,27112,18188,0,3,26,1,1180,666,3,0,8,89,3,139,0,5886,0,0,18,1,867,2,3,3,49,25,81,384,4,15
 Genetic Algorithm ,0,27,0,41,0,25,65,235,3,28,0,2,17,956,14,8,8,0,0,2,535,91,9,0,452,286,2,12,1,0,25,1,0,33,0,0,1,0,4,1,14,11,136,4,24,2,3,191,79,23,0,0,0,54,1,2,51,0,15,68,2,0,0,20,1,0,17,10,0,69,0,15,21,2,161,5,74,3,7,731,0,9,285,122,30,4,4,0,83,0,104,248,15,50,0,13,0,0,4,49,196,186,9,335,2054,0,2,6,0,686,41,40,0,0,68,1,88,0,174,0,0,68,2,112,0,8,7,406,9,128,24,3,2
 Edge Computing ,0,0,0,19,0,24,4,8,0,0,1,1,5,31,1,0,0,0,0,6,10,1,0,0,3,5,0,0,0,0,1,0,0,3,0,0,0,0,0,24,2,0,424,0,1,0,5,0,1,2,0,0,1,36,0,14,24,0,1,30,3,0,0,30,0,1,1,0,0,16,1,4,8,1,2,2,163,0,0,18,9,0,2,3,0,0,0,0,1,0,45,19,0,1,0,179,0,0,1,1,8,1,0,11,110,0,3,6,0,60,1,0,0,3,70,4,2,0,1,0,0,9,0,8,0,0,6,7,2,1,5,0,0
 Pattern Recognition ,0,141,1,28,1,10,74,712,35,33,0,23,5,4097,32,4,3,1,0,0,1252,121,4,0,552,293,0,25,3,0,22,1,0,97,2,4,6,5,8,0,2,6,15,17,4,2,8,47,83,45,0,1,0,200,10,11,245,0,96,14,39,0,0,11,16,0,28,32,0,77,3,109,38,15,137,0,4,2,19,201,285,2,0,53,4,72,0,1,767,2,47,724,67,148,0,0,0,0,21,336,829,92,1,200,3103,0,0,7,1,1121,3,8,0,1,90,0,146,3,5,0,1,12,1,528,6,12,0,352,29,187,4,2,27
 Search Algorithm ,1,19,0,14,1,1,46,77,12,16,0,26,11,107,0,1,5,0,0,0,36,11,1,0,29,13,0,10,0,0,11,2,0,5,0,4,0,0,2,0,0,0,19,0,1,0,2,62,47,9,0,0,0,14,0,1,12,0,2,77,2,0,0,8,2,0,10,6,0,12,0,37,14,0,16,0,16,5,0,215,122,3,53,0,10,1,0,0,12,0,27,34,4,5,0,4,0,0,3,15,30,10,0,115,440,0,0,7,0,124,15,95,0,0,28,0,10,2,29,0,0,14,0,31,0,0,2,62,4,18,9,0,1
 Humanoid Robots ,0,2,0,3,0,3,14,34,0,8,0,5,1,85,0,0,0,3,0,0,24,2,4,0,39,4,0,21,0,0,7,0,0,10,1,2,1,8,2,0,0,0,4,0,25,0,0,66,0,3,0,0,4,27,0,2,26,0,1,78,6,0,0,0,0,0,5,1,1,20,0,39,7,1,4,0,0,0,0,3302,30,0,4,10,0,16,0,0,18,0,7,20,9,2,0,0,0,0,7,93,13,3,0,1213,1280,0,0,1,1,77,0,0,0,0,3,0,12,0,164,0,0,2,0,50,0,0,0,1,0,6,3,1,0
 Gesture Recognition ,0,9,0,1,0,3,3,81,2,0,0,5,0,347,3,0,1,0,0,0,141,18,1,0,15,31,0,30,0,1,2,1,0,7,0,2,0,0,2,0,0,0,1,3,4,0,0,28,3,7,0,0,0,47,0,1,60,0,1,1,21,0,0,1,2,0,1,0,0,65,0,48,5,3,5,0,0,0,1,288,4,0,72,1,16,0,0,0,19,0,16,31,0,7,0,0,0,0,5,29,86,5,0,125,461,0,0,6,0,107,1,0,0,0,8,0,6,0,15,0,0,0,0,119,0,0,0,7,0,11,1,0,1
 Data Intensive Computing ,0,0,0,14,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,8,0,0,0,0,3,5,0,0,0,0,0
 Text To Image ,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Dimensionality Reduction ,0,51,0,15,0,4,31,293,0,8,1,2,1,1363,13,1,3,0,0,0,604,166,3,0,472,219,1,17,5,0,19,0,0,81,0,3,1,1,15,1,0,4,22,10,6,2,5,30,22,4,0,0,3,102,0,3,78,0,21,5,27,0,0,3,10,1,17,0,0,16,1,33,10,4,84,0,10,0,5,121,83,1,767,12,18,19,0,0,0,1,14,332,22,84,0,1,0,0,8,98,549,37,0,87,698,0,0,2,0,509,6,0,0,0,121,0,61,1,7,0,0,7,3,116,3,20,0,264,8,73,3,1,5
