Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Image To Text , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Fog Computing , Dew Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Image To Text ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
 Encoder Decoder ,0,0,1,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,1,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
 Deep Learning ,0,1,1,14,0,4,12,131,8,10,0,26,7,506,11,0,0,0,0,114,29,19,0,100,36,0,19,14,37,0,18,1,41,2,11,34,2,0,5,13,3,2,4,2,10,22,1,1,6,0,5,2,1044,34,21,4,0,6,5,0,20,10,256,13,137,0,13,23,2,2,0,7,56,6,3,35,0,7,6,0,26,0,33,41,2,88,0,0,0,75,93,124,4,1,55,705,0,0,5,0,321,1,1,0,44,0,24,0,0,10,0,12,7,126,4,7,0,17,14,19,12,4,24
 Neuromorphic Computing ,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,5,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Data Storage ,0,0,0,18,0,2,1,20,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,51,0,0,0,3,0,2,1,0,0,2,5,0,3,0,1,0,0,5,0,2,0,1,0,0,0,0,0,0,2,10,0,0,5,0,0,0,0,2,0,1,0,0,3,2,0,0,1,0,0,0,1,0,0,0,4,17,0,5,0,0,6,0,4,0,41,3,0,0,0,0,0,6,0,1,0,1,0,5,0,0,0,1,1
 Convolutional Networks ,0,6,2,1,0,0,15,173,2,0,2,9,4,789,4,0,1,3,0,203,52,15,0,73,44,0,44,5,20,0,5,0,14,5,12,15,3,0,9,0,0,1,2,0,12,16,0,0,7,1044,1,3,0,77,1,17,0,3,0,0,17,4,168,62,38,0,19,8,0,0,0,0,82,2,0,32,2,10,14,0,17,0,72,32,1,235,0,0,0,116,166,200,0,0,90,726,0,0,12,0,275,8,0,0,18,0,36,0,0,15,1,4,3,215,10,1,0,4,18,53,14,0,33
 Image Recognition ,0,1,0,0,0,0,1,11,1,0,0,0,0,37,1,0,0,0,0,7,1,0,0,2,1,0,1,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,34,0,0,77,0,0,2,0,0,0,0,0,0,2,4,3,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,3,0,2,3,0,16,0,0,0,3,5,4,0,0,2,30,0,0,1,0,19,0,0,0,0,0,1,0,0,0,0,2,0,6,0,0,0,1,0,2,1,0,1
 Reinforcement Learning ,0,0,1,2,0,1,10,0,0,3,0,0,1,8,0,0,5,0,0,9,0,0,0,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,14,0,1,1,0,3,1,9,0,0,21,0,1,1,0,0,0,0,0,1,0,3,0,6,0,1,42,0,0,0,8,0,1,82,5,0,0,8,5,0,0,1,0,2,10,0,0,2,0,0,8,0,2,0,0,53,135,0,0,0,0,56,0,2,0,7,0,3,0,7,0,1,1,0,2,0,0,0,3,0,0,0,0,1
 Face Detection ,0,1,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,1,0,1,0,3,2,0,1,0,0,0,1,3,9,1,0,4,16,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0
 Photonic Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Distributed Computing ,0,0,0,45,0,2,1,0,0,0,3,0,5,8,0,0,0,0,0,1,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0,26,0,1,0,1,0,1,0,0,0,6,0,5,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,6,0,0,5,4,6,1,0,0,0,2,1,0,0,3,0,2,6,0,0,0,0,0,1,0,3,23,0,1,2,0,17,0,0,1,35,1,0,0,0,0,0,15,0,2,0,0,3,6,4,0,2,0,0
 Bayesian Inference ,0,0,0,0,0,0,7,3,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,2,0,5,15,0,0,1,1,14,0,0,0,4,0,2,0,0,0,0,0,0,2,0,0,0,3,0,3,1,0,1
 Distributed File System ,0,0,0,4,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Optimization Algorithm ,0,0,0,2,0,1,1,3,0,0,1,0,0,20,1,0,0,0,0,7,3,0,0,9,3,0,0,0,0,0,2,0,6,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,20,1,0,17,0,3,0,0,1,0,0,0,0,6,0,2,2,0,7,0,0,0,0,5,0,0,3,0,0,0,0,4,0,0,5,0,4,0,0,0,3,2,1,1,0,6,30,0,0,0,0,28,0,0,0,2,0,4,0,0,0,0,0,1,6,1,0,0,4,1,6,0,0,0
 Parallel Processing ,0,0,0,8,0,2,0,4,0,0,0,1,4,8,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,2,0,2,0,0,0,10,1,1,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,1,0,0,4,10,0,0,1,0,7,0,0,0,18,0,0,0,0,0,0,7,0,2,0,0,0,2,7,2,1,0,0
 RNN ,0,0,0,1,0,0,3,20,12,0,0,42,0,145,1,0,0,0,0,54,17,9,0,38,17,0,4,2,14,0,4,2,4,2,8,7,0,0,7,2,0,1,1,0,4,6,1,0,7,256,0,0,168,2,6,0,0,0,1,0,6,1,0,3,63,0,4,18,0,4,0,1,26,0,0,4,5,1,10,0,4,0,2,9,0,9,0,0,0,8,3,44,0,0,11,257,0,0,1,0,63,4,0,0,1,0,3,0,2,6,0,0,1,14,1,2,0,3,0,1,0,5,5
 Fully Connected Layer ,0,0,0,0,0,0,0,1,1,0,0,0,0,12,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,0,0,62,4,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,8,0,0,0,2,1,6,0,0,1,11,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
 Voice Recognition ,0,0,1,2,0,0,0,37,12,1,0,60,0,57,1,0,0,0,0,8,1,2,0,12,6,0,1,0,15,0,3,0,3,1,1,2,0,0,1,1,0,0,0,0,1,2,0,0,2,137,1,0,38,3,1,0,0,0,0,0,2,1,63,0,0,0,0,3,0,0,0,0,35,0,2,6,0,1,3,0,3,0,3,5,0,4,0,0,0,1,7,27,0,0,20,131,0,0,3,0,31,0,0,0,1,0,5,0,0,1,0,1,0,8,0,0,0,0,2,0,0,2,1
 Markov ,0,0,0,0,0,1,18,4,1,0,0,1,0,16,0,0,0,0,0,5,1,0,0,7,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,10,0,0,1,0,1,3,6,0,0,0,0,0,0,0,42,0,0,1,16,0,2,0,0,0,0,0,0,1,0,3,0,0,23,1,0,0,4,0,0,0,1,0,3,5,1,1,0,0,0,1,0,2,0,0,14,38,1,1,0,0,21,4,0,1,14,1,1,0,0,0,0,1,0,0,0,1,0,6,0,1,2,0,0
 Feature Engineering ,0,0,0,0,0,0,0,2,0,0,0,0,0,18,0,0,0,0,0,12,5,1,0,7,0,0,0,0,6,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,13,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,9,0,0,2,9,0,0,0,0,16,0,0,0,3,0,5,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0
 Back-propagation ,0,2,0,3,0,0,0,13,0,0,0,0,1,38,0,0,0,1,0,7,0,1,0,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23,1,0,8,1,0,0,0,0,1,0,7,0,18,1,3,1,0,0,1,0,0,0,4,8,0,1,0,0,0,0,3,0,0,2,1,4,0,0,0,0,2,9,0,0,2,48,0,0,1,0,15,0,1,0,2,0,4,1,1,0,0,0,0,3,0,0,0,5,0,4,0,0,1
 Cluster Computing ,0,0,0,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,9,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
 Data Center ,0,0,0,39,0,1,5,41,0,1,0,0,12,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,185,0,0,0,3,0,0,2,0,0,2,0,10,0,0,8,0,0,6,0,1,0,0,4,0,0,3,0,0,1,0,0,0,1,14,20,0,0,0,0,1,3,0,0,9,0,0,19,0,0,0,0,0,0,0,1,38,0,3,10,0,18,0,0,1,59,4,1,0,1,0,0,20,0,0,0,2,7,10,1,0,1,0,0
 Semantic Search ,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
 Boosting ,0,1,0,0,0,0,0,5,0,0,0,0,0,18,0,0,0,0,0,9,19,1,0,17,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,3,0,1,0,9,0,0,0,0,38,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1
 Robots ,0,3,2,5,2,59,33,64,0,19,1,7,1,214,2,2,3,3,0,44,13,3,0,76,9,0,39,2,12,0,9,3,3,0,1,3,3,1,0,26,0,63,0,0,576,4,7,1,1,56,0,5,82,0,82,8,0,5,4,0,5,7,26,0,35,23,1,4,1,1,0,4,0,50,0,9,35,339,26,0,8,0,201,31,0,11,1,0,0,7,113,28,5,0,2864,1461,0,0,4,1,149,80,0,2,12,1,13,0,545,0,0,3,0,85,0,0,0,6,3,5,60,2,0
 Genetic Algorithm ,0,0,0,6,0,5,3,8,0,0,0,0,2,66,2,0,0,0,0,58,13,3,0,31,16,0,1,0,0,1,1,0,0,0,0,0,0,0,2,13,0,9,0,1,9,1,1,0,0,6,0,0,2,1,5,0,0,4,0,0,0,0,0,0,0,1,0,8,0,14,0,1,50,0,0,6,7,2,1,0,7,0,28,14,0,7,4,0,0,1,3,22,6,1,28,107,0,0,0,0,43,0,2,0,12,0,6,0,5,0,0,10,0,6,0,2,2,25,1,8,1,0,0
 Edge Computing ,0,0,0,1,0,2,0,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,78,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,7,3,0,0,31,0,0,0,0,0,0,0,3,25,0,0,0,0,6,0,0,0,8,0,1,0,0,0,0,2,0,3,0,0,1,2,0,0,1,0,0
 Pattern Recognition ,0,6,1,1,1,3,5,39,1,0,0,0,1,235,4,0,0,0,0,96,18,1,0,44,15,0,0,1,2,0,11,0,0,1,1,0,0,0,0,3,0,0,1,0,0,5,0,0,0,35,3,0,32,3,0,1,0,1,0,0,3,1,4,1,6,0,3,1,0,0,0,1,9,6,1,0,0,0,11,0,27,0,7,34,3,12,0,0,0,5,9,41,8,0,17,129,0,0,0,0,116,0,1,0,10,0,8,1,0,0,0,1,0,41,0,2,0,26,2,12,1,0,0
 Search Algorithm ,0,0,0,3,0,0,7,5,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,5,0,0,0,0,0,0,2,0,8,0,0,0,1,0,0,0,5,0,0,4,0,0,0,0,0,0,35,7,0,0,0,0,0,0,0,0,6,4,0,0,2,0,0,0,1,1,0,0,20,31,0,0,0,0,6,1,3,0,4,0,0,0,1,0,0,0,0,1,0,0,1,5,1,3,1,0,1
 Humanoid Robots ,0,0,0,0,0,0,1,5,0,2,0,1,0,11,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,7,0,2,10,0,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,339,2,0,0,0,0,2,0,0,0,1,2,1,2,0,0,0,1,10,0,0,0,147,108,0,0,1,1,9,0,0,0,0,0,0,0,14,0,0,1,0,3,0,0,0,0,0,0,0,0,0
 Gesture Recognition ,0,0,0,0,0,1,0,7,0,0,0,0,0,38,1,0,0,0,0,19,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,6,0,0,14,0,0,1,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,26,1,0,11,0,2,0,0,2,0,3,3,0,0,0,0,0,0,3,7,0,0,12,48,0,0,2,0,11,0,0,0,0,0,1,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0
 Data Intensive Computing ,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
 Dimensionality Reduction ,0,5,0,6,0,0,5,26,0,0,1,1,0,113,2,1,1,0,0,67,21,0,0,47,8,0,0,1,1,0,7,0,0,0,0,1,1,0,0,7,2,2,1,1,0,0,0,0,0,26,0,0,17,3,1,1,0,1,0,0,4,0,4,0,3,1,0,3,0,3,0,0,8,7,0,27,0,0,2,0,0,0,2,31,4,11,0,0,0,2,3,46,2,0,10,37,0,0,0,0,77,0,0,0,24,0,8,0,1,0,0,2,0,11,1,6,0,34,1,8,1,1,2
 Dynamic Cloud ,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 UAM ,1,2,2,8,0,2,15,14,0,0,3,0,0,146,0,29,0,0,0,35,9,0,0,27,12,0,16,0,0,0,0,0,4,0,0,3,1,0,0,21,0,25,0,0,30,2,5,0,1,33,0,3,72,2,2,3,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0,0,201,28,7,7,6,1,3,0,2,0,0,31,0,15,4,0,0,2,44,15,4,0,148,225,0,0,0,0,39,4,0,0,11,0,3,0,30,0,0,0,0,89,1,1,0,5,0,24,28,0,0
 Clustering ,0,4,0,24,0,4,4,36,1,4,0,2,1,219,12,2,0,0,0,58,39,5,0,34,9,0,4,0,14,0,40,0,1,0,0,5,0,1,1,25,0,1,6,3,8,16,1,1,0,41,0,2,32,3,10,2,0,3,3,0,5,1,9,0,5,5,3,2,0,9,0,2,31,14,3,34,4,2,3,0,31,1,31,0,4,12,4,0,0,2,14,48,10,1,21,226,0,1,2,0,197,1,0,0,83,0,29,0,0,3,0,6,0,15,0,5,1,149,2,50,2,2,3
 Statistical Learning ,0,0,0,4,0,0,1,10,0,0,0,0,0,29,4,0,0,0,0,22,6,3,0,21,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,3,0,1,0,0,4,0,0,4,0,3,0,0,0,0,1,2,0,0,1,8,0,0,0,0,22,2,0,0,9,0,4,0,0,0,0,0,0,1,1,2,0,3,0,0,0,0,0
 Image Classification ,0,2,1,0,0,0,0,14,0,1,0,0,0,232,6,0,0,1,0,88,22,1,0,13,4,0,2,0,2,0,2,0,0,0,0,2,0,0,1,1,1,0,1,0,0,0,0,0,1,88,0,0,235,16,0,1,0,2,0,0,4,2,9,8,4,1,1,4,0,0,0,3,11,7,0,12,0,2,0,0,11,0,15,12,3,0,0,0,0,15,13,47,3,0,13,97,0,0,0,0,44,0,0,0,6,0,9,0,0,2,0,2,0,28,1,0,0,1,1,15,1,0,1
 Fog Computing ,0,0,0,3,0,6,0,2,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,6,0,0,0,1,0,0,0,0,0,0,0,19,0,0,1,4,31,0,2,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,2,17,0,0,0,0,6,0,0,2,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
 Dew Computing ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
 Text Similarity ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Transfer Learning ,0,0,0,0,0,0,3,9,0,0,0,0,0,52,1,0,0,0,0,10,4,0,0,11,2,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,75,0,0,116,3,8,1,0,0,1,0,3,0,8,2,1,1,0,0,0,0,0,0,7,1,0,5,0,1,0,0,2,0,2,2,0,15,0,0,0,0,9,9,1,0,5,65,0,0,0,0,24,0,0,0,1,0,1,0,0,0,0,0,0,12,0,0,0,0,0,2,1,0,2
 Object Recognition ,0,2,0,0,0,3,7,29,0,0,0,3,0,118,1,1,0,1,0,33,5,0,0,12,0,0,25,0,3,0,2,0,2,0,1,1,0,1,0,3,0,0,1,1,18,4,3,0,1,93,1,1,166,5,0,3,0,0,1,0,2,2,3,1,7,0,0,2,0,0,0,0,113,3,0,9,1,10,3,0,3,0,44,14,1,13,0,0,0,9,0,25,0,0,92,187,0,0,4,0,24,6,0,0,5,0,10,0,9,0,0,1,0,99,0,1,0,3,4,17,4,1,2
 Feature Extraction ,0,4,1,8,0,1,4,101,1,2,0,7,0,486,4,0,4,0,0,176,50,7,0,40,27,0,5,2,7,0,11,0,1,0,2,14,2,1,4,5,0,3,0,0,3,5,0,0,1,124,1,0,200,4,2,9,0,0,0,0,1,1,44,6,27,2,9,9,0,0,0,3,28,22,0,41,1,0,7,0,46,0,15,48,2,47,0,0,1,9,25,0,2,0,24,227,0,0,4,0,166,0,0,0,9,0,15,0,0,0,0,2,1,47,0,2,0,25,4,27,2,0,6
 Expert System ,0,0,0,3,0,5,1,30,0,6,0,0,0,36,0,0,0,0,0,2,5,1,0,12,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,6,0,8,0,0,0,0,2,0,4,10,0,3,0,0,0,1,0,2,0,0,1,82,0,0,0,0,27,0,0,0,7,0,3,0,0,0,0,0,0,3,0,0,0,13,0,4,0,0,0
 Ensemble Modeling ,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Robotics ,0,5,2,2,0,37,23,81,0,11,0,2,2,180,0,15,1,2,0,29,13,2,0,63,3,0,37,2,3,0,4,0,0,0,1,0,1,0,0,25,0,72,0,0,247,3,7,0,0,55,0,4,90,2,53,4,0,3,5,0,6,4,11,1,20,14,2,2,0,1,0,0,2864,28,3,17,20,147,12,0,10,0,148,21,1,13,2,0,0,5,92,24,1,0,0,942,0,1,0,1,150,88,0,2,15,1,9,0,295,0,0,1,0,103,0,4,0,2,5,13,41,0,2
 AI ,0,8,6,113,0,63,34,262,26,75,4,49,9,946,43,7,8,4,0,271,128,75,1,236,60,1,112,8,142,6,44,20,42,3,10,18,2,1,21,164,9,36,7,21,191,85,9,3,11,705,3,17,726,30,135,16,0,23,15,2,30,10,257,11,131,38,9,48,3,38,10,9,1461,107,25,129,31,108,48,1,37,0,225,226,8,97,17,0,0,65,187,227,82,2,942,0,0,14,7,0,836,19,16,3,316,7,109,1,113,17,2,22,6,336,6,26,5,260,16,121,89,10,24
 Text Generation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NRDBMS & NoSQL ,0,0,0,39,0,2,0,34,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,0,1,20,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,5,0,0,1,38,1,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0
