Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Text To Image , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Fog Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Encoder Decoder ,0,0,0,0,0,0,0,1,7,0,0,5,0,9,1,0,0,0,0,2,1,0,0,2,2,0,1,1,2,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0,22,0,0,0,0,0,0,0,0,0,0,14,1,3,0,0,1,0,0,0,0,7,0,1,0,0,2,0,0,0,0,0,0,1,3,0,0,0,3,2,5,0,0,4,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,4,0,0,2
 Deep Learning ,0,6,1,11,0,14,32,183,14,10,1,18,1,891,25,0,4,4,0,165,100,22,3,174,74,0,35,18,90,1,38,5,107,4,20,79,1,0,13,31,1,2,0,0,20,22,8,24,0,2,1874,2,65,49,17,0,3,2,0,44,6,496,32,143,14,30,39,1,9,1,7,191,10,6,66,5,15,14,0,0,21,1,61,59,179,3,1,1,154,197,240,4,2,145,831,2,0,19,0,716,13,2,0,114,0,78,0,6,13,3,14,12,249,20,6,0,29,12,60,32,17,69
 Neuromorphic Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Convolutional Networks ,0,2,1,8,0,6,15,214,6,6,1,17,0,1185,15,3,3,8,0,224,77,18,2,135,99,0,66,9,39,0,19,1,71,4,25,24,0,0,13,26,0,4,0,0,17,4,2,22,1874,1,0,2,76,14,22,0,0,0,0,25,9,304,61,88,0,20,19,3,8,0,9,145,15,7,68,3,11,15,0,0,19,3,138,53,332,2,0,1,228,304,314,4,0,107,740,1,0,30,0,473,12,0,0,48,0,78,0,11,6,0,4,2,308,20,5,0,15,18,117,30,3,62
 Data Storage ,0,0,0,14,0,5,0,11,0,0,0,0,1,9,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,37,0,0,0,1,0,1,0,0,2,2,2,0,0,1,0,0,2,0,1,0,1,1,0,0,1,0,0,1,11,2,0,6,1,5,1,0,0,0,0,0,1,0,0,5,0,0,7,0,0,0,0,2,0,4,12,0,4,0,0,12,2,0,0,38,1,0,0,0,0,0,1,0,0,0,3,1,2,1,0,0,0,0
 Image Recognition ,0,0,1,0,0,0,0,8,0,0,0,0,0,52,0,0,0,0,0,7,1,1,0,2,0,0,2,0,6,0,2,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,65,0,76,0,0,1,2,0,1,0,0,0,2,3,1,6,0,1,1,1,2,0,0,3,3,0,12,1,0,0,0,0,5,0,5,5,21,0,0,0,6,20,11,0,0,4,42,0,0,1,0,22,3,0,0,4,0,1,0,0,0,0,0,0,22,0,3,0,4,1,3,1,0,2
 Reinforcement Learning ,0,0,0,0,0,0,6,2,2,2,0,0,0,14,0,0,2,0,0,0,0,0,0,19,14,0,0,1,3,0,0,0,0,0,1,2,0,0,0,9,0,0,1,0,12,3,9,0,49,0,14,1,1,0,0,0,2,2,0,2,0,34,0,2,38,0,2,0,4,0,0,146,3,5,5,11,10,0,0,0,0,0,25,10,2,0,1,0,7,6,4,1,0,92,185,0,2,0,0,76,0,5,0,5,0,7,0,11,2,0,0,0,6,0,1,0,1,0,1,4,0,1
 Face Detection ,0,0,0,4,0,1,0,6,0,0,0,0,0,14,0,0,0,0,0,2,1,0,0,2,0,0,4,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,17,0,22,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,0,2,2,0,1,2,0,0,1,0,1,2,4,0,0,0,1,7,8,0,0,5,16,0,0,0,0,5,0,0,0,3,0,1,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0
 Photonic Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Distributed Computing ,0,1,0,42,0,0,1,3,0,0,2,0,4,7,0,0,0,0,1,1,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,42,0,0,1,3,3,1,0,0,3,0,0,2,1,2,0,0,0,0,2,2,4,0,0,2,1,0,1,3,13,0,0,7,1,10,0,0,0,0,2,0,1,1,2,6,0,0,13,0,0,0,1,2,0,1,16,0,2,0,0,13,0,2,0,52,1,1,0,0,0,0,19,0,0,1,2,1,9,4,0,1,0,0
 Bayesian Inference ,0,0,0,0,0,0,12,1,0,1,0,0,1,8,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,12,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,2,0,2,0,0,0,1,0,1,0,3,11,0,0,0,0,19,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
 Distributed File System ,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,0,0
 Optimization Algorithm ,0,0,0,1,0,0,2,8,1,0,0,1,0,20,0,0,0,0,0,8,3,0,0,13,4,0,2,0,0,0,1,0,0,0,4,2,0,0,0,0,0,1,0,0,4,1,0,0,44,1,25,0,0,2,0,0,2,1,0,0,1,5,1,0,0,1,14,0,0,0,0,18,2,0,2,1,0,1,0,0,1,0,7,4,4,3,0,0,0,0,7,0,0,13,31,0,0,0,0,35,1,1,0,3,0,3,0,0,0,0,1,0,2,1,1,0,1,0,1,0,1,5
 Parallel Processing ,0,0,0,14,0,0,2,3,0,0,0,0,1,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,3,0,0,0,0,6,0,9,1,2,0,0,0,4,0,2,1,0,0,0,1,0,0,0,3,2,1,0,1,1,0,2,0,0,0,0,0,0,0,1,2,1,0,1,0,0,4,2,0,0,2,17,0,2,2,0,5,0,1,0,20,0,0,0,0,0,0,10,0,3,0,0,0,3,4,2,0,0,0
 RNN ,0,2,0,5,0,1,5,41,17,1,0,57,0,207,4,0,0,0,0,73,26,19,1,45,46,0,3,5,56,0,13,7,2,2,19,12,0,0,3,5,0,0,0,0,8,17,1,14,496,3,304,1,3,34,1,0,0,0,0,5,0,0,10,74,4,11,12,0,6,0,2,59,8,4,17,0,9,22,0,0,2,0,0,18,23,3,0,0,23,11,56,4,2,37,282,2,0,3,0,205,5,2,0,19,0,13,0,2,9,0,0,1,25,7,3,0,6,0,3,5,8,16
 Fully Connected Layer ,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,2,1,2,0,3,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,32,0,61,0,1,0,0,0,0,0,0,1,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,1,10,0,0,0,5,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
 Voice Recognition ,0,0,0,6,0,0,1,22,12,1,0,40,0,67,3,0,1,0,0,8,3,0,0,14,10,0,1,2,26,0,3,0,0,0,2,1,0,0,0,3,0,1,0,0,5,5,0,3,143,0,88,0,6,2,1,0,2,0,0,0,1,74,0,0,2,1,3,0,0,1,0,37,2,0,6,0,4,1,0,0,1,0,0,3,4,0,0,0,4,8,28,7,0,23,126,0,0,3,0,42,0,0,0,3,0,3,0,0,2,0,0,0,14,0,0,0,3,0,1,1,1,4
 Markov ,0,0,0,0,0,0,25,5,0,2,0,0,3,22,0,0,0,0,0,2,6,0,0,13,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,10,0,0,0,0,6,0,3,0,14,0,0,1,0,38,0,0,1,12,0,0,0,4,0,2,0,1,2,0,9,0,0,40,2,4,0,0,2,0,0,0,3,0,7,7,1,1,1,0,0,3,0,2,0,14,34,0,1,0,0,35,0,4,0,7,0,1,0,3,0,0,4,0,0,0,0,1,0,0,0,3,0,0
 Feature Engineering ,0,2,0,4,0,1,0,3,1,0,0,2,0,30,0,0,0,0,0,3,5,1,0,3,1,0,0,1,2,0,3,0,0,0,0,4,0,0,1,1,0,0,0,0,1,2,0,0,30,0,20,0,1,0,0,0,0,0,0,1,0,11,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,4,1,0,0,0,3,0,10,0,0,1,17,0,0,0,0,33,0,0,0,6,0,1,0,0,0,0,0,1,1,0,2,0,3,0,0,0,2,0
 Back-propagation ,0,3,1,0,0,0,0,7,0,0,0,2,0,50,1,0,0,0,0,24,5,1,0,37,18,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,39,2,19,0,1,2,0,0,1,1,0,14,0,12,1,3,2,0,0,0,0,0,0,4,10,0,4,1,0,3,0,0,0,0,4,7,2,0,0,0,1,5,8,3,0,3,38,0,0,1,0,39,0,0,0,1,0,12,0,1,0,0,0,0,4,0,0,0,4,1,2,0,1,2
 Cluster Computing ,0,0,0,11,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,3,1,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,13,0,0,0,0,0,0,7,0,0,0,0,0,4,0,1,0,0,0
 Data Center ,0,0,0,18,0,2,4,30,0,0,4,0,6,11,0,0,0,0,0,2,2,0,0,15,0,0,0,0,0,0,0,0,2,0,0,2,7,4,0,189,0,0,0,2,0,1,1,0,9,0,8,11,2,4,0,0,13,0,2,0,2,6,0,0,9,0,0,1,0,0,1,0,10,38,0,6,0,0,1,0,3,1,1,10,0,1,17,0,0,0,0,0,0,0,34,0,0,4,0,20,0,0,6,64,6,0,0,0,0,0,22,0,0,0,3,10,4,7,0,1,0,0
 Semantic Search ,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
 Boosting ,0,1,0,0,0,0,0,6,0,0,0,0,0,37,0,0,1,0,0,27,39,1,0,31,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,1,0,1,0,0,0,0,0,1,0,0,0,4,2,0,0,0,1,6,1,0,1,16,0,0,0,0,60,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0
 Robots ,0,2,2,9,0,102,18,64,3,23,3,0,1,222,3,4,4,5,0,43,6,1,0,92,11,0,64,1,6,2,4,3,7,0,0,7,9,0,0,29,0,105,0,1,602,0,8,7,191,1,145,6,3,146,8,0,7,5,0,18,1,59,0,37,40,1,4,0,0,0,4,0,51,4,14,11,409,34,0,0,16,0,191,49,7,0,1,0,20,100,33,12,0,3028,1583,0,1,1,0,182,125,1,1,35,0,18,0,601,0,0,4,1,95,0,2,3,7,7,4,60,0,6
 Genetic Algorithm ,0,1,0,12,0,8,9,18,0,1,0,0,0,62,0,0,1,0,1,67,9,0,0,48,17,0,1,0,2,0,0,0,0,0,0,2,1,0,2,17,0,7,0,0,7,1,1,0,10,1,15,1,3,3,0,0,1,0,0,2,1,8,0,2,2,0,10,1,10,1,1,51,0,5,16,9,8,0,1,0,8,0,21,15,5,0,3,0,2,1,17,15,1,30,148,0,0,1,0,90,6,3,0,17,0,2,0,15,0,0,6,2,12,0,1,0,24,1,3,2,0,0
 Edge Computing ,0,0,0,9,0,10,1,4,0,0,0,0,0,9,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,131,0,0,0,1,0,1,1,1,6,0,7,5,0,5,2,0,10,0,0,0,0,4,0,0,4,0,0,2,38,0,0,4,5,0,0,1,0,0,0,0,0,0,11,7,1,0,73,0,0,1,1,0,0,1,25,0,2,0,0,11,0,0,2,25,3,0,0,0,0,0,4,0,1,0,0,3,2,1,0,3,0,0
 Pattern Recognition ,0,2,0,2,0,6,4,32,0,0,0,0,0,221,4,1,0,0,0,69,13,0,0,38,16,0,0,1,5,1,12,2,2,0,1,2,0,0,1,5,0,1,0,0,5,4,1,0,66,2,68,1,12,5,2,0,0,1,0,2,2,17,0,6,0,1,4,0,0,0,1,14,16,0,0,2,0,3,0,0,31,0,4,51,17,0,0,0,2,14,40,0,0,16,139,0,0,1,0,148,1,2,0,23,0,18,0,0,0,0,0,0,40,0,4,0,30,2,5,1,0,0
 Search Algorithm ,0,2,0,2,0,1,7,8,0,0,0,6,0,12,0,0,0,0,0,2,6,0,0,5,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,3,0,1,0,1,3,1,0,0,5,0,3,0,1,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,1,0,11,9,1,2,0,1,1,0,0,0,0,4,2,0,0,1,0,2,3,4,2,0,9,29,0,0,0,0,20,7,4,0,6,0,1,0,1,0,0,1,0,5,0,0,0,6,0,2,3,0,0
 Humanoid Robots ,0,0,0,2,0,1,2,1,0,0,0,0,0,14,0,0,0,1,0,2,0,1,0,2,0,0,3,0,3,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,2,0,0,2,15,0,11,0,0,10,1,0,0,0,0,0,0,9,0,4,2,0,0,0,0,0,0,409,8,0,0,1,0,1,0,0,1,0,5,0,0,0,0,0,3,4,2,3,0,125,94,0,0,0,0,8,0,0,0,3,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,2,0,0
 Gesture Recognition ,0,1,0,0,0,0,0,5,1,0,0,1,0,34,0,0,0,0,0,16,1,0,0,3,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14,0,15,0,0,0,2,0,0,0,0,1,0,22,0,1,0,1,3,0,0,0,0,34,0,0,3,1,1,0,0,0,1,0,2,4,1,0,0,0,0,0,7,1,0,21,34,0,0,2,0,12,0,0,0,1,0,2,0,3,0,0,0,0,8,0,0,0,1,0,0,0,0,0
 Data Intensive Computing ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Text To Image ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Dimensionality Reduction ,0,4,0,0,0,2,5,16,0,1,0,1,0,101,3,0,0,0,0,53,27,0,0,45,7,0,0,1,5,0,9,0,1,0,0,5,0,0,1,3,1,2,1,0,2,0,0,0,21,0,19,1,5,0,1,0,1,2,0,1,0,2,0,1,3,2,0,0,3,0,1,16,8,0,31,0,1,1,0,0,0,0,4,35,8,1,1,0,1,14,39,2,0,10,45,0,0,0,0,79,2,0,0,24,0,5,0,0,0,0,3,1,10,0,4,0,26,1,6,1,0,0
 Dynamic Cloud ,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 UAM ,0,0,1,3,0,14,16,29,1,0,1,0,0,200,0,31,0,0,0,47,40,0,0,58,2,0,25,0,0,1,2,0,5,0,4,0,3,0,0,16,1,26,0,0,23,0,11,0,61,0,138,0,5,25,1,0,2,0,0,7,1,0,0,0,7,0,4,0,1,0,0,191,21,11,4,4,5,2,0,0,4,0,0,42,54,0,4,0,2,55,16,6,0,139,175,0,0,7,0,69,16,0,0,11,0,4,0,15,0,0,2,0,102,0,2,0,5,10,19,43,0,1
 Clustering ,0,4,0,26,0,7,5,37,2,6,0,4,1,224,14,1,1,0,0,50,37,3,0,58,10,0,2,1,20,0,66,0,3,0,0,3,1,1,5,15,1,2,5,2,6,20,1,1,59,0,53,5,5,10,2,0,6,2,0,4,2,18,0,3,7,4,7,2,10,0,0,49,15,7,51,2,0,4,0,0,35,0,42,0,21,7,2,0,3,20,38,8,0,31,217,0,1,0,0,253,0,4,0,124,0,33,0,1,4,0,1,3,27,0,14,0,129,0,29,0,0,0
 Image Classification ,0,1,0,1,0,2,3,28,0,0,0,0,0,310,7,0,1,0,0,75,34,2,0,26,4,0,0,1,3,0,1,1,16,0,1,3,0,0,2,2,3,0,0,0,2,1,0,3,179,0,332,0,21,2,4,0,0,0,0,4,1,23,7,4,1,1,2,0,0,0,4,7,5,1,17,0,0,1,0,0,8,0,54,21,0,0,0,0,27,23,62,1,0,4,91,0,0,7,0,78,0,0,0,11,0,9,0,0,1,0,0,0,39,2,1,0,6,4,26,2,0,7
 Statistical Learning ,0,0,0,2,0,1,3,3,0,0,0,0,0,20,1,0,0,0,0,16,8,0,0,28,3,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,2,0,3,0,3,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,2,0,0,1,13,0,0,0,0,32,0,0,0,4,0,3,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,1
 Fog Computing ,0,0,0,2,0,11,0,2,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,130,0,0,0,0,0,0,1,0,1,0,0,7,0,1,0,0,13,0,0,0,1,0,0,0,1,0,0,1,17,0,0,1,3,73,0,1,0,0,1,0,1,0,4,2,0,0,0,0,1,1,0,0,0,1,21,0,0,1,0,5,0,0,1,24,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0
 Text Similarity ,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transfer Learning ,0,0,0,0,0,1,0,21,0,2,0,6,0,99,2,0,0,1,0,26,9,4,0,12,2,0,2,0,7,0,1,0,10,2,0,3,0,0,2,1,0,1,0,0,2,3,0,3,154,0,228,0,6,7,1,0,0,0,0,0,0,23,3,4,0,3,1,0,0,0,0,20,2,0,2,2,3,0,0,0,1,0,2,3,27,0,1,0,0,24,28,1,0,18,77,0,0,0,0,48,3,0,0,6,0,10,0,0,0,0,0,0,15,1,1,0,3,0,5,2,2,2
 Object Recognition ,0,2,0,0,0,2,0,36,2,2,1,0,0,145,5,2,0,1,0,26,6,0,0,20,0,0,26,0,3,0,2,0,3,0,8,3,0,0,1,1,0,0,0,0,17,1,2,2,197,0,304,0,20,6,7,0,0,1,0,0,4,11,1,8,3,0,5,0,0,0,1,100,1,1,14,3,4,0,0,0,14,0,55,20,23,0,1,0,24,0,29,1,0,94,167,0,0,4,0,52,18,0,0,9,0,8,0,8,0,0,1,0,102,1,0,0,0,3,15,7,0,5
 Feature Extraction ,0,10,0,6,0,4,2,115,0,3,0,5,0,499,3,0,0,0,0,194,64,4,0,61,14,0,6,4,3,0,12,1,8,2,0,19,0,0,0,5,0,0,0,0,3,8,1,5,240,0,314,0,11,4,8,0,1,0,0,7,2,56,10,28,0,10,8,0,0,1,6,33,17,1,40,4,2,7,0,0,39,0,16,38,62,2,0,0,28,29,0,10,0,31,214,0,0,0,0,210,0,0,0,21,0,11,0,0,0,0,1,1,63,0,3,0,19,1,24,2,2,3
 Expert System ,0,0,0,2,0,1,3,27,0,11,0,1,0,40,0,0,1,0,0,16,2,1,0,17,5,0,2,0,4,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,4,0,4,2,0,1,0,0,2,1,0,0,0,4,0,7,2,0,3,0,0,0,1,12,15,0,0,2,3,1,0,0,2,0,6,8,1,0,0,0,1,1,10,0,0,10,102,0,0,0,0,24,0,0,0,9,0,0,0,0,0,0,2,0,5,0,2,0,6,2,2,0,1,0
 Ensemble Modeling ,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 Robotics ,0,4,2,2,0,61,13,77,0,10,2,0,1,184,1,6,3,3,0,34,9,0,0,67,7,0,40,2,6,1,4,4,3,0,1,3,4,0,0,24,0,110,0,0,209,1,1,4,145,3,107,4,4,92,5,0,1,3,0,13,2,37,0,23,14,1,3,0,0,0,1,3028,30,1,16,9,125,21,0,0,10,0,139,31,4,1,1,0,18,94,31,10,0,0,906,0,3,2,0,174,127,1,0,25,0,8,0,298,0,0,5,1,121,0,4,0,6,8,6,36,0,4
 AI ,0,18,2,96,0,108,30,227,45,92,4,43,11,948,39,8,9,3,2,270,133,69,0,241,95,1,85,6,189,7,50,44,78,2,19,29,8,0,29,146,2,32,11,17,179,86,10,10,831,8,740,12,42,185,16,0,16,11,0,31,17,282,5,126,34,17,38,2,34,6,16,1583,148,25,139,29,94,34,1,0,45,0,175,217,91,13,21,2,77,167,214,102,6,906,0,2,8,13,0,1186,24,20,2,439,3,79,0,103,15,0,20,3,260,8,48,2,231,16,84,88,15,20
 Text Generation ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 NRDBMS & NoSQL ,0,0,0,46,0,1,0,20,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,14,0,0,0,11,0,3,1,0,0,0,0,4,0,2,0,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,5,0,0,0,33,1,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0
 Hardware Acceleration ,0,0,0,2,0,0,0,3,0,0,2,0,3,6,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,19,2,30,0,1,0,0,0,0,0,0,0,2,3,0,3,0,0,1,0,4,0,0,1,1,0,1,0,0,2,0,0,0,0,7,0,7,0,1,0,0,4,0,0,0,2,13,0,0,0,0,25,0,1,0,3,0,0,0,0,0,0,14,0,9,0,1,0,1,11,1,0,0,0
