Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Unmanned Spacecraft , SVM , Trees , Regression , Multi-layer perceptron , Pose Estimation , NLP , Automated Reasoning , Bert , Unsupervised Learning , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Grid Computing , Text Classification , Kernel Machine , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Deep Learning , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , Hardware Acceleration , Machine Learning , AUV , Quantum Computing , Big Data , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Mining , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Object Recognition ,0,0,1,0,20,0,0,0,0,33,0,0,0,0,4,0,2,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,7,0,13,0,0,0,0,2,0,0,3,1,0,0,0,1,24,2,15,0,0,0,5,0,4,7,0,0,0,17,0,0,9,97,0,0,2,0,1,0,0,0,0,0,0,20,0,0,12,0,0,0
 Feature Extraction ,0,2,0,1,22,0,0,0,0,99,0,0,0,0,22,0,3,9,1,0,0,0,1,0,2,0,0,0,0,2,0,0,5,8,0,0,0,1,4,0,10,0,0,0,2,0,3,3,0,2,0,0,0,0,7,7,33,1,0,2,22,0,0,6,9,1,17,0,1,0,5,82,0,1,11,0,0,0,2,0,0,0,0,11,0,5,4,0,0,0
 Expert System ,0,0,0,0,28,0,13,0,0,23,0,0,0,0,2,0,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,5,4,0,0,1,1,0,0,1,1,0,0,1,0,0,0,79,0,0,9,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
 Ensemble Modeling ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Robotics ,0,0,0,0,12,0,2,0,0,13,0,2,0,0,3,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,75,0,2,0,1,1,0,3,0,1,1,0,0,0,0,1,3,3,0,0,0,0,463,8,4,0,12,1,1,0,6,4,1,0,9,5,0,0,0,209,0,0,9,11,0,0,0,0,76,0,0,16,0,1,4,6,0,0
 AI ,0,9,6,8,141,11,67,14,1,258,4,0,2,0,72,2,39,53,27,26,6,0,29,0,1,1,1,4,9,2,0,6,130,69,6,1,2,8,9,39,34,2,2,0,4,3,15,80,11,37,1,0,0,2,404,68,149,13,15,8,34,0,11,73,18,8,97,82,79,1,209,0,0,3,126,7,5,5,17,0,42,4,0,76,2,148,61,6,0,2
 Text Generation ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Hardware Acceleration ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 Machine Learning ,0,2,3,1,34,0,7,1,0,124,0,0,1,0,57,0,32,8,0,6,1,0,8,0,0,0,0,0,1,2,0,1,2,6,0,0,0,0,0,5,4,0,0,0,2,0,1,5,1,2,0,0,0,2,7,7,29,2,0,0,10,0,0,14,3,4,2,11,9,0,9,126,0,0,0,3,0,1,7,0,0,0,0,4,0,41,0,0,2,1
 AUV ,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,7,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
 Quantum Computing ,0,0,1,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Big Data ,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 Supervised Learning ,0,0,0,0,6,0,0,0,0,34,0,0,0,0,22,0,6,4,0,0,0,0,7,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,3,5,4,0,0,0,0,0,0,8,2,4,0,2,1,0,0,17,0,0,7,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0
 Optical Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Manipulator ,0,0,0,1,2,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,127,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,76,42,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 High Performance Computing ,0,0,0,1,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
 Boltzmann Machine ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Computer Vision ,0,0,0,0,9,0,4,0,0,24,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3,2,0,0,0,0,1,5,0,0,0,0,2,0,1,2,1,0,0,0,0,22,2,16,1,1,3,2,0,4,7,3,0,20,11,1,0,16,76,0,0,4,0,0,0,1,0,0,1,0,0,0,0,10,0,0,0
 Loss Functions ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
 Data Mining ,0,3,0,0,73,0,4,0,0,77,1,0,0,0,22,0,12,3,0,2,1,0,2,0,0,0,0,3,0,0,0,5,0,7,1,1,2,0,0,1,2,3,0,0,0,1,0,1,3,0,0,0,0,0,0,11,6,2,0,0,7,0,0,55,0,0,0,5,0,0,1,148,0,1,41,0,0,2,5,0,0,1,0,0,1,0,0,0,0,0
 Image Segmentation ,0,1,0,1,7,0,0,0,0,40,0,0,0,0,6,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,5,2,1,0,0,0,0,3,8,0,0,0,2,0,0,19,7,0,12,4,1,0,4,61,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
 UGV ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Entity Recognition ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Loss Function ,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
