Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Bert , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Information Retrieval , Mobile Robots , Dynamic Programming , Inter Clouds , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , Quantum Computing , AUV , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Face Detection ,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,10,7,0,0,1,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0
 Distributed Computing ,0,2,0,2,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,2,0,0,1,0,0,0,0,7,0,0,0,0,0,2,3,0,0,0,0
 Bayesian Inference ,0,0,0,0,0,6,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,4,0,0,0,0,0,0,2,0,3,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2,0,4,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
 Optimization Algorithm ,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,11,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0
 Parallel Processing ,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,2,0,0,1,0,0,3,0,0,1,0,0,0,0,5,0,4,0,0,0,1,4,1,0,0,0
 RNN ,0,0,0,0,0,0,12,0,0,0,0,0,10,1,0,0,0,0,7,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,17,0,0,10,0,0,0,0,8,2,8,0,1,0,0,0,0,0,3,0,1,0,0,0,4,0,0,7,34,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 Voice Recognition ,0,2,0,1,0,0,32,7,1,0,33,0,36,0,0,0,0,0,16,0,0,0,7,36,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,1,0,1,17,0,2,0,0,0,0,0,1,14,2,5,5,3,2,0,3,0,0,13,0,0,0,0,1,32,0,0,5,135,0,0,1,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 Markov ,0,0,2,0,0,10,6,0,2,0,0,0,7,0,0,0,0,0,3,1,0,0,5,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,17,0,0,4,0,0,0,2,0,0,0,0,0,0,0,11,0,1,0,0,0,0,1,0,0,4,0,0,0,0,3,2,1,0,6,25,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,2,0,0,2,3,1,4,2,0,0
 Feature Engineering ,0,0,0,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
 Back-propagation ,0,3,0,0,0,0,11,0,0,0,0,0,34,0,0,0,0,0,7,0,0,0,11,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,10,0,0,0,0,0,0,0,0,6,10,4,0,0,0,0,3,0,1,5,0,1,0,0,1,1,0,0,3,35,0,0,0,0,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0
 Cluster Computing ,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0
 Data Center ,0,0,0,16,0,0,21,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,0,0,3,0,0,0,0,0,0
 Semantic Search ,0,0,0,0,0,1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,14,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Boosting ,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Robots ,0,4,0,5,0,13,39,0,7,2,0,1,63,2,3,2,3,0,4,2,0,0,47,3,0,16,0,4,0,0,5,0,0,0,5,0,0,0,0,0,0,1,0,385,0,0,4,0,0,2,0,51,0,2,2,1,1,8,14,11,0,6,0,0,0,0,0,25,8,7,129,9,0,4,0,37,14,0,1,0,0,46,13,1,0,1289,844,0,0,2,0,52,0,15,0,1,1,5,0,253,0,0,28,0,0,0,3,0,3,7,0,0
 Genetic Algorithm ,0,3,0,2,0,4,13,0,2,0,0,0,59,0,3,1,0,0,31,2,0,0,19,15,0,1,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,8,6,4,0,1,0,0,0,0,3,0,3,0,1,0,2,2,0,0,10,0,2,0,0,25,0,13,6,0,1,0,3,0,1,18,1,0,0,0,2,18,3,0,19,96,0,0,0,0,22,1,0,0,0,0,5,0,14,1,0,5,0,0,0,30,0,13,0,0,0
 Pattern Recognition ,0,10,0,1,0,5,45,2,2,0,1,1,231,2,0,1,0,0,74,5,0,0,21,16,0,0,0,1,0,0,3,0,0,1,0,1,0,0,4,0,0,0,8,3,3,0,2,0,0,2,5,0,2,1,3,2,0,8,5,1,0,4,0,0,0,1,8,13,0,1,0,1,0,44,0,0,39,11,3,0,2,13,47,5,0,6,132,0,0,2,0,55,0,0,0,0,0,2,0,0,0,0,34,0,0,0,21,2,10,0,1,1
 Search Algorithm ,0,0,0,0,0,4,1,1,0,0,0,0,10,0,0,0,0,0,2,2,0,0,3,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,4,0,0,1,0,0,0,5,0,0,0,0,0,1,0,7,6,1,0,2,0,0,1,0,0,1,1,1,0,0,0,1,0,0,4,21,0,0,2,0,7,4,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0
 Humanoid Robots ,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0,129,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,63,59,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0
 Gesture Recognition ,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,2,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
 Data Intensive Computing ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Dimensionality Reduction ,0,5,0,0,0,1,21,0,0,0,0,0,80,1,0,0,0,0,35,4,0,0,31,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,3,1,0,3,0,0,0,0,4,3,44,1,0,0,0,0,0,0,15,8,2,0,0,2,29,2,0,7,33,0,0,1,0,12,0,0,0,1,0,7,0,2,0,0,3,0,0,0,16,1,4,0,0,0
 Dynamic Cloud ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 UAM ,0,0,0,1,0,0,1,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,22,36,0,0,1,0,0,0,6,0,2,0,0,0,2,0,0,7,0,0,0,0,0,0,3,0,0
 Clustering ,0,8,0,0,0,1,37,0,2,0,1,2,139,4,0,2,0,0,36,11,1,0,24,8,0,1,0,8,0,0,41,0,0,0,0,1,8,4,0,0,0,1,22,1,1,0,1,0,0,0,2,1,0,1,0,1,1,3,13,4,0,5,0,0,2,1,14,18,39,1,2,1,0,15,0,0,0,10,2,0,0,8,26,3,0,9,166,0,0,0,0,66,1,0,0,5,0,18,0,1,3,0,13,0,0,0,107,0,51,0,0,1
 Image Classification ,0,3,0,0,0,0,13,0,3,0,0,0,130,1,0,0,0,0,54,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,11,1,0,0,0,8,0,0,10,0,1,0,3,8,28,2,0,1,33,0,0,0,0,11,0,2,0,0,0,2,0,0,0,0,3,0,0,0,1,1,13,0,0,1
 Statistical Learning ,0,0,0,5,0,0,6,0,0,0,0,0,18,0,0,0,0,0,26,1,0,0,15,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,2,0,0,2,1,0,0,0,4,2,0,0,2,13,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,1,0,0,2
 Text Similarity ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transfer Learning ,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Object Recognition ,0,1,0,0,0,3,23,0,1,0,0,0,76,0,0,0,0,0,22,2,0,0,8,2,0,18,1,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,13,3,0,1,0,0,2,2,3,10,0,1,1,1,0,1,3,2,1,0,0,0,2,46,2,13,0,4,3,0,2,0,2,8,8,4,0,1,0,21,0,0,34,149,0,0,1,0,18,0,4,0,0,0,3,0,1,0,0,58,0,0,0,2,2,11,1,0,0
 Feature Extraction ,0,5,0,0,0,1,86,0,2,0,2,0,243,0,0,1,0,0,99,8,0,0,16,15,0,2,1,1,0,0,8,0,0,0,0,0,0,0,1,0,0,1,2,4,0,0,3,0,0,10,2,0,7,0,1,2,1,4,32,2,1,1,0,0,0,0,13,18,47,1,2,2,0,29,0,2,26,28,2,0,0,21,0,0,0,12,132,0,0,1,0,34,0,2,0,0,0,8,0,0,0,0,12,0,0,0,10,4,15,0,0,0
 Expert System ,0,0,0,0,0,2,15,0,16,0,0,0,23,0,0,0,0,0,7,2,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,3,5,0,0,0,0,2,0,2,3,2,0,0,0,0,0,0,0,3,82,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,1,0,0,0,6,0,0,0,0,0
 Ensemble Modeling ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
 Robotics ,0,1,0,0,0,6,42,0,3,0,0,2,59,0,2,1,2,0,4,0,0,0,28,2,0,16,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,122,1,0,6,0,0,0,1,25,1,1,4,0,2,7,5,6,0,3,0,0,2,0,1289,19,6,4,63,2,0,7,0,22,9,1,2,0,0,34,12,3,0,0,472,0,0,2,0,69,1,16,0,0,1,2,0,116,0,0,36,0,0,0,3,7,1,5,0,0
 AI ,0,15,0,11,0,13,190,18,78,0,33,4,549,20,4,15,2,0,192,30,16,1,110,112,0,54,1,77,6,0,53,3,0,0,3,4,16,18,10,1,2,7,93,131,5,0,17,1,3,13,7,95,21,5,12,11,2,34,135,25,1,35,1,3,14,6,844,96,132,21,59,18,0,33,0,36,166,33,13,1,8,149,132,82,0,472,0,0,0,5,0,268,9,14,1,11,2,48,1,68,10,1,186,0,0,0,222,12,126,10,2,2
 Text Generation ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NRDBMS & NoSQL ,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Hardware Acceleration ,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,7,0,0,0,0
 Bayesian Machine Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Machine Learning ,0,8,0,4,0,2,83,2,9,0,6,0,367,12,0,8,0,0,223,49,9,0,107,22,0,1,0,18,2,0,10,0,0,0,1,1,10,0,5,0,0,0,24,0,0,0,4,0,2,1,4,16,1,1,1,2,0,8,10,3,2,10,0,0,2,3,52,22,55,7,4,3,0,12,0,0,66,11,11,1,2,18,34,4,0,69,268,1,1,0,1,0,1,0,0,4,1,35,0,2,2,1,19,0,0,0,91,3,14,0,3,3
 Quantum Computing ,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 AUV ,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,6,0,2,0,0,0,4,2,1,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,4,0,0
 PaaS ,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
 Big Data ,0,0,0,2,0,0,12,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,5,0,0,0,0,0
 SaaS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,7,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0
 Supervised Learning ,0,2,0,0,0,0,14,0,0,0,0,0,71,10,0,0,0,0,38,4,1,0,15,4,0,0,0,1,0,0,13,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,3,0,0,0,1,0,1,1,1,0,1,0,1,1,0,5,5,2,0,0,0,0,7,0,0,18,2,0,0,0,3,8,2,0,2,48,0,0,0,0,35,0,0,0,1,0,0,0,0,0,1,3,0,0,0,6,0,1,0,0,0
 Optical Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Manipulator ,0,0,0,1,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,253,14,0,0,8,0,0,2,0,2,1,0,0,0,0,1,0,0,0,116,68,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
 High Performance Computing ,1,0,0,1,1,9,7,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,1,0,0,0,3,1,0,2,0,7,0,0,5,0,0,2,0,0,4,6,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,10,0,0,3,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,23,1,0,0,0
 Boltzmann Machine ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Computer Vision ,0,0,0,0,0,2,20,0,0,0,0,0,63,0,0,0,0,0,20,1,0,0,7,3,1,13,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,5,0,0,2,0,1,0,2,2,6,0,1,3,4,0,0,2,2,0,0,0,0,1,28,5,34,4,2,5,0,3,0,7,13,3,1,0,0,58,12,1,0,36,186,0,0,2,0,19,0,0,0,1,0,3,0,3,1,0,0,0,0,0,1,6,25,0,0,1
 Loss Functions ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
 Data Science ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 IaaS ,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Data Mining ,0,9,0,4,0,4,78,1,12,0,1,3,203,3,0,5,0,0,48,15,1,0,57,7,1,0,0,6,0,0,6,0,0,0,0,3,3,4,0,0,0,7,14,0,2,0,2,0,3,1,0,1,0,2,1,1,1,2,1,3,0,2,0,0,0,0,3,30,21,2,0,0,0,16,0,0,107,1,6,0,1,2,10,6,0,3,222,0,0,0,0,91,1,0,0,5,1,6,0,0,0,0,1,1,0,0,0,1,4,0,1,2
 GPU ,0,0,0,0,0,1,4,0,0,0,0,7,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,2,2,1,3,1,0,4,0,0,1,0,2,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,2,4,0,1,7,12,0,0,7,0,3,0,0,0,0,0,0,0,0,23,0,6,0,0,0,1,0,1,0,0,0
