Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Unmanned Spacecraft , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , NLP , Automated Reasoning , Bert , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , Clouds , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Distributed Computing , Bayesian Inference , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Semantic Search , Data Center , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , Quantum Computing , AUV , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Cluster Computing ,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 Semantic Search ,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Data Center ,0,0,2,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 Boosting ,0,1,0,0,2,0,0,0,0,0,10,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,2,1,1,0,0,3,0,0,0,0,9,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0
 Robots ,0,1,1,7,24,0,11,0,2,0,44,1,3,0,0,12,0,0,19,2,0,17,2,0,0,4,0,0,0,0,0,0,0,0,1,0,459,1,4,0,1,1,8,0,1,38,9,0,13,6,4,7,8,18,14,0,10,3,0,0,2,0,37,9,11,134,6,0,6,0,20,17,2,0,0,0,38,28,0,0,922,829,0,0,33,0,20,0,0,4,0,248,0,0,32,0,0,0,0,5,5,0,1
 Genetic Algorithm ,0,4,2,2,12,0,1,0,0,4,49,0,0,0,0,10,0,0,17,6,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,12,2,0,0,0,0,2,0,0,8,2,0,1,0,0,0,5,1,5,0,9,2,1,3,0,37,0,15,2,0,0,1,2,0,2,11,0,3,0,0,0,12,11,0,13,99,0,0,27,3,0,1,0,7,0,10,5,0,4,0,0,22,0,11,1,0,0
 Pattern Recognition ,0,9,0,3,51,6,5,0,0,1,250,2,0,0,0,85,4,0,26,17,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,10,3,0,1,0,2,0,10,2,3,0,1,0,1,0,1,2,4,4,8,0,0,0,3,9,15,0,3,1,3,0,35,0,0,41,3,7,0,0,19,52,7,1,14,189,0,0,47,0,0,1,0,9,1,2,1,0,24,0,0,24,1,7,0,0,5
 Search Algorithm ,0,1,0,1,6,3,1,0,0,1,4,0,0,0,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,14,0,0,3,8,0,0,0,0,0,1,1,0,0,0,0,6,0,1,1,0,0
 Humanoid Robots ,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,134,0,1,1,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,34,77,0,0,5,0,0,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0
 Gesture Recognition ,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,6,0,3,0,0,0,0,1,0,0,3,0,0,0,0,2,3,1,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0
 Data Intensive Computing ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Dimensionality Reduction ,0,3,1,1,18,0,0,0,0,0,57,1,0,1,0,18,0,0,14,13,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0,1,3,0,0,4,0,0,0,0,6,2,35,0,1,1,0,0,0,0,12,3,0,0,0,5,27,2,0,1,35,0,0,12,0,1,1,0,3,0,0,0,0,3,1,0,10,0,3,0,0,1
 Dynamic Cloud ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 UAM ,0,0,0,2,5,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,22,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6,0,0
 Clustering ,0,3,0,3,22,2,3,0,2,2,119,7,0,1,0,33,1,0,8,6,0,1,8,0,0,24,0,0,0,0,1,3,1,0,0,1,10,21,1,0,0,0,1,0,2,2,1,0,1,3,2,2,0,7,5,1,4,0,3,0,2,17,11,41,1,0,3,0,12,0,0,0,4,13,0,0,17,29,2,0,15,153,0,0,46,0,0,6,0,12,0,1,2,0,17,1,1,85,0,38,0,0,0
 Statistical Learning ,0,0,3,1,5,0,0,0,0,0,25,1,0,0,0,24,1,0,11,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,2,0,3,0,1,0,0,3,0,0,4,0,0,0,0,7,1,0,0,5,24,0,0,11,0,0,0,0,5,0,2,0,0,0,0,0,3,0,0,0,1,0
 Image Classification ,0,3,1,0,7,0,0,0,0,0,79,0,0,0,0,15,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,7,0,0,0,0,0,0,0,13,0,0,0,0,9,6,0,0,2,34,0,0,1,0,0,1,0,4,0,0,0,0,2,0,0,1,0,5,0,0,0
 Text Similarity ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transfer Learning ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Object Recognition ,0,5,0,2,21,0,2,0,0,0,60,1,0,0,0,18,1,0,3,2,0,6,1,0,0,1,0,0,0,1,0,0,1,0,0,0,12,1,1,0,0,0,0,0,4,2,12,0,0,4,0,2,0,2,5,0,0,0,0,0,3,38,0,19,0,7,2,0,5,0,0,17,7,9,0,0,0,26,0,1,27,144,0,0,16,0,0,0,0,3,0,6,0,0,37,0,0,0,0,12,0,0,0
 Feature Extraction ,0,4,0,1,67,0,0,0,0,1,205,0,0,0,0,88,3,0,14,18,0,8,0,0,0,5,0,0,1,1,0,0,0,0,0,0,11,12,0,0,1,0,4,0,6,1,5,0,0,3,1,3,1,28,1,1,4,1,0,0,0,28,12,52,6,0,3,0,27,0,2,29,1,6,0,0,26,0,2,0,11,177,1,0,22,0,4,3,0,2,0,1,0,0,17,1,0,9,2,15,0,0,1
 Expert System ,0,1,0,0,16,0,13,0,0,0,27,0,0,0,0,2,2,0,4,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,11,7,0,0,1,0,2,0,0,2,0,0,0,0,0,2,0,1,2,69,0,0,11,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0
 Ensemble Modeling ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 Robotics ,1,0,0,1,20,0,7,0,1,0,33,0,2,1,0,19,1,0,12,1,0,11,0,0,0,3,0,0,0,1,0,0,0,0,0,1,138,1,2,0,0,0,2,0,1,16,5,0,3,3,0,0,11,7,4,0,11,1,0,0,0,922,13,14,1,34,1,0,1,0,9,15,5,2,0,0,27,11,2,0,0,428,0,0,39,0,10,0,0,2,0,135,0,0,23,0,0,8,0,4,3,0,3
 AI ,1,13,4,18,185,27,74,0,36,9,506,12,1,6,0,155,17,1,77,98,0,67,64,6,0,29,8,0,2,3,5,8,7,0,1,13,206,112,11,0,6,5,11,1,18,76,30,0,7,9,8,6,34,181,33,1,49,2,10,1,9,829,99,189,14,77,23,0,35,0,22,153,24,34,0,4,144,177,69,2,428,0,2,0,246,12,18,9,0,40,0,54,6,2,170,4,0,189,3,137,9,4,6
 Hardware Acceleration ,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 Bayesian Machine Learning ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Machine Learning ,0,10,2,5,39,4,7,0,4,3,275,2,0,6,0,156,28,4,60,10,0,0,31,0,0,7,0,1,2,0,1,8,4,0,0,1,7,16,3,0,2,0,1,0,0,17,4,0,2,1,5,1,7,4,5,1,6,1,2,0,6,33,27,47,3,5,0,0,12,0,2,46,11,1,0,0,16,22,11,1,39,246,0,1,0,0,0,2,1,16,0,3,2,0,15,1,0,53,0,8,0,3,2
 Quantum Computing ,0,2,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
 AUV ,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
 Big Data ,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,8,0,0,2,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,6,0,1,0,0,0,3,1,0,0,9,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,7,2,0,0,0,0
 SaaS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Supervised Learning ,0,1,0,1,8,0,0,0,0,0,50,6,0,0,0,20,4,0,13,7,0,0,1,0,0,6,0,0,0,0,0,1,1,0,0,0,3,1,0,0,1,0,0,0,0,12,2,0,0,0,1,0,3,0,3,0,6,0,0,0,3,4,7,9,0,1,0,0,3,0,0,12,5,4,0,1,3,2,0,0,2,40,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,4,0,2,0,0,0
 Optical Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Manipulator ,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,248,10,2,1,8,0,0,0,0,0,1,2,0,0,0,6,1,0,0,135,54,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
 High Performance Computing ,1,0,0,3,3,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,1,0,1,0,0,5,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0
 Boltzmann Machine ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Computer Vision ,0,0,0,0,14,0,2,0,0,0,50,1,0,0,0,5,1,0,5,2,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,0,2,2,6,0,1,0,2,0,0,2,1,1,2,0,0,0,0,32,4,24,0,1,5,0,3,0,1,17,0,2,0,0,37,17,1,0,23,170,0,0,15,0,1,0,0,4,0,2,1,0,0,0,0,1,1,20,0,0,0
 Loss Functions ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
 Data Science ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Data Mining ,0,2,4,1,98,0,6,0,5,0,137,0,0,2,0,34,9,1,28,2,0,0,1,1,0,5,0,0,0,0,6,0,0,0,0,9,0,23,0,0,0,4,0,0,3,1,0,0,3,0,0,0,0,4,3,0,4,0,0,0,2,0,22,24,6,0,0,1,10,0,0,85,3,1,0,0,0,9,6,2,8,189,0,0,53,0,0,7,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0
 GPU ,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,4,0,2,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0
 Image Segmentation ,0,2,0,2,13,1,0,0,0,0,80,2,0,0,0,15,0,0,5,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,2,1,0,2,13,2,2,0,0,0,0,5,11,7,1,0,1,0,3,0,1,38,0,5,0,0,12,15,0,0,4,137,0,0,8,0,2,0,0,2,0,0,1,0,20,0,0,0,2,0,0,0,0
 UGV ,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Entity Recognition ,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 Loss Function ,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,6,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0
