Topic, Nearest Neighbors , BD & Cloud Solutions , Multi Processing , Monte Carlo , Database , Machine Translation , Knowledge Representation , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , Hardware Acceleration , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Cluster Computing ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
 Data Center ,0,2,0,1,21,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
 Semantic Search ,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
 Boosting ,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,5,0,0,0,0,0,2,0,0,0,0,4,0,0,2,0,0,0,0,2
 Robots ,0,1,0,15,30,0,14,5,0,79,2,4,0,1,15,0,0,24,8,0,22,0,0,1,8,2,0,0,1,0,2,0,1,0,0,0,2,586,1,3,0,4,0,1,0,0,48,2,4,5,0,2,2,8,13,17,3,0,0,0,2,0,51,9,9,135,7,0,5,0,29,24,0,1,0,1,38,16,0,0,1362,1179,0,0,39,29,0,0,0,0,4,0,295,0,0,29,0,0,4,2,6,15,0,0
 Genetic Algorithm ,1,0,0,5,11,2,3,0,0,50,1,2,0,0,24,4,0,25,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,8,1,0,0,0,0,1,0,1,0,0,1,0,1,0,2,0,1,3,0,0,0,0,51,0,18,7,1,0,0,6,0,0,15,1,1,0,0,4,6,7,0,24,129,0,0,19,8,2,0,0,0,6,0,15,4,0,10,0,0,24,1,7,0,0,0
 Pattern Recognition ,6,3,0,1,32,3,1,0,0,229,1,0,0,0,57,2,1,20,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3,0,2,0,0,9,4,0,3,0,0,0,1,2,0,5,1,5,0,0,0,1,9,18,0,5,0,3,0,38,1,0,33,4,4,0,0,14,32,2,0,6,155,0,0,47,0,0,0,0,0,7,0,0,3,0,26,0,0,18,0,9,0,0,2
 Search Algorithm ,0,0,1,2,5,0,1,1,0,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,0,0,0,0,9,7,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,5,20,0,0,6,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0
 Humanoid Robots ,0,0,0,1,4,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,5,1,0,0,0,0,0,135,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,49,84,0,0,2,0,0,0,0,0,0,0,13,1,0,1,0,0,0,0,2,0,0,0
 Gesture Recognition ,0,0,0,0,4,0,0,0,0,13,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,2,22,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
 Data Intensive Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Dimensionality Reduction ,2,1,0,1,16,0,0,0,0,73,0,0,0,0,25,8,0,28,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,5,6,38,0,1,0,0,0,0,0,14,0,7,0,0,4,38,2,0,1,25,0,0,16,0,0,0,2,0,2,0,0,0,0,4,0,0,10,0,3,0,0,0
 Dynamic Cloud ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 UAM ,0,1,0,0,4,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,29,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,47,0,0,2,2,0,0,0,0,0,0,0,0,0,9,0,0,1,2,0,6,0,0
 Clustering ,5,0,0,4,34,1,6,2,0,137,5,0,1,0,32,8,0,15,8,0,0,0,7,0,23,0,0,0,0,0,1,4,2,1,0,0,2,13,24,0,0,0,0,2,1,2,1,0,1,0,0,1,1,0,6,3,7,1,1,1,0,24,15,33,3,1,1,0,14,1,0,0,2,13,0,0,7,20,2,0,4,159,0,0,55,0,0,0,5,0,11,0,3,2,0,9,0,0,102,1,48,0,0,0
 Statistical Learning ,0,1,0,1,6,0,0,0,0,23,0,0,0,0,19,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,8,0,0,10,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0
 Image Classification ,0,0,0,0,15,0,1,0,0,108,1,0,0,0,57,1,0,6,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,7,0,0,13,0,0,0,1,5,17,0,0,0,26,0,0,12,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,6,0,0,1
 Text Similarity ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transfer Learning ,0,0,0,0,1,0,1,0,0,4,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Object Recognition ,0,0,0,3,31,0,0,0,0,67,4,0,0,0,11,3,0,2,2,0,5,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,10,4,1,0,1,0,0,2,2,3,3,0,2,0,0,1,0,4,0,0,0,0,0,1,38,4,14,0,1,1,0,4,0,0,7,2,5,0,0,0,21,1,0,30,152,0,0,8,0,0,0,0,0,4,0,0,0,0,37,0,0,2,1,11,1,0,0
 Feature Extraction ,3,1,0,4,71,0,0,1,0,262,0,0,0,0,101,12,0,18,14,0,5,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,7,0,0,2,0,1,8,2,1,1,0,1,0,1,0,4,22,0,4,0,0,0,0,16,6,32,0,0,4,0,38,1,5,20,2,17,0,0,21,0,3,0,13,135,0,1,37,0,0,0,1,0,3,0,1,0,0,20,0,0,11,1,19,0,1,0
 Expert System ,0,0,0,2,19,0,9,0,0,24,0,1,0,0,7,2,0,8,0,0,0,0,4,0,2,0,0,0,0,0,2,0,1,0,0,0,2,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,2,0,0,0,0,2,0,0,2,0,0,0,0,1,3,0,0,1,86,0,0,12,0,1,0,0,0,1,0,0,0,0,4,0,0,7,0,0,0,0,0
 Ensemble Modeling ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Robotics ,1,0,0,6,36,0,10,2,0,56,0,5,0,0,13,0,0,17,2,0,17,0,0,1,3,0,0,0,0,0,1,0,0,0,1,0,1,200,0,2,0,5,0,0,0,0,22,1,2,2,0,0,2,4,5,3,3,0,0,0,0,1362,24,6,5,49,2,0,1,0,17,4,0,0,0,1,30,13,1,0,0,560,0,0,39,17,0,0,3,0,1,0,173,0,0,40,0,0,7,2,9,13,0,0
 AI ,4,9,0,25,164,26,97,19,3,515,24,0,8,0,203,35,4,99,76,0,48,1,80,17,39,1,0,0,1,1,10,21,23,5,2,0,11,258,132,16,0,10,1,1,6,12,97,15,5,8,0,9,7,37,90,23,42,1,2,16,6,1179,129,155,20,84,22,0,25,0,47,159,8,26,0,6,152,135,86,1,560,0,2,2,289,18,6,1,8,2,53,0,94,5,1,153,1,1,260,6,117,10,5,4
 Text Generation ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Hardware Acceleration ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
 Machine Learning ,6,3,0,10,81,3,6,1,0,348,5,0,4,0,198,42,5,109,18,0,1,0,31,4,6,0,0,0,0,0,4,10,0,1,0,0,3,3,22,3,0,7,0,1,3,4,21,2,3,4,0,6,0,5,9,4,6,0,2,0,5,39,19,47,6,2,3,0,16,0,2,55,10,12,0,1,8,37,12,0,39,289,0,0,0,0,0,0,5,0,16,0,0,3,0,12,3,1,78,3,17,0,4,3
 AUV ,0,0,0,0,3,0,0,0,0,5,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,29,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,18,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0
 Quantum Computing ,5,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
 PaaS ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
 Big Data ,0,1,0,0,10,0,0,0,1,6,0,0,0,0,3,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0,1,0,0,3,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 SaaS ,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
 Supervised Learning ,0,1,0,1,9,0,0,0,0,70,5,0,1,0,33,2,0,10,13,0,0,0,2,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,4,1,0,7,0,0,0,2,4,6,7,1,0,0,0,2,0,0,11,1,1,0,1,4,3,1,0,1,53,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,2,1,0,0
 Optical Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Manipulator ,0,0,0,0,2,0,0,0,0,8,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,295,15,0,0,13,0,0,0,0,0,3,0,0,0,0,0,1,0,0,173,94,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
 High Performance Computing ,0,0,0,2,4,0,0,0,18,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,1,1,0,0,0,4,3,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
 Boltzmann Machine ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Computer Vision ,0,0,0,1,11,0,0,0,0,51,2,0,0,0,14,2,0,8,2,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,2,0,0,0,0,0,1,0,5,0,2,0,2,2,0,3,1,0,0,0,0,4,29,10,26,0,1,3,0,4,0,9,9,1,2,0,0,37,20,4,0,40,153,0,0,12,1,0,0,0,0,1,0,3,0,0,0,0,0,3,2,20,3,0,1
 Loss Functions ,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 IaaS ,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Data Mining ,3,5,0,2,91,0,9,0,0,167,5,1,3,0,50,18,0,59,10,0,0,0,9,0,2,0,0,0,0,0,3,3,3,1,0,0,8,2,16,1,0,1,0,2,0,0,0,0,6,1,2,0,0,0,2,1,1,2,0,0,2,4,24,18,1,0,0,1,10,0,1,102,2,3,0,0,2,11,7,0,7,260,0,0,78,0,0,0,2,1,13,0,0,1,0,3,0,0,0,0,0,0,0,1
 GPU ,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,2,6,0,3,3,0,4,0,0,0,0,0,0,12,0,2,0,0,0,0,1,0,0,0
 Image Segmentation ,1,0,0,5,17,0,1,0,0,76,0,0,2,0,16,2,0,5,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,1,1,1,0,1,0,1,0,0,0,6,1,0,0,0,0,6,7,9,0,2,1,0,3,0,0,48,1,6,0,0,11,19,0,0,9,117,0,0,17,0,0,0,0,0,2,0,1,0,0,20,0,0,0,1,0,0,0,0
 UGV ,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,13,10,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
 Entity Recognition ,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Loss Function ,0,0,0,0,0,0,0,0,0,7,1,0,0,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
