Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , Decentralized Computing , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Bert , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Information Retrieval , Mobile Robots , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , Quantum Computing , AUV , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Reinforcement Learning ,0,0,2,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,6,7,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,24,0,0,0,2,0,0,49,4,0,6,6,0,0,0,0,0,2,0,0,1,1,0,3,0,35,75,0,0,0,0,15,1,3,0,0,0,2,0,7,0,0,1,1,0,0,1,0,0,0,0,0
 Face Detection ,0,0,1,0,0,1,8,0,0,0,0,0,8,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,2,0,0,1,0,0,0,8,4,0,0,2,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0
 Distributed Computing ,0,0,10,0,0,2,1,0,1,0,0,9,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,38,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,4,0,0,2,2,1,1,0,1,1,0,0,0,2,1,0,0,0,1,2,0,0,4,0,0,0,0,3,0,0,1,2,3,0,0,0,16,0,1,0,0,3,3,0,0,0,0,0
 Bayesian Inference ,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0
 Distributed File System ,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Optimization Algorithm ,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0
 Parallel Processing ,0,0,3,0,0,1,3,0,0,0,0,1,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,7,0,0,1,0,2,0,0,0,6,0,0,0,0,9,0,0,0,0,0,3,4,0,0,0,0
 RNN ,0,0,1,0,0,0,10,0,0,0,16,0,17,0,0,0,0,0,0,1,0,0,7,5,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,11,3,1,0,1,3,0,0,0,0,2,0,0,0,0,4,0,0,8,41,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
 Voice Recognition ,0,1,1,0,0,0,31,11,0,0,48,0,61,0,0,0,0,0,0,14,0,0,7,19,0,0,0,4,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,8,1,3,0,3,0,0,0,1,0,0,0,0,0,0,2,11,0,3,0,0,0,0,0,0,19,0,8,4,3,4,0,4,0,0,8,1,1,0,1,26,0,0,9,110,2,0,0,0,7,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,2,2
 Markov ,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,24,0,2,8,0,0,2,0,3,0,0,2,0,0,0,0,16,3,4,2,1,0,0,1,0,1,7,0,1,1,1,2,0,0,7,30,0,0,0,0,6,1,2,0,1,0,4,0,2,5,0,2,0,0,0,1,0,2,0,0,0
 Feature Engineering ,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0
 Back-propagation ,0,3,0,0,0,1,4,0,0,0,0,0,32,0,0,0,0,0,0,13,2,0,12,16,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,5,6,5,1,0,0,0,3,0,1,2,1,0,0,0,6,2,0,2,27,0,0,0,0,8,0,0,0,0,0,4,0,1,0,0,0,0,0,0,4,0,0,0,0,0
 Cluster Computing ,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
 Data Center ,0,0,11,0,0,1,15,0,0,1,0,10,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,65,0,0,0,1,1,0,1,0,0,0,6,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,1,9,2,0,0,0,9,0,0,0,0,17,2,0,0,0,0,0
 Semantic Search ,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Boosting ,0,0,0,0,0,0,1,0,0,0,0,0,12,2,0,0,0,0,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,4,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,2
 Robots ,0,1,0,0,0,14,51,0,7,0,2,0,93,1,3,0,1,0,0,23,1,0,24,10,0,25,0,8,0,0,7,0,0,0,8,0,1,0,4,0,8,0,0,2,385,6,0,4,0,1,7,3,49,6,2,0,0,5,0,11,19,16,0,5,2,0,0,0,0,59,11,13,248,19,0,3,0,46,14,0,1,0,55,18,1,0,1546,861,0,0,5,0,59,0,27,0,0,0,9,0,400,2,0,47,0,0,0,2,1,8,12,0,0
 Genetic Algorithm ,0,0,3,0,0,2,12,1,4,0,2,0,46,0,0,4,0,0,0,26,7,0,22,10,0,0,0,3,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,6,15,0,0,0,0,0,5,0,4,0,2,0,0,3,1,3,0,3,0,6,0,0,1,0,59,0,13,6,3,1,2,3,0,2,12,2,0,0,6,5,16,1,20,98,0,0,0,0,23,0,2,0,0,0,9,0,17,6,0,1,0,0,0,19,0,3,4,0,0
 Pattern Recognition ,0,6,1,0,0,5,32,3,1,0,1,0,270,2,0,0,0,0,0,83,6,0,43,8,0,3,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,1,4,7,0,0,1,1,0,0,0,1,8,4,1,5,0,1,0,3,11,13,0,3,0,9,0,51,0,1,45,9,7,0,17,42,3,0,12,148,0,0,0,0,55,0,0,1,0,0,13,1,0,2,0,32,1,0,0,14,0,5,0,1,1
 Search Algorithm ,0,1,0,0,0,2,9,1,0,0,0,0,9,0,1,4,0,0,0,11,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,6,0,1,0,0,1,1,0,4,2,0,1,0,0,1,0,13,6,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,28,0,0,0,0,6,3,0,0,1,0,2,0,5,1,0,2,0,0,0,4,0,1,0,0,0
 Humanoid Robots ,0,0,0,0,0,2,4,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,248,3,0,0,0,3,0,0,0,0,2,0,0,0,15,1,0,0,98,69,0,0,0,0,8,0,0,0,0,0,4,0,14,0,0,6,0,0,0,0,0,2,0,0,0
 Gesture Recognition ,0,1,0,0,0,0,9,0,0,0,1,0,22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,0,0,0,0,19,1,9,0,3,0,0,0,0,0,2,0,0,0,5,6,0,0,12,27,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0
 Data Intensive Computing ,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Dimensionality Reduction ,0,3,0,0,0,2,16,0,1,0,0,0,86,1,0,0,0,0,0,35,7,0,24,9,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,4,1,0,3,0,0,0,1,3,3,51,0,0,0,0,0,0,0,13,6,0,0,6,42,2,0,3,44,0,0,0,0,19,0,0,0,2,0,7,0,0,0,0,8,0,0,0,14,0,3,0,0,0
 Dynamic Cloud ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 UAM ,0,0,1,0,0,0,3,0,2,0,0,0,1,0,3,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,46,2,1,0,0,0,0,0,0,0,0,0,1,0,4,5,0,0,37,48,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,15,0,0,0,0,0,1,8,0,0
 Clustering ,0,1,4,0,0,2,33,1,6,0,2,2,144,7,0,2,0,0,0,37,17,2,18,9,0,4,0,4,0,0,28,0,0,0,0,0,1,3,5,0,0,0,1,29,4,1,0,1,0,1,0,0,2,1,2,1,0,2,1,2,8,7,0,2,0,4,1,0,14,12,45,1,2,2,0,13,1,0,0,16,4,0,8,45,3,0,5,141,0,0,0,0,48,1,0,0,5,0,16,0,1,4,0,10,0,0,1,88,2,38,0,1,0
 Image Classification ,0,4,0,0,0,0,9,0,0,0,0,0,126,5,0,0,0,0,0,67,6,0,13,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,1,0,0,0,1,0,1,0,3,1,0,0,0,1,0,2,9,0,0,0,0,6,0,0,16,0,0,0,13,14,2,0,0,35,0,0,0,0,11,0,0,0,1,0,5,0,0,0,0,6,2,0,0,2,2,12,0,0,0
 Statistical Learning ,0,0,2,0,0,1,2,0,1,0,0,0,12,1,0,0,0,0,0,4,5,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,0,7,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,1,18,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0
 Transfer Learning ,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Object Recognition ,1,0,0,1,0,4,22,0,2,0,0,0,90,2,0,0,0,0,0,24,3,0,6,0,0,25,0,0,0,0,5,0,0,0,6,0,0,0,0,1,0,0,0,1,8,0,0,8,0,0,1,1,1,8,0,1,0,0,1,0,1,1,2,0,0,0,0,0,55,6,17,0,15,5,0,6,0,4,8,13,2,1,0,21,0,0,58,148,0,0,0,0,17,0,0,0,0,0,9,1,0,0,0,58,1,0,0,0,2,14,1,0,0
 Feature Extraction ,0,9,0,0,0,1,67,0,1,0,0,0,268,0,0,0,0,0,0,105,9,1,17,15,0,4,0,1,0,0,3,0,0,4,0,0,0,2,0,1,0,0,1,0,12,1,0,6,0,1,1,1,0,4,1,1,0,0,1,4,26,2,0,6,0,0,0,2,18,5,42,1,1,6,0,42,0,5,45,14,0,0,21,0,6,0,11,152,0,0,0,0,45,0,0,0,0,0,6,0,0,1,0,34,0,0,0,12,1,22,0,0,0
 Expert System ,0,0,0,0,0,1,22,0,4,0,0,0,30,0,0,0,0,0,0,10,1,0,9,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,1,16,3,0,0,0,0,2,0,0,3,2,0,0,0,6,0,0,0,71,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,15,0,0,0,0,0
 Ensemble Modeling ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 Robotics ,0,0,1,1,0,12,34,0,10,0,2,0,72,0,2,0,0,0,0,16,4,0,24,0,0,12,0,6,0,0,4,0,0,0,6,0,0,0,4,0,11,0,0,1,144,5,0,9,0,3,2,1,35,2,0,1,0,2,1,8,9,7,0,2,2,0,0,0,1546,20,12,10,98,12,0,3,0,37,5,0,1,1,58,11,0,0,0,460,0,0,1,0,53,0,24,0,0,0,5,0,173,2,0,59,0,0,0,3,4,17,8,0,0
 AI ,1,17,7,0,1,18,145,18,84,2,36,7,516,17,5,9,2,0,0,179,37,27,103,85,0,52,0,61,12,0,27,0,0,3,5,1,7,13,39,5,2,1,11,87,138,19,0,19,0,4,8,4,75,15,4,1,0,7,7,41,110,30,3,27,1,6,12,4,861,98,148,28,69,27,0,44,0,48,141,35,18,7,148,152,71,3,460,0,0,2,1,1,265,12,12,0,13,0,64,0,88,6,2,187,2,0,0,179,3,101,16,5,8
 Text Generation ,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NRDBMS & NoSQL ,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Hardware Acceleration ,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0
 Bayesian Machine Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Machine Learning ,0,7,4,0,0,4,81,3,6,1,3,1,383,4,0,7,0,0,0,206,56,9,121,34,0,2,0,30,0,0,10,0,0,2,0,0,3,7,4,3,0,1,1,17,2,3,0,9,0,1,2,2,15,3,3,4,0,1,2,6,7,6,4,8,0,2,0,8,59,23,55,6,8,6,0,19,0,0,48,11,9,4,17,45,7,0,53,265,0,0,0,0,0,0,0,0,8,1,25,0,3,0,1,31,2,0,0,77,1,8,0,6,1
 Quantum Computing ,0,0,0,0,0,4,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
 AUV ,0,0,0,0,0,2,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,24,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0
 PaaS ,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,11,1,0,0,0,0,0
 Big Data ,0,1,13,0,0,0,10,0,0,0,0,1,12,0,0,0,0,0,0,7,2,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,18,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,2,0,1,0,6,0,0,1,0,0,1,9,0,0,0,0,0,1,0,0,2,2,0,0,5,1,0,0,0,0,1,0,0,13,0,1,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,2,0,0,0
 SaaS ,0,0,0,0,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,3,0,0,0,0,13,1,0,0,0,0,0
 Supervised Learning ,0,3,0,0,0,0,14,0,2,0,1,0,88,7,0,0,0,0,0,34,10,0,9,3,0,1,0,1,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,2,4,3,4,0,0,0,1,9,9,13,2,4,0,0,7,0,0,16,5,1,3,9,6,1,0,5,64,0,0,0,0,25,0,0,0,0,0,0,0,1,0,1,3,2,0,0,9,0,5,0,0,1
 Optical Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Manipulator ,0,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,400,17,0,5,14,0,0,0,0,1,1,0,0,0,0,0,0,0,173,88,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
 High Performance Computing ,0,0,3,1,0,10,4,0,2,0,0,24,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,16,3,1,0,9,0,0,5,0,0,3,9,0,0,2,6,2,1,0,0,1,0,0,0,4,0,0,0,0,1,0,0,2,6,0,0,4,0,0,0,0,1,2,3,0,1,0,0,0,1,0,0,5,2,26,0,0,0,0
 Boltzmann Machine ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Computer Vision ,0,0,0,0,0,2,21,0,0,0,1,1,70,3,1,0,1,0,0,21,0,0,13,1,0,19,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,8,1,0,2,0,1,3,2,1,9,1,0,0,1,0,0,1,2,0,0,0,0,0,2,47,1,32,2,6,12,0,8,0,15,10,6,2,0,58,34,1,0,59,187,0,0,0,0,31,0,5,0,0,0,3,0,2,1,0,0,0,0,0,2,5,27,0,1,0
 Loss Functions ,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 Data Science ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 IaaS ,0,0,4,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
