Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , SVM , Trees , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Semantic Search , Data Center , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Dimensionality Reduction , UAM , Clustering , Statistical Learning , Image Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Robotics , AI , Text Generation , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 UAM ,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,23,0,0,0,0,1,0,0,0,0,0,1,0,0,8,0,0,0,2,0,0
 Clustering ,0,0,0,0,27,1,2,0,1,76,4,0,0,21,0,6,3,0,1,4,0,17,0,0,0,0,1,2,0,0,3,4,28,0,0,0,0,1,0,0,1,2,0,0,3,0,1,6,2,0,3,0,1,1,0,11,9,0,38,0,0,0,13,0,0,0,4,0,0,6,21,2,13,137,1,0,0,29,0,1,3,0,3,0,2,0,0,7,69,1,43,0,0,0
 Statistical Learning ,0,1,1,0,4,0,0,0,0,26,0,0,0,24,2,9,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,2,1,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,1,8,0,0,0,5,0,0,0,0,2,0,0,0,0,1,2,0,1,0,0,1
 Image Classification ,0,1,0,0,2,0,0,0,0,69,1,0,0,21,0,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,4,1,0,1,1,0,4,0,0,0,0,9,9,0,1,26,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0
 Text Similarity ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transfer Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Object Recognition ,0,0,0,4,34,0,0,0,0,59,0,0,0,21,1,3,2,0,7,0,0,4,0,0,0,2,0,0,0,0,0,13,4,0,0,0,0,1,0,1,1,16,0,0,0,2,1,2,3,0,1,0,0,0,2,40,3,0,22,2,3,0,4,0,6,0,9,0,0,0,30,0,23,140,0,0,0,7,4,0,0,0,5,0,2,0,0,40,1,1,13,1,0,0
 Feature Extraction ,0,3,0,1,79,0,2,2,0,225,1,0,0,68,6,10,40,0,4,0,0,3,0,0,0,0,0,1,0,0,0,11,7,2,0,0,0,8,1,4,0,9,0,2,3,0,0,36,0,0,5,0,0,0,0,21,21,0,75,1,0,5,27,2,21,2,9,0,0,30,0,6,17,202,0,1,0,19,2,0,3,0,8,0,1,0,0,19,13,2,9,0,0,0
 Expert System ,0,0,0,1,21,0,9,0,0,33,0,0,0,3,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,5,4,0,10,0,0,1,1,0,2,0,0,0,0,0,6,0,13,63,0,0,0,7,3,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0
 Robotics ,0,0,0,12,28,0,8,0,0,42,0,2,1,15,0,8,4,0,6,2,0,3,1,0,2,4,0,0,0,0,1,175,3,1,0,2,0,1,1,0,33,6,0,2,4,2,3,3,3,0,6,0,2,0,1,934,31,0,16,11,32,3,3,19,13,1,1,0,0,23,17,13,0,423,0,2,0,37,22,0,0,0,2,0,133,0,0,47,7,3,6,9,0,1
 AI ,0,9,4,21,215,23,87,38,0,515,8,1,8,172,9,84,85,0,47,66,9,30,2,0,2,5,2,15,9,0,17,201,134,10,0,4,0,6,1,15,95,31,7,4,19,4,44,166,24,0,59,2,9,1,9,821,99,0,255,17,47,22,44,23,137,8,26,0,1,140,202,63,423,0,2,2,0,244,16,12,7,0,33,0,76,3,1,154,220,4,140,11,4,1
 Text Generation ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Hardware Acceleration ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
 Bayesian Machine Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Machine Learning ,0,4,0,2,57,2,5,4,1,200,2,0,2,122,14,61,12,0,0,18,0,7,0,0,0,0,2,2,4,0,2,7,12,4,0,1,0,3,0,2,15,3,3,2,3,0,1,17,4,0,11,0,1,0,4,28,20,0,44,4,0,2,9,0,29,5,3,0,0,7,19,7,37,244,0,0,1,0,0,0,3,0,14,0,0,0,0,8,56,0,12,0,4,2
 AUV ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,2,0,0,0,0,0,0,1,0,0,0,0,0,4,2,3,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
 Quantum Computing ,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,0,0,0,0
 Big Data ,0,1,0,0,2,0,0,0,1,8,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,3,0,0,7,0,0,0,3,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
 SaaS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 Supervised Learning ,0,0,0,1,3,0,0,0,0,43,4,0,1,12,0,10,2,0,0,2,0,8,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,0,0,0,5,0,0,0,3,0,5,0,1,0,3,0,0,0,1,7,3,0,3,0,0,0,3,0,3,2,1,0,1,5,8,1,2,33,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0
 Optical Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Manipulator ,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,213,8,0,1,4,6,0,0,1,2,0,0,0,0,2,1,0,133,76,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
 High Performance Computing ,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0
 Boltzmann Machine ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Computer Vision ,0,0,0,1,25,0,1,2,0,41,0,0,0,7,0,5,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0,0,0,0,0,0,0,13,0,1,2,2,0,3,0,0,1,0,0,0,0,44,0,0,26,4,4,6,6,8,7,1,2,0,0,40,19,1,47,154,0,3,0,8,1,0,0,0,0,0,3,0,0,0,1,2,21,1,0,0
 Data Mining ,0,1,3,0,79,0,6,0,0,133,0,0,3,21,8,26,1,0,0,2,0,2,0,0,0,0,8,0,1,0,16,1,18,1,0,0,0,0,1,0,0,0,3,0,0,0,1,2,1,0,3,0,0,0,1,0,11,0,19,2,0,0,9,0,69,2,0,0,0,1,13,4,7,220,0,0,0,56,0,0,4,0,5,0,0,0,0,1,0,1,1,0,0,2
 GPU ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,3,4,0,1,0,0,0,3,0,0,0,0,0,1,0,2,1,0,0,0,0,0
 Image Segmentation ,0,2,0,3,19,0,2,0,0,70,1,0,0,15,0,8,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,0,0,2,4,0,1,0,5,1,0,0,0,0,0,1,5,0,19,0,0,2,4,0,43,1,4,0,0,13,9,1,6,140,0,0,0,12,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0
 UGV ,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,11,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 Entity Recognition ,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Loss Function ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
