Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Unmanned Spacecraft , SVM , Trees , Regression , Multi-layer perceptron , Pose Estimation , NLP , Automated Reasoning , Unsupervised Learning , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Deep Learning , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , UAM , Clustering , Statistical Learning , Image Classification , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Robotics , AI , Text Generation , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , Quantum Computing , AUV , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Mining , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Image Classification ,0,0,0,0,4,0,0,0,0,0,52,0,0,0,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,1,3,1,0,0,0,1,0,5,0,0,0,1,4,0,0,23,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0,2,5,0,0,0
 Transfer Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Object Recognition ,0,0,0,0,25,0,1,0,2,0,43,0,1,0,0,17,0,2,0,4,2,0,5,0,0,2,1,0,0,0,1,10,2,1,1,0,0,0,4,5,5,0,0,0,0,0,3,2,0,0,1,0,0,1,28,5,13,1,0,0,0,0,2,11,2,1,0,0,13,0,19,134,0,0,0,3,0,0,0,0,4,0,2,0,0,20,0,0,10,1,0,0
 Feature Extraction ,0,5,0,1,31,0,0,0,0,0,119,0,0,0,0,18,0,4,17,1,0,0,2,0,0,0,0,0,2,0,0,3,4,0,0,0,3,0,4,0,7,1,0,0,0,0,3,0,0,6,0,0,0,1,13,8,31,6,0,0,0,17,0,11,0,4,0,13,0,1,4,135,0,1,0,11,0,0,0,0,1,0,0,0,0,10,0,7,13,0,0,0
 Expert System ,0,0,0,0,26,0,2,0,0,0,25,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,1,0,0,0,0,0,2,0,0,0,0,1,0,4,63,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
 Robotics ,1,0,0,2,7,0,6,0,0,0,14,0,3,0,0,6,0,1,0,6,2,0,4,0,2,0,0,0,0,0,0,94,1,0,3,1,1,0,0,13,2,3,0,2,0,10,12,4,0,0,0,1,0,0,656,9,10,4,17,1,0,0,16,2,0,0,0,19,4,4,0,268,0,0,0,4,0,11,1,0,3,0,85,1,0,28,0,1,1,4,0,0
 AI ,0,5,1,9,158,11,66,1,15,1,354,1,0,5,0,80,3,46,71,41,43,12,21,0,1,2,4,16,7,0,9,160,91,9,5,3,15,1,7,58,38,7,1,10,2,23,70,18,0,39,1,0,5,2,526,112,184,23,14,12,0,28,17,93,10,23,0,134,135,63,268,0,0,2,1,140,5,9,5,0,37,0,65,4,0,128,0,186,100,9,1,1
 Text Generation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Hardware Acceleration ,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0
 Bayesian Machine Learning ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Machine Learning ,0,3,0,2,25,2,6,1,2,0,119,2,0,3,0,77,2,36,11,0,10,0,3,0,0,0,3,5,0,0,0,4,10,0,0,0,0,0,0,10,1,1,0,1,1,1,8,2,0,3,0,1,0,2,10,11,30,4,0,0,0,6,0,26,5,2,0,3,11,6,4,140,0,0,0,0,3,1,0,0,9,0,0,1,0,6,0,43,6,0,1,0
 Quantum Computing ,0,0,2,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AUV ,0,2,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,11,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Big Data ,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
 SaaS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Supervised Learning ,0,0,0,0,5,0,0,0,0,0,40,3,0,0,0,14,0,10,6,0,2,0,5,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,6,1,0,1,2,1,1,0,1,0,3,0,0,0,0,5,3,7,1,0,0,0,0,0,5,0,3,0,4,1,0,3,37,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,9,1,0,0,1
 Optical Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Manipulator ,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,202,4,0,4,6,0,0,1,0,0,0,0,0,2,0,0,85,65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
 High Performance Computing ,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
 Boltzmann Machine ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Computer Vision ,0,0,0,2,5,0,1,0,0,0,31,0,1,0,0,8,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,2,0,1,2,5,0,0,4,0,0,0,0,0,0,0,0,0,0,33,7,15,0,1,2,0,3,4,6,0,4,0,20,10,0,28,128,0,1,0,6,0,0,0,0,2,0,3,2,0,0,0,0,14,0,0,0
 Loss Functions ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 Data Mining ,0,4,3,1,92,0,2,0,0,1,90,2,0,1,0,14,2,18,4,0,2,0,3,0,0,0,4,3,0,0,12,0,9,1,1,1,0,0,0,2,0,3,0,1,0,0,0,2,0,4,0,0,0,1,0,15,12,2,0,0,0,2,0,62,2,2,0,0,7,6,1,186,0,0,0,43,0,0,3,0,9,0,0,0,0,0,0,0,0,0,1,0
 Image Segmentation ,0,2,0,3,12,0,0,0,0,0,45,0,0,0,0,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,5,0,0,0,1,0,3,0,0,0,0,10,0,0,0,0,0,0,2,7,5,0,0,0,0,2,0,16,0,5,0,10,13,0,1,100,0,3,1,6,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0
 UGV ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Entity Recognition ,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 Loss Function ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
