Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Information Retrieval , Mobile Robots , Dynamic Programming , Inter Clouds , Image To Text , Encoder Decoder , Deep Learning , Neuromorphic Computing , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Fog Computing , Dew Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Mobile Robots ,0,0,1,1,0,1,8,8,0,2,0,0,0,29,0,1,0,0,0,0,15,3,0,0,6,0,0,14,0,1,0,2,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,1,0,0,0,3,0,4,4,4,9,0,0,6,0,0,1,1,3,0,0,8,0,1,0,5,0,0,608,14,0,2,3,12,3,0,0,0,30,4,0,3,0,0,0,0,16,8,0,0,243,234,0,0,2,0,7,11,0,0,2,0,3,0,27,0,0,0,0,11,0,0,0,0,2,1,12,0,0
 Dynamic Programming ,0,0,0,4,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,5,3,0,1,1,1,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,6,21,0,0,0,0,6,0,0,0,3,0,0,0,3,0,0,2,0,5,0,0,0,1,1,1,0,0,0
 Inter Clouds ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Image To Text ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Encoder Decoder ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
 Deep Learning ,0,4,1,6,0,3,3,78,2,8,0,6,1,246,5,0,1,0,0,0,56,15,6,0,42,15,0,7,7,11,0,13,0,1,1,6,30,0,0,1,6,1,0,0,1,8,3,0,0,1,1,0,1,404,1,10,16,4,0,0,1,0,5,3,89,11,126,0,7,15,0,2,0,0,27,3,0,22,0,1,6,0,15,0,6,19,1,45,0,0,0,24,61,61,1,0,22,299,0,0,1,0,119,0,0,0,23,0,13,0,1,3,3,8,9,68,0,0,0,11,3,9,5,2,10
 Neuromorphic Computing ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Convolutional Networks ,0,3,0,2,0,0,1,87,2,0,0,0,0,313,2,0,0,1,0,0,63,18,1,0,38,9,0,11,3,6,0,6,0,1,1,8,6,0,0,0,2,1,0,0,0,5,4,0,0,1,7,404,1,0,0,16,2,10,0,0,0,0,5,1,49,44,22,0,16,11,0,0,0,2,28,0,0,19,1,3,3,0,3,0,20,21,0,111,0,0,0,42,131,97,1,3,30,256,0,0,7,0,82,0,0,0,11,0,25,0,0,1,1,0,1,140,3,0,0,2,2,28,5,0,15
 Data Storage ,0,0,0,12,0,1,0,9,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11,0,0,3,0,1,2,1,0,0,0,0,2,8,1,0,1,0,0,0,0,0,2,1,0,2,15,0,6,0,0,3,0,0,1,32,1,0,0,0,0,0,5,0,2,0,1,0,9,0,2,0,0,0
 Image Recognition ,0,0,0,3,0,0,1,14,0,0,0,0,0,20,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,10,0,16,0,0,0,0,0,0,0,0,1,0,5,0,2,0,1,0,0,0,0,0,3,1,0,5,0,0,0,0,1,0,2,2,0,4,0,0,0,0,4,6,1,0,5,24,0,0,2,0,8,2,0,0,2,0,2,0,1,0,0,0,1,7,0,0,0,1,0,5,1,0,0
 Reinforcement Learning ,0,0,0,0,0,2,9,5,0,1,0,1,1,17,0,0,1,0,0,2,2,0,3,0,9,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,10,0,0,0,1,2,9,10,0,0,0,16,0,2,1,0,0,1,0,0,6,0,3,0,1,0,1,47,2,1,0,3,0,0,81,6,0,1,6,4,1,0,0,1,4,1,1,0,0,0,0,3,3,0,0,0,41,118,0,0,0,0,39,0,0,0,4,0,2,0,5,0,0,2,0,0,0,0,1,2,0,0,0,0,2
 Face Detection ,0,0,0,1,0,0,1,7,0,0,0,0,0,15,0,0,0,0,0,0,11,1,0,0,1,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,1,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,8,2,0,0,0,18,0,0,1,0,3,0,0,0,3,0,2,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0
 Photonic Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Distributed Computing ,0,0,0,29,1,0,0,6,0,1,2,0,4,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,27,1,0,0,1,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,3,6,0,0,12,1,1,0,0,0,0,0,1,0,4,7,0,0,3,0,0,0,0,0,1,0,1,12,0,1,0,0,8,0,1,0,26,1,1,0,0,0,0,16,0,1,0,0,0,5,2,0,0,0,0
 Bayesian Inference ,0,0,0,0,0,0,6,3,0,0,0,0,0,8,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,2,10,0,0,0,1,0,0,4,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,1,0,0,5,11,0,0,0,1,10,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,0,0,0
 Distributed File System ,1,0,0,9,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
 Optimization Algorithm ,0,3,0,1,0,0,3,2,0,0,0,0,0,14,1,0,0,0,0,0,11,1,0,0,11,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,5,0,1,3,0,0,0,0,0,0,0,1,0,2,2,0,3,0,0,0,0,8,1,0,0,0,0,0,0,2,0,2,5,1,4,0,0,0,0,0,1,0,0,6,20,0,0,0,0,17,0,0,0,6,0,6,0,0,0,0,1,0,4,1,1,0,4,1,3,0,0,1
 Parallel Processing ,1,0,0,13,0,1,2,2,0,0,0,0,6,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4,1,1,0,0,0,0,3,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,3,1,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,1,0,0,3,7,0,1,0,0,4,0,0,1,19,1,0,0,0,0,0,8,0,4,0,0,1,3,6,1,1,0,0
 RNN ,0,0,0,0,0,0,0,34,10,0,0,34,0,59,0,0,0,0,0,0,15,3,2,1,12,5,0,3,0,17,0,2,0,0,1,7,6,0,0,0,1,0,0,0,0,0,3,0,0,0,2,89,0,49,0,5,1,1,0,0,1,0,1,0,0,0,65,0,3,9,0,0,0,0,5,1,0,4,0,1,3,0,0,0,2,1,0,3,0,0,0,1,3,11,0,0,4,114,2,0,0,0,36,0,0,0,4,0,2,0,0,0,0,0,3,4,0,0,0,3,0,2,0,0,1
 Fully Connected Layer ,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,44,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,3,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
 Voice Recognition ,0,1,0,5,0,0,0,36,16,1,0,61,0,61,2,0,0,0,0,0,16,7,2,1,16,5,0,1,0,27,0,5,0,0,2,5,4,0,0,2,3,0,0,0,0,12,0,0,0,0,0,126,1,22,0,2,1,2,0,0,2,0,2,0,65,2,0,3,1,1,0,0,0,0,48,0,0,9,1,2,7,0,2,0,0,11,0,4,0,0,0,2,8,20,1,0,23,168,0,0,2,0,29,0,0,0,7,0,4,0,2,1,1,1,1,8,0,0,0,5,0,0,0,0,3
 Markov ,0,0,0,1,0,0,18,4,0,0,0,0,5,10,1,0,0,0,0,0,4,3,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,8,3,0,0,0,0,0,0,0,0,47,0,0,3,10,0,2,1,0,0,3,0,0,0,0,3,0,0,30,2,0,1,0,0,0,0,0,0,4,7,1,0,0,0,0,1,1,2,1,0,16,42,0,0,0,1,22,0,0,0,4,0,1,0,0,0,0,2,0,1,0,0,0,6,1,0,1,0,0
 Feature Engineering ,0,0,0,0,0,0,0,1,2,0,0,0,0,13,0,0,0,0,0,0,4,3,1,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,16,0,1,2,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,3,0,4,0,0,0,1,5,5,0,0,0,6,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0
 Back-propagation ,0,0,0,1,0,0,2,8,0,0,0,0,0,32,0,0,0,0,0,0,7,0,2,0,14,26,0,0,0,1,0,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,1,11,0,0,1,0,0,0,0,0,3,0,9,0,1,0,0,0,0,0,0,0,5,5,0,12,1,0,1,0,2,0,0,7,3,4,0,0,0,1,3,6,0,0,4,43,0,1,0,0,13,1,0,0,0,0,6,0,1,0,0,0,0,3,0,0,0,6,1,4,0,0,0
 Cluster Computing ,0,0,0,7,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,7,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0
 Data Center ,0,0,0,33,0,1,4,23,0,0,0,0,5,12,0,0,0,0,0,0,6,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,201,0,0,0,4,1,5,1,1,0,0,2,0,0,11,0,3,0,0,6,1,2,0,1,0,0,0,3,0,0,1,0,0,0,9,3,9,0,0,0,0,0,1,2,4,8,0,0,7,0,0,0,1,0,0,0,11,38,0,0,13,0,10,0,0,6,46,4,0,0,0,0,0,20,0,2,0,0,11,2,6,0,0,0,0
 Semantic Search ,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 Boosting ,0,1,0,1,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,6,10,1,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,5,0,0,0,4,0,0,0,0,16,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
 Robots ,0,1,1,12,0,27,29,59,0,24,0,1,1,164,0,7,0,2,1,0,51,13,0,0,77,10,0,63,0,12,4,7,0,0,0,2,2,0,0,0,34,0,56,2,2,1,608,5,0,0,1,27,0,28,3,3,81,3,0,12,4,0,8,3,5,0,48,30,1,5,0,9,0,0,0,47,1,19,16,377,39,0,8,1,146,31,10,4,2,0,0,4,73,28,2,0,2723,1624,0,0,4,0,110,90,1,1,8,0,12,0,538,0,0,2,0,78,0,0,0,7,6,5,36,0,0
 Genetic Algorithm ,0,1,0,2,0,0,4,20,0,2,0,0,2,72,3,2,0,0,0,0,60,13,1,0,50,21,2,0,0,2,0,4,0,0,0,0,0,0,0,1,14,0,1,1,0,7,14,3,0,0,0,3,0,0,0,1,6,0,0,1,0,0,1,1,1,0,0,2,0,5,1,3,0,1,47,0,1,13,17,3,0,0,2,0,15,17,4,2,0,0,0,0,3,8,17,0,20,147,0,1,0,0,81,9,8,0,7,0,10,0,11,0,0,6,0,5,0,0,1,34,0,11,4,0,0
 Edge Computing ,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,12,0,0,1,0,0,0,0,1,8,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
 Pattern Recognition ,0,6,0,2,0,0,3,41,1,0,0,1,0,289,2,1,0,0,0,0,106,14,0,0,37,15,0,4,1,2,0,7,0,2,1,1,2,0,0,0,1,0,0,1,1,7,2,1,0,0,0,22,0,19,2,5,1,0,0,0,2,0,0,3,4,1,9,1,0,12,0,0,1,2,19,13,0,0,2,1,7,0,49,0,12,43,2,8,0,0,0,0,22,47,1,0,20,154,0,0,0,0,107,0,0,0,10,0,11,0,1,0,0,2,1,43,0,1,0,20,3,12,1,0,2
 Search Algorithm ,0,0,0,2,0,0,5,2,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,1,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,16,17,0,2,0,0,0,0,1,0,2,4,0,1,0,0,0,0,1,1,4,0,9,44,0,0,2,0,19,0,8,0,7,0,0,0,1,0,0,3,0,1,0,0,0,5,0,3,0,0,0
 Humanoid Robots ,0,0,0,0,0,0,1,4,0,1,0,3,1,13,0,0,0,0,0,0,4,1,0,0,6,2,0,3,0,2,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,12,1,0,0,1,1,0,3,0,0,4,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,377,3,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,6,1,0,0,133,179,0,0,0,0,11,0,0,0,0,0,0,0,18,0,0,0,0,5,0,0,0,1,0,0,0,0,0
 Gesture Recognition ,0,0,0,1,0,1,1,9,0,0,0,0,0,39,1,0,0,0,0,0,29,4,0,0,5,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,6,0,3,0,0,1,1,0,0,0,0,0,0,3,0,7,0,2,1,0,0,0,0,39,0,0,7,0,0,0,0,1,0,3,1,0,2,0,0,0,1,3,9,0,0,26,40,0,0,1,0,24,0,0,0,2,0,2,0,3,0,0,0,0,7,0,0,0,0,0,1,0,0,0
 Data Intensive Computing ,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
 Dimensionality Reduction ,0,3,0,4,0,0,3,25,0,0,0,0,0,109,0,0,0,0,0,0,70,17,2,0,38,11,0,0,2,4,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,15,0,3,0,1,0,0,0,1,1,1,2,0,0,0,2,0,0,2,0,1,0,1,8,2,0,49,1,0,1,0,0,0,5,31,1,15,0,0,0,5,3,45,1,0,11,41,0,0,1,0,52,2,0,0,24,0,1,0,1,0,0,0,1,9,0,3,0,25,3,7,0,0,0
 Dynamic Cloud ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 UAM ,0,0,0,2,0,3,4,8,0,0,0,0,0,88,0,15,0,0,0,0,30,16,0,0,15,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,3,0,18,0,1,0,30,1,0,0,0,6,0,20,8,2,4,2,0,4,0,0,2,0,2,0,0,4,0,0,0,4,0,0,146,15,1,12,2,0,3,0,5,1,0,11,0,18,1,0,0,0,34,17,1,0,107,174,0,0,0,0,20,10,0,0,5,0,4,0,21,0,0,0,0,41,0,0,0,2,5,10,34,0,0
 Clustering ,1,9,0,20,0,0,9,51,1,4,0,4,1,239,10,1,0,0,0,0,34,27,6,0,46,11,0,2,1,22,0,59,0,0,0,1,2,0,1,3,13,2,2,2,2,38,4,2,0,1,0,19,0,21,1,2,1,0,0,7,1,0,5,2,1,0,11,7,3,7,0,8,0,1,31,17,1,43,4,4,1,0,31,1,11,0,7,16,4,0,1,1,15,43,3,0,15,231,0,2,1,0,154,3,1,0,87,1,23,0,1,0,0,6,2,29,0,7,0,165,1,52,2,2,1
 Statistical Learning ,0,1,0,2,0,1,2,6,0,0,0,0,0,25,1,0,0,0,0,0,19,7,1,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,10,4,0,2,0,2,0,0,1,0,0,7,0,1,0,0,0,1,1,5,1,0,3,10,0,0,0,0,20,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1
 Image Classification ,0,5,0,2,0,1,0,18,0,1,0,0,0,241,5,0,1,0,0,0,106,25,0,0,18,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,2,0,0,2,3,3,0,0,0,0,45,0,111,1,4,0,0,0,0,0,0,4,2,3,5,4,0,4,4,0,0,0,0,4,2,0,8,1,0,2,0,15,0,18,16,1,0,0,0,0,10,21,57,0,0,6,77,0,1,2,0,41,0,0,0,2,0,12,0,0,0,1,4,0,23,0,0,0,3,4,11,1,0,1
 Fog Computing ,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,12,0,0,0,0,0,0,0,1,4,0,0,0,1,0,1,0,0,0,0,1,4,0,0,0,0,2,0,1,5,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0
 Dew Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Text Similarity ,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transfer Learning ,0,2,0,0,0,0,1,6,0,2,0,0,0,27,1,0,2,0,0,0,4,1,1,0,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,24,0,42,0,0,3,1,0,0,0,0,0,0,1,3,2,1,1,1,0,0,0,1,4,0,1,0,0,0,1,0,5,0,0,1,1,10,1,0,0,0,9,6,0,0,4,26,0,0,0,0,16,0,0,0,1,0,3,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0
 Object Recognition ,0,2,0,1,0,0,2,20,0,0,0,0,1,127,4,0,0,1,0,0,54,12,0,0,12,0,0,29,1,5,0,6,0,0,0,1,3,0,0,0,1,0,0,1,0,1,16,1,0,2,0,61,0,131,0,4,3,8,0,0,4,0,0,3,3,4,8,1,5,3,0,1,0,1,73,3,0,22,1,6,3,0,3,0,34,15,1,21,0,0,0,9,0,29,1,0,63,162,1,0,6,0,40,2,0,0,5,0,5,0,1,0,0,1,1,79,0,0,0,1,4,17,4,0,2
 Feature Extraction ,0,4,0,1,0,0,4,99,2,1,0,2,1,404,5,0,0,0,0,0,148,38,6,0,33,14,0,12,4,21,0,9,0,0,3,0,2,0,0,3,4,2,0,1,1,9,8,0,0,0,0,61,0,97,2,6,0,2,0,0,1,0,1,1,11,3,20,2,5,6,0,0,0,5,28,8,0,47,1,1,9,0,45,0,17,43,5,57,0,0,0,6,29,0,4,0,26,207,0,0,4,0,118,2,0,0,8,0,17,0,0,0,0,2,2,49,0,1,0,28,2,19,1,1,2
 Expert System ,0,0,0,1,0,0,2,16,0,19,0,0,0,37,0,0,0,0,0,0,13,4,2,0,10,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,17,0,1,4,0,0,0,1,0,1,3,1,0,0,0,0,0,1,4,0,0,3,93,0,0,0,0,22,6,0,0,6,0,3,0,0,0,0,0,0,0,0,2,0,22,0,2,1,0,0
 Ensemble Modeling ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
