Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Information Retrieval , Mobile Robots , Dynamic Programming , Inter Clouds , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Fog Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Quantum Computing , Machine Learning , AUV , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Convolutional Networks ,0,0,0,0,0,0,25,2,0,0,8,0,95,0,0,0,0,36,6,2,16,11,0,9,0,4,0,2,0,0,0,0,6,0,0,2,0,0,0,0,0,9,1,2,0,0,125,0,0,0,5,0,2,0,0,0,0,2,14,20,16,0,2,3,0,1,0,0,10,0,0,11,0,0,3,0,3,0,0,3,0,34,0,0,12,46,49,0,0,9,126,1,0,1,0,0,16,0,0,0,0,13,0,0,0,0,2,0,45,1,0,0,0,0,3,0,0,1
 Image Recognition ,0,0,0,0,0,2,5,0,0,0,0,0,17,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,5,0,0,0,0,2,0,3,1,0,5,0,0,1,4,4,0,0,3,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,2,0,0
 Reinforcement Learning ,0,0,1,2,0,4,6,0,1,0,0,0,18,1,0,1,0,1,0,0,8,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,2,7,1,0,0,2,0,0,0,0,0,1,0,3,0,7,0,4,0,1,40,0,3,0,2,0,0,80,3,0,2,6,5,0,0,1,0,3,3,0,0,0,0,10,1,1,0,0,43,132,0,0,1,0,0,30,0,0,1,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
 Face Detection ,0,0,0,1,0,0,10,0,0,0,0,0,5,0,0,0,0,4,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,9,0,0,1,1,0,2,0,2,0,1,1,0,0,0,0,0,6,5,0,0,5,21,0,0,1,0,0,4,0,0,1,0,1,0,0,0,0,0,0,18,0,0,0,1,0,2,1,0,0
 Distributed Computing ,0,0,0,32,0,4,5,0,0,0,0,5,8,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,12,0,49,0,0,0,1,0,3,0,0,0,1,0,2,0,0,0,0,0,1,2,2,2,0,0,0,1,0,0,1,10,0,0,10,2,0,1,1,0,0,2,0,0,4,2,0,1,1,0,0,0,0,0,0,4,16,0,0,1,0,2,8,0,1,29,1,1,0,0,0,0,13,0,0,0,0,0,3,1,0,0,0,0
 Bayesian Inference ,0,1,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,2,9,0,0,0,0,1,8,0,0,1,0,1,0,0,0,0,2,0,3,1,0,0,2,0,0,0,0,0
 Distributed File System ,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
 Optimization Algorithm ,0,2,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,3,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,6,0,0,0,0,7,0,2,0,0,0,0,1,0,1,2,0,12,1,0,0,0,4,0,0,0,1,1,0,0,2,0,0,2,1,2,0,0,1,3,1,0,0,2,21,0,0,0,0,0,12,0,0,7,0,1,1,1,1,0,2,0,3,0,0,0,0,0,0,0,0,1
 Parallel Processing ,0,0,0,5,0,1,4,0,0,0,0,4,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,2,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,5,3,0,0,3,11,0,0,5,0,0,2,0,0,14,0,1,0,0,0,0,9,0,3,0,0,1,5,4,1,0,0,0
 RNN ,0,0,0,0,0,1,22,7,0,0,65,0,20,0,0,0,0,3,0,1,4,10,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,24,0,0,14,0,4,0,0,1,0,1,0,0,0,41,0,2,8,0,0,0,0,12,3,0,5,0,0,1,0,0,0,0,3,0,0,0,0,0,0,11,0,0,6,51,1,0,0,0,0,26,0,0,0,0,6,2,0,0,0,0,0,3,0,0,0,0,7,5,0,0,1
 Fully Connected Layer ,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Voice Recognition ,0,0,0,6,0,2,40,13,0,0,71,0,50,1,0,0,0,9,3,0,14,5,0,0,1,13,0,2,0,0,1,1,2,0,0,1,3,0,0,1,0,11,7,2,0,0,103,0,0,16,0,1,1,0,0,0,1,0,41,1,0,0,2,3,0,1,0,0,29,0,0,8,0,4,4,0,2,0,0,7,0,1,0,0,0,1,30,0,0,12,82,0,0,0,0,0,19,0,0,0,1,1,0,0,0,1,0,1,4,0,0,0,0,1,0,0,4,0
 Markov ,0,0,0,0,0,8,3,1,0,0,0,0,7,0,0,0,0,1,0,1,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,2,4,3,0,0,1,0,1,0,0,40,0,1,6,0,2,0,0,0,0,0,0,0,0,2,0,0,22,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,4,0,1,0,16,33,0,2,1,0,0,15,0,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0
 Feature Engineering ,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,1,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,3,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3,9,0,0,0,3,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0
 Back-propagation ,0,0,0,0,0,3,8,0,0,0,0,0,26,0,0,0,0,9,0,0,11,27,0,0,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,3,0,3,0,0,0,0,12,0,8,0,3,0,0,0,0,0,0,0,2,5,0,2,3,0,0,0,5,0,0,2,0,3,0,0,0,1,8,0,0,2,44,0,0,0,0,0,13,0,0,1,0,9,2,0,0,0,1,0,6,0,0,0,2,0,1,0,0,0
 Cluster Computing ,0,0,0,4,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 Data Center ,0,0,0,22,0,1,29,0,0,2,0,11,9,0,0,0,0,1,2,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,192,0,0,0,0,0,0,4,0,0,2,0,15,1,0,2,1,10,0,0,0,2,0,0,1,2,1,0,1,0,0,0,7,5,1,1,4,0,0,0,0,0,0,7,0,0,3,0,0,1,0,0,0,4,28,0,0,2,0,0,13,0,3,33,2,1,0,0,0,0,12,0,1,0,1,8,4,2,0,0,0,0
 Semantic Search ,0,0,0,0,0,0,3,1,3,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 Boosting ,0,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0,8,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,10,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 Robots ,0,3,0,5,2,14,59,1,26,0,1,3,168,3,3,0,5,55,9,3,54,4,0,37,0,14,2,12,0,0,0,2,0,0,0,1,36,1,39,0,2,2,579,7,0,0,14,2,3,10,1,80,9,10,6,0,4,1,12,0,29,22,0,2,0,7,0,2,0,51,2,20,10,286,29,0,15,0,109,36,3,0,0,0,9,77,33,2,0,2264,1627,0,0,4,0,0,97,76,3,7,1,11,0,454,0,0,3,0,58,0,0,0,3,1,7,35,1,0
 Genetic Algorithm ,0,4,0,5,1,7,8,0,0,0,0,1,63,4,0,0,0,51,7,2,32,11,0,1,0,2,0,1,0,0,0,0,0,0,1,0,21,0,2,0,2,5,15,0,0,0,0,0,0,0,1,3,0,2,0,0,0,2,3,0,0,1,0,5,0,5,0,0,51,0,0,15,8,1,0,0,4,0,9,15,2,2,0,0,0,1,9,11,3,18,113,0,0,2,0,1,42,0,0,10,0,7,0,10,0,0,4,0,6,0,1,0,26,3,2,0,1,0
 Edge Computing ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Pattern Recognition ,0,7,0,3,0,6,46,4,0,0,1,0,259,1,0,0,0,90,18,2,31,8,0,3,0,2,0,7,0,0,1,0,2,0,0,0,1,1,0,0,0,6,1,0,0,0,9,3,2,11,5,2,1,1,1,0,0,2,5,0,8,0,1,2,0,1,1,0,20,15,0,0,2,1,7,0,48,1,5,52,5,12,0,0,2,18,65,2,0,18,158,0,0,0,0,0,104,1,0,12,0,17,0,0,0,0,1,0,32,1,1,0,28,1,6,0,0,3
 Search Algorithm ,0,1,0,2,0,6,5,0,1,0,0,1,7,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,1,0,0,1,0,0,0,0,6,1,1,0,0,1,0,0,0,0,0,0,3,0,4,0,0,10,8,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,8,34,0,0,0,0,5,5,3,0,1,0,0,0,1,0,0,1,0,5,0,0,0,9,0,1,0,0,0
 Humanoid Robots ,0,0,0,0,0,0,5,0,1,0,0,0,6,0,0,0,0,9,0,0,4,0,0,2,0,1,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,0,7,1,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,286,1,0,1,1,0,1,0,2,0,0,3,0,0,0,0,1,1,1,0,0,94,101,0,0,0,0,0,5,0,0,0,0,3,0,19,0,0,0,0,6,0,0,0,0,0,0,0,0,0
 Gesture Recognition ,0,2,0,0,0,1,10,0,0,0,0,0,36,0,0,0,0,23,3,0,2,16,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,3,0,1,3,0,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,29,0,0,7,0,1,0,0,2,0,0,1,0,1,0,0,0,2,8,0,0,13,54,0,0,0,0,0,15,0,0,3,0,1,0,3,0,0,0,0,12,0,0,0,1,0,0,0,0,0
 Data Intensive Computing ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
 Dimensionality Reduction ,0,3,0,1,0,1,20,0,0,0,0,1,102,0,0,0,0,64,8,1,30,11,0,0,0,1,0,7,0,0,0,0,1,0,0,1,3,1,0,0,0,2,2,0,0,0,5,0,0,3,2,1,2,0,1,0,2,0,0,0,2,0,0,5,0,0,0,0,15,4,0,48,0,2,2,0,0,1,2,28,6,5,0,0,0,8,33,1,0,4,48,0,0,0,0,0,45,0,0,8,0,3,0,0,0,0,0,0,12,0,0,0,21,0,3,0,0,0
 Dynamic Cloud ,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
 UAM ,0,0,0,2,0,0,11,0,0,2,0,4,49,0,15,0,0,6,3,0,10,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,14,0,0,0,0,0,2,0,3,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,9,1,5,0,0,0,0,2,0,0,10,0,2,0,0,0,17,6,1,0,56,108,0,0,2,0,0,9,16,0,3,0,1,0,4,0,0,4,0,34,0,0,0,0,0,10,16,0,0
 Clustering ,0,5,0,9,0,2,46,2,1,0,6,0,217,10,0,1,1,54,21,5,44,8,0,4,0,16,0,44,0,0,0,0,1,0,0,4,17,1,0,2,0,34,10,1,0,0,10,0,1,3,1,3,1,2,1,0,2,3,3,0,7,3,0,2,1,7,0,0,36,15,1,52,3,3,1,1,28,2,10,0,7,9,2,0,4,25,34,6,0,17,205,0,1,1,0,0,138,1,0,64,0,21,0,0,0,0,2,0,25,0,2,0,154,2,37,1,0,0
 Statistical Learning ,0,2,0,3,0,3,3,0,1,0,0,0,20,2,0,0,0,24,9,0,32,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,0,0,0,0,6,0,0,7,0,0,0,0,1,2,0,0,0,0,13,0,0,0,0,0,26,0,0,7,0,5,0,0,0,0,0,0,3,2,3,0,6,0,1,0,0,2
 Image Classification ,0,2,0,2,0,2,17,0,0,0,0,0,175,3,0,0,0,80,24,0,19,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,1,0,0,0,0,15,0,0,34,5,0,0,1,0,0,2,2,0,1,1,1,2,3,0,0,0,1,0,2,0,12,0,0,1,0,5,0,2,9,0,0,0,0,1,14,43,1,0,2,54,0,0,0,0,0,22,0,0,5,0,6,0,0,0,0,2,0,19,1,0,0,4,1,12,0,0,0
 Fog Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
 Text Similarity ,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transfer Learning ,0,0,0,1,0,0,3,0,0,0,1,0,19,1,0,0,0,5,1,1,3,0,0,1,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,6,0,0,12,1,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,2,0,1,0,0,0,0,0,4,1,1,0,0,0,3,2,0,0,1,35,0,0,0,0,0,14,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0
 Object Recognition ,0,1,0,0,0,3,31,0,4,0,0,2,122,0,0,0,1,34,6,0,9,2,0,37,1,0,0,5,0,0,0,0,1,0,0,0,3,0,0,0,1,3,16,4,0,0,20,1,0,46,4,1,6,0,2,0,3,5,0,0,1,4,3,1,0,1,0,1,77,1,0,18,1,1,2,0,8,0,17,25,2,14,0,0,3,0,42,2,0,55,204,0,0,5,0,0,27,9,1,4,0,9,0,4,0,0,1,0,70,0,0,0,2,3,17,2,0,2
 Feature Extraction ,0,5,0,3,0,2,85,0,2,0,0,0,357,2,0,2,0,174,28,1,43,14,2,5,1,10,0,7,0,0,1,0,1,0,0,4,6,1,0,0,0,5,7,0,0,0,46,0,1,49,4,1,5,0,0,0,1,3,11,2,30,0,9,8,0,0,0,1,33,9,0,65,1,1,8,0,33,0,6,34,0,43,2,0,2,42,0,2,0,17,163,0,0,8,0,0,82,0,0,11,0,20,0,1,0,1,1,0,35,0,0,0,19,1,15,0,0,1
 Expert System ,0,0,0,0,0,0,27,0,8,0,0,0,18,2,0,0,0,8,0,0,10,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,11,0,2,0,0,0,0,1,0,1,6,0,1,0,0,0,2,2,0,0,4,89,0,0,0,0,0,14,2,0,2,0,5,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0
 Ensemble Modeling ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Robotics ,0,2,0,4,0,11,52,0,31,0,4,1,135,1,6,0,2,23,1,0,44,4,1,28,0,3,2,6,0,0,0,1,0,0,0,0,30,1,35,0,4,2,237,3,0,0,19,0,2,9,3,43,5,4,2,0,2,3,6,0,12,16,0,2,0,4,1,0,2264,18,1,18,8,94,13,0,4,0,56,17,0,2,0,0,1,55,17,4,0,0,868,0,0,3,0,0,110,94,2,4,0,8,0,211,0,0,1,0,88,0,0,0,1,2,6,9,0,1
 AI ,0,18,1,38,5,34,225,44,120,0,31,7,766,26,2,11,3,303,105,68,196,108,1,108,1,164,18,52,1,0,0,3,7,0,3,26,125,6,14,3,8,120,205,12,0,0,133,4,15,126,20,132,21,16,9,1,21,11,51,4,82,33,3,44,0,28,11,4,1627,113,3,158,34,101,54,1,48,0,108,205,13,54,1,2,35,204,163,89,2,868,0,1,4,6,0,18,608,41,8,173,4,98,1,172,0,0,16,7,285,4,13,7,294,14,101,25,10,6
 Text Generation ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NRDBMS & NoSQL ,0,0,0,33,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,31,1,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0
 Hardware Acceleration ,0,0,0,0,0,0,8,0,0,0,0,3,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,1,0,0,1,0,1,1,1,0,0,0,5,0,0,0,1,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,5,8,0,0,3,6,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,7,0,4,0,0,1,4,9,0,0,0,0
 Bayesian Machine Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Quantum Computing ,0,0,0,4,0,4,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
 Machine Learning ,0,21,2,33,0,20,148,4,8,0,14,5,805,13,0,6,0,482,181,23,279,54,0,4,1,52,4,19,0,0,5,0,3,0,4,14,28,1,2,3,5,33,8,4,0,1,63,3,5,16,4,30,4,8,8,0,12,2,26,0,19,15,5,13,5,13,1,10,97,42,1,104,5,5,15,0,45,0,9,138,26,22,0,1,14,27,82,14,0,110,608,0,4,4,0,0,0,5,0,108,0,55,2,1,0,0,7,2,58,0,9,1,159,0,18,0,12,4
 AUV ,0,0,0,0,0,1,2,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,1,3,0,0,0,0,0,16,1,0,0,0,0,0,9,0,2,0,94,41,0,0,0,0,0,5,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 PaaS ,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,53,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,8,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,2,0,0,0,0,17,1,0,0,0,0,0
 Big Data ,0,3,0,163,1,2,97,0,2,1,1,11,152,2,0,0,0,52,14,11,50,1,2,0,0,23,1,4,0,0,0,0,0,0,4,3,169,1,1,2,11,15,0,1,0,0,7,0,29,0,0,1,1,29,1,9,7,14,0,0,0,8,1,1,2,33,2,1,7,10,0,12,1,0,3,1,8,0,3,64,7,5,1,0,1,4,11,2,0,4,173,0,31,3,0,0,108,0,3,0,6,9,0,0,0,0,30,1,7,1,14,1,108,5,1,8,0,3
 SaaS ,0,0,0,3,0,0,3,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,20,6,0,0,0,0,0,0,2,0,0,0,0,12,3,0,0,0,0,0
 Supervised Learning ,0,1,0,5,0,2,18,1,1,0,0,0,125,14,0,1,0,68,9,1,33,8,0,0,0,3,0,18,0,0,0,0,0,0,0,4,0,0,0,0,0,5,2,0,0,0,12,0,0,13,0,4,1,1,1,0,1,1,6,0,1,0,0,9,0,1,0,2,11,7,0,17,0,3,1,0,3,0,1,21,5,6,0,0,3,9,20,5,0,8,98,0,0,0,0,0,55,0,0,9,0,0,0,2,0,0,1,0,4,2,0,0,10,1,6,0,2,6
