Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Inter Clouds , Image To Text , Deep Learning , Neuromorphic Computing , Convolutional Networks , Data Storage , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Text To Image , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Fog Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Inter Clouds ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Image To Text ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Deep Learning ,0,0,1,0,0,0,17,0,5,0,3,0,48,2,0,1,0,0,0,10,0,0,0,6,10,0,2,2,0,0,6,0,0,0,0,4,0,0,0,1,0,2,0,0,0,5,0,0,0,0,0,20,0,0,3,6,0,1,1,0,3,0,19,0,46,0,1,5,0,1,0,0,7,0,0,2,0,2,3,0,0,3,0,0,0,5,1,0,0,6,8,13,1,0,7,64,0,0,0,0,27,0,0,0,1,0,1,0,0,3,1,0,7,8,0,0,0,3,2,0,0,1,1
 Neuromorphic Computing ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Convolutional Networks ,0,0,0,0,0,0,10,0,0,0,1,0,38,1,0,0,0,0,0,6,2,0,0,0,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,20,0,0,0,0,5,2,0,0,0,0,0,0,2,2,4,0,0,5,0,1,0,0,2,0,0,2,0,0,2,0,0,1,0,3,0,13,0,0,0,0,12,6,0,0,4,27,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,2,0,0,0
 Data Storage ,0,0,15,0,0,1,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,2,6,0,8,0,0,3,0,1,2,27,3,1,0,0,0,0,5,0,0,0,0,1,4,0,1,0,0,0
 Automated Question Answering ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Image Recognition ,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,6,0,0,4,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0
 Reinforcement Learning ,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,10,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,10,0,0,6,0,2,0,0,0,0,0,0,3,0,6,0,2,0,0,33,0,3,0,2,0,0,63,4,0,1,11,12,0,0,0,0,0,0,4,0,1,0,0,4,1,0,0,0,39,127,0,0,0,0,29,5,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0
 Face Detection ,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,1,0,0,0
 Distributed Computing ,0,0,18,0,0,1,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,34,0,0,0,2,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,4,2,0,0,1,0,0,3,0,0,0,4,0,2,0,0,0,0,1,1,0,0,3,10,0,2,0,0,2,0,2,1,14,1,0,0,0,0,0,12,0,0,0,0,1,4,0,0,0,0,0
 Bayesian Inference ,0,0,1,0,0,7,0,0,1,0,0,1,4,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,2,1,1,0,0,1,0,1,0,0,1,7,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
 Distributed File System ,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Optimization Algorithm ,0,1,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,6,3,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,4,2,0,0,0,0,1,0,0,5,11,0,0,0,0,6,0,1,0,4,0,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
 Parallel Processing ,0,0,4,1,0,0,1,0,0,0,0,7,9,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,10,0,0,3,0,1,0,1,0,10,1,0,0,0,0,0,4,1,3,0,0,0,3,1,2,0,0,0
 RNN ,0,0,0,0,0,0,14,0,0,0,33,0,20,1,0,0,2,0,0,5,0,0,0,17,7,0,0,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,2,0,0,19,0,2,0,0,0,2,0,0,0,0,0,0,0,0,31,0,0,9,0,0,0,0,9,9,0,6,0,0,0,0,0,3,0,0,2,0,0,0,0,3,0,18,0,0,6,61,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
 Fully Connected Layer ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Voice Recognition ,0,0,4,0,0,2,38,10,0,0,52,0,44,2,0,0,0,0,0,12,0,0,1,14,25,0,0,1,8,0,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,4,0,0,46,0,4,0,0,1,0,1,0,2,0,1,1,31,0,0,1,0,0,0,0,0,0,17,0,0,4,0,1,8,0,0,1,0,1,4,0,1,0,0,0,2,21,0,0,4,107,0,0,0,0,10,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0
 Markov ,2,0,0,0,0,11,6,0,0,0,0,0,11,0,0,0,0,0,0,5,0,1,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,1,2,9,0,0,0,0,0,0,0,0,33,0,0,11,0,3,0,0,0,1,0,0,0,0,3,0,0,9,2,0,4,0,1,0,0,0,1,0,0,4,1,1,0,0,2,0,0,2,0,6,28,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0
 Feature Engineering ,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,4,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
 Back-propagation ,0,1,0,0,0,1,5,0,0,0,0,0,33,0,0,0,0,0,0,8,0,0,0,15,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,5,0,0,0,3,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,2,10,0,8,2,0,0,0,0,2,0,0,2,1,0,0,0,0,0,7,0,0,0,27,0,0,0,0,6,0,0,0,1,0,6,0,0,0,0,1,2,1,0,0,0,3,2,2,0,0,0
 Cluster Computing ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Data Center ,0,0,12,0,0,1,20,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,167,0,0,0,3,5,1,0,0,0,1,0,1,6,0,0,2,0,3,0,4,0,0,0,0,0,3,0,0,1,0,0,0,1,3,0,1,1,0,0,1,0,2,2,0,8,0,0,1,0,0,0,0,0,0,3,23,0,1,1,0,5,0,0,1,25,4,0,0,0,0,0,13,0,0,0,0,19,2,0,0,0,0,0
 Semantic Search ,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,20,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Boosting ,0,2,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,2,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,0,0,0,6,0,0,0,0,11,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3
 Robots ,0,2,3,0,0,27,62,0,7,0,1,0,138,0,5,0,3,0,0,58,8,0,0,57,9,0,35,0,5,0,4,0,0,1,7,0,0,0,0,7,4,8,0,1,489,3,8,0,0,7,0,2,4,0,4,63,1,4,2,0,6,3,9,0,17,9,1,2,0,1,1,0,0,55,0,15,19,285,33,0,0,11,0,76,26,0,1,0,0,4,75,33,5,0,1906,1335,0,2,0,0,86,41,0,0,3,0,9,0,361,0,0,1,0,57,0,0,0,7,1,4,29,0,0
 Genetic Algorithm ,0,3,3,0,1,4,15,0,0,0,0,4,67,2,0,0,0,0,0,49,4,0,0,43,27,0,2,0,1,0,0,0,0,0,0,0,0,3,0,18,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,9,0,0,2,2,10,0,3,0,0,55,0,0,16,20,1,1,0,0,4,0,0,23,3,0,0,0,0,2,6,12,0,16,139,0,0,0,0,45,1,2,0,1,0,2,0,11,0,0,6,0,7,0,0,2,25,2,12,2,0,0
 Edge Computing ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Pattern Recognition ,0,4,0,0,0,5,37,1,1,0,1,0,264,6,0,1,0,0,0,89,13,0,0,46,27,0,3,0,2,0,5,0,0,0,0,0,0,0,1,2,1,0,0,1,0,9,0,0,1,2,0,2,0,0,4,1,0,0,2,0,0,3,6,0,4,4,0,8,0,1,0,1,15,16,0,0,3,0,4,0,1,50,0,4,45,7,1,0,0,0,19,42,3,0,10,142,0,0,0,0,62,0,0,0,9,0,12,0,0,0,1,1,0,32,0,0,0,32,7,12,1,0,1
 Search Algorithm ,0,1,1,0,0,3,6,0,0,0,0,1,5,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,3,1,0,0,0,0,0,0,0,0,11,0,1,0,0,1,1,0,0,0,0,0,2,0,1,1,0,19,20,0,3,0,1,0,0,0,0,0,3,5,0,1,0,0,0,1,2,2,0,9,40,0,0,0,0,8,1,8,0,2,0,1,0,4,0,0,1,0,1,0,0,1,1,0,2,0,0,0
 Humanoid Robots ,0,0,1,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,5,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,4,0,1,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,285,1,0,0,1,0,3,0,0,2,0,0,2,0,0,0,0,1,17,2,0,0,104,110,0,0,0,0,9,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,1,1,0,0
 Gesture Recognition ,0,0,0,0,0,0,11,0,0,0,1,0,27,1,0,0,0,0,0,25,1,0,0,2,4,0,5,0,1,1,1,0,0,0,0,1,0,0,0,1,2,0,0,0,3,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,33,1,0,4,0,3,0,0,0,5,0,6,2,0,0,0,0,3,3,10,1,0,5,49,0,0,0,0,13,0,0,0,1,0,0,0,1,0,0,0,0,8,0,0,0,1,0,2,1,0,0
 Data Intensive Computing ,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
 Text To Image ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Dimensionality Reduction ,0,2,0,0,0,2,19,0,0,0,0,0,95,0,0,0,0,0,0,35,17,0,0,31,13,0,4,0,0,0,4,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,1,1,2,0,2,0,1,11,4,0,50,0,2,5,0,0,0,0,0,22,7,0,0,0,0,8,41,2,0,10,47,0,0,0,0,36,0,0,0,9,0,2,0,1,0,0,2,1,8,0,0,0,13,0,5,0,0,0
 Dynamic Cloud ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 UAM ,0,0,1,0,0,4,8,0,0,0,0,0,34,0,10,0,0,0,0,16,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76,0,0,4,3,0,6,0,0,0,0,0,2,7,0,0,0,1,2,15,0,0,76,90,0,0,0,0,2,10,0,0,0,0,0,0,16,0,0,0,0,24,0,0,0,4,2,2,7,0,0
 Clustering ,0,0,11,0,0,4,39,0,1,0,0,0,166,13,0,3,0,0,0,56,8,1,0,34,3,1,2,0,24,0,37,0,1,0,0,0,0,0,5,16,0,0,2,0,4,24,2,0,0,0,0,0,2,0,1,4,0,0,2,0,1,0,2,0,4,4,1,2,0,8,0,0,26,23,0,45,5,2,2,0,0,22,0,2,0,12,1,0,0,2,14,39,2,1,10,178,0,0,0,0,72,1,0,0,35,2,17,0,2,0,0,4,0,19,0,0,1,123,0,38,0,1,3
 Image Classification ,0,2,2,0,0,2,13,0,0,0,0,0,188,3,0,0,0,0,0,102,21,0,0,16,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,5,0,13,0,0,5,0,0,2,1,0,4,0,0,1,0,1,1,1,0,0,1,1,0,3,0,7,0,0,0,0,0,7,0,7,12,0,2,0,0,3,22,40,1,0,0,50,0,0,0,0,16,0,0,0,0,0,5,0,0,0,0,0,0,10,1,0,0,4,2,7,0,0,0
 Statistical Learning ,0,0,2,0,0,3,5,0,0,0,0,0,16,0,0,0,0,0,0,14,2,0,0,16,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,1,0,0,13,0,0,0,0,10,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1
 Fog Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Text Similarity ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transfer Learning ,0,0,1,0,0,0,3,0,1,0,2,0,10,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1
 Object Recognition ,0,2,0,0,0,5,30,0,2,0,0,0,114,2,0,0,0,0,0,38,14,0,0,10,1,0,15,0,0,0,9,0,0,0,4,0,0,0,0,1,0,0,0,0,12,1,0,0,0,8,0,12,0,0,2,1,5,1,0,0,0,4,0,0,2,0,3,0,0,0,0,2,75,2,0,19,1,17,3,0,0,8,0,2,14,22,2,0,0,0,0,37,0,0,52,196,0,0,3,0,15,0,0,0,0,0,9,0,0,0,0,0,1,74,0,0,0,0,4,18,0,0,1
 Feature Extraction ,1,0,2,0,0,5,100,0,0,0,3,0,345,1,0,0,0,0,0,168,28,7,0,35,23,0,4,0,3,1,5,0,0,0,1,1,0,0,1,1,0,2,0,2,4,6,0,0,0,13,0,6,1,0,6,0,5,1,1,0,1,2,18,0,21,0,4,7,0,0,0,1,33,6,0,42,2,2,10,0,0,41,0,15,39,40,0,0,0,0,37,0,5,0,22,172,0,0,1,0,63,0,0,0,3,0,15,0,1,0,1,0,3,32,0,0,0,14,2,22,0,0,2
 Expert System ,0,0,1,0,0,0,14,0,6,0,0,0,28,1,0,0,0,0,0,8,0,2,0,6,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,6,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,5,12,0,3,2,0,1,0,0,2,0,0,2,1,1,0,0,0,0,5,0,0,2,83,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1
 Ensemble Modeling ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Robotics ,0,2,2,0,0,3,51,0,8,0,0,8,103,0,3,0,1,0,0,20,1,0,0,46,0,1,14,0,1,0,1,0,0,1,7,0,0,0,0,5,0,13,0,1,206,0,2,0,0,7,0,4,2,0,4,39,1,3,1,0,5,2,6,0,4,6,1,0,0,3,2,0,1906,16,0,10,9,104,5,1,0,10,0,76,10,0,0,0,0,0,52,22,2,0,0,686,0,0,1,0,93,25,0,1,3,1,6,0,153,0,0,1,0,46,0,0,1,6,2,5,19,0,0
 AI ,1,9,33,1,2,31,196,30,92,0,38,12,680,34,6,9,4,0,0,247,82,50,0,152,74,0,75,1,110,16,39,4,0,0,6,2,1,4,19,111,4,12,5,17,192,99,18,0,1,64,0,27,6,1,14,127,20,10,7,0,11,10,61,1,107,28,2,27,1,23,20,6,1335,139,0,142,40,110,49,1,1,47,1,90,178,50,13,0,0,16,196,172,83,0,686,0,1,7,3,1,446,23,12,3,102,7,74,0,83,0,3,7,6,217,2,2,4,251,8,130,27,3,5
 Text Generation ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NRDBMS & NoSQL ,0,0,37,0,0,0,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,1,17,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0
