Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Deep Learning , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Hardware Acceleration , Machine Learning , Quantum Computing , AUV , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Computer Vision , Loss Functions , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Humanoid Robots ,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0,39,71,0,1,0,0,0,0,2,0,11,0,5,0,0,0,0,0,0,0
 Gesture Recognition ,0,0,0,1,4,0,0,0,0,5,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0
 Dimensionality Reduction ,0,2,1,0,6,0,0,0,0,46,0,0,0,0,14,1,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,7,0,36,2,4,0,0,0,0,9,0,3,0,0,4,15,0,0,4,32,0,9,0,0,1,0,2,0,0,0,3,0,11,0,4,0,0,0
 Dynamic Cloud ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 UAM ,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 Clustering ,0,1,2,2,43,0,1,1,1,125,3,0,0,1,17,0,0,0,10,16,0,1,4,0,22,0,0,1,0,4,2,0,0,4,2,17,1,0,0,2,1,1,4,0,1,0,2,1,2,21,1,0,2,0,0,0,2,7,8,0,45,2,0,0,9,1,0,0,0,10,0,0,9,20,2,0,6,139,0,32,0,0,1,0,11,0,0,1,6,0,81,0,30,0,0,0
 Statistical Learning ,0,0,0,1,2,0,0,0,0,22,0,0,0,0,20,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,5,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,7,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0
 Image Classification ,0,3,0,0,9,0,0,0,0,72,1,0,0,0,17,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,3,0,0,10,0,0,0,0,6,7,0,0,0,28,0,0,0,0,0,0,4,0,0,0,4,0,1,0,11,0,0,0
 Text Similarity ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transfer Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Object Recognition ,0,1,0,5,28,0,1,0,0,45,1,0,0,0,26,0,0,0,3,2,0,11,0,0,3,0,0,0,0,0,0,0,0,0,10,0,1,0,0,4,0,2,10,0,0,0,0,0,3,1,3,0,1,0,0,0,0,19,6,0,14,1,2,0,4,0,2,9,0,6,0,0,0,14,0,0,10,125,0,5,0,0,0,0,5,0,0,0,18,0,0,1,7,0,0,0
 Feature Extraction ,0,4,0,2,50,0,2,0,0,158,0,0,0,0,48,1,0,0,7,13,0,2,0,0,6,0,0,3,0,0,4,3,0,1,13,7,0,0,0,6,3,0,5,0,0,0,0,2,3,21,0,0,5,0,0,0,1,22,13,0,46,0,0,1,15,0,1,20,1,7,0,0,14,0,2,0,10,153,0,14,0,0,0,0,7,0,0,0,10,0,13,0,7,0,0,0
 Expert System ,0,0,2,0,19,0,10,0,0,32,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,55,0,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
 Ensemble Modeling ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Robotics ,0,0,0,14,11,0,2,0,1,16,0,0,0,0,3,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,103,0,1,2,0,6,3,13,2,1,0,0,0,1,15,5,2,0,1,0,1,0,0,740,18,0,4,1,39,0,4,0,3,6,0,0,0,0,10,10,1,0,0,365,0,21,0,3,0,0,2,0,116,0,18,0,0,0,2,3,0,0
 AI ,1,4,8,20,195,21,68,30,4,405,3,2,4,1,160,2,0,1,66,65,0,42,39,4,27,2,1,2,2,7,15,2,0,7,242,118,12,13,1,25,9,59,29,2,5,0,7,0,42,174,17,0,27,1,2,5,3,809,97,0,184,17,71,12,32,1,26,139,14,28,1,0,125,153,55,0,365,0,2,214,2,16,5,0,35,0,113,9,85,1,169,5,124,11,1,0
 Hardware Acceleration ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Machine Learning ,0,3,0,3,39,2,7,3,0,183,1,0,2,0,119,3,0,0,60,6,0,0,6,0,4,0,0,1,0,1,7,5,0,0,5,9,3,1,0,2,0,10,3,2,1,0,1,0,3,6,5,0,2,0,0,0,1,26,19,0,29,2,1,1,9,0,0,32,7,0,1,0,5,14,14,0,21,214,0,0,0,0,0,0,4,0,0,1,8,1,56,1,3,1,3,0
 Quantum Computing ,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AUV ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
 Big Data ,0,0,0,0,1,0,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
 SaaS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Supervised Learning ,0,1,0,0,5,0,1,0,0,38,0,0,0,2,17,0,0,0,7,7,0,1,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,1,0,2,0,0,0,3,0,0,0,1,5,3,0,7,0,2,0,2,0,0,11,1,4,0,0,5,7,0,0,2,35,0,4,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,0
 Optical Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Manipulator ,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,1,0,0,0,0,0,2,2,2,0,0,1,0,0,0,0,178,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,116,113,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
 High Performance Computing ,0,0,0,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 Computer Vision ,0,0,0,0,12,0,1,0,0,35,0,0,0,0,8,0,0,0,7,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,2,0,4,0,1,0,1,0,0,2,0,0,0,0,0,0,0,23,9,0,9,2,5,6,3,0,1,6,2,4,0,0,18,10,0,0,18,85,0,8,0,1,0,0,2,0,2,0,0,0,2,2,9,1,0,0
 Loss Functions ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Data Mining ,0,1,4,2,82,0,8,0,0,114,0,0,0,0,24,2,0,0,17,5,0,0,4,1,1,0,0,0,0,5,1,1,0,12,1,11,0,2,0,0,0,0,0,5,0,1,0,1,0,1,2,0,0,0,2,0,1,2,11,0,26,2,0,0,11,0,0,81,0,1,0,0,0,13,6,0,0,169,0,56,0,0,1,0,4,0,0,0,2,1,0,0,2,0,0,0
 GPU ,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
 Image Segmentation ,0,0,0,2,19,0,1,0,0,76,0,0,0,0,7,0,0,0,1,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,1,0,1,0,4,0,2,1,2,2,8,0,1,0,0,0,0,2,5,0,12,0,0,1,4,0,0,30,1,11,0,0,7,7,0,0,2,124,0,3,0,0,1,0,2,0,0,0,9,0,2,0,0,0,0,0
 UGV ,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 Entity Recognition ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Loss Function ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
